uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9ebe3efa-281a-4b81-be37-1030a6985f58",10354,"Payload delivery","filename","%E5%B0%91%E5%A5%B3%E8%A2%AB%E5%B9%B2%E5%B1%81%E7%9C%BC%E7%9A%84%E5%94%AF%E7%BE%8E%E8%82%9B%E4%BA%A4%E8%89%B2%E6%83%85%E8%A7%86%E9%A2%91.exe","",0,1697366147,"","","","",""
"67763565-dc5c-4df6-8129-3707405ef8d9",10354,"Payload delivery","md5","ea90ad0eff7026613e7ec2b865606a7c","",1,1697366147,"","","","",""
"ac13c342-1d84-4e86-9318-837dcf0704d1",10354,"Payload delivery","sha1","ecf19163b425c94cfee2d39c83ee02763a6dd022","",1,1697366147,"","","","",""
"bdcc7227-512b-4d1a-a81d-dc5fb0dca5be",10354,"Payload delivery","sha256","2f1dbad2bc8a6b152996dcb415f01ff0350e75119663914aade45be5beb3f024","",1,1697366147,"","","","",""
"9028eb07-3ade-4926-a147-9c9a444257c1",10354,"Payload delivery","mime-type","application/x-dosexec","",0,1697366147,"","","","",""
"7b9de54f-763a-4f82-83cd-e28f59eb2e6f",10354,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1697366147,"","","","",""
"63977c0b-a510-4919-9626-2039245586ad",10354,"Network activity","url","https://transfer.sh/get/X2sk9E0xai/%E5%B0%91%E5%A5%B3%E8%A2%AB%E5%B9%B2%E5%B1%81%E7%9C%BC%E7%9A%84%E5%94%AF%E7%BE%8E%E8%82%9B%E4%BA%A4%E8%89%B2%E6%83%85%E8%A7%86%E9%A2%91.exe","",1,1697366147,"","","","",""
"2b13a586-0d23-40f9-ab6a-e90724adcd81",10354,"Network activity","domain","transfer.sh","Domain listed as False Positive in OSINT.DigitalSide.IT whitelist",0,1697366147,"","","","",""
"1948eed9-950f-460b-97cb-abf30ad53149",10354,"Other","text",".text","",0,1697366147,"name","","e12f5b30-4e5d-451e-98c7-d0dca7971ab1","pe-section","file"
"4db3a6b2-4c41-42cf-8165-5a620d42a083",10354,"Payload delivery","md5","7791ef1ad4d1d7760cab1e9c6e98a970","",1,1697366147,"md5","","e12f5b30-4e5d-451e-98c7-d0dca7971ab1","pe-section","file"
"10a63949-72d9-467f-bb7b-6cabb7c636bc",10354,"Payload delivery","sha1","6415f51eea22199bd90c3a36f4039407920229d6","",1,1697366147,"sha1","","e12f5b30-4e5d-451e-98c7-d0dca7971ab1","pe-section","file"
"694d6f7e-a88a-49e6-af40-ecb3a9ef6fc4",10354,"Payload delivery","sha256","941c50b1ebcd0b7b3a787e31b11f7c852ac3001a88865147634b612ced17a638","",1,1697366147,"sha256","","e12f5b30-4e5d-451e-98c7-d0dca7971ab1","pe-section","file"
"c8a5062f-e6c5-441c-bed8-5324c7302da6",10354,"Other","size-in-bytes",440320,"",0,1697366147,"size-in-bytes","","e12f5b30-4e5d-451e-98c7-d0dca7971ab1","pe-section","file"
"fbf476bb-3562-4000-8e87-dbb60ea96752",10354,"Other","float",3.986,"",0,1697366147,"entropy","","e12f5b30-4e5d-451e-98c7-d0dca7971ab1","pe-section","file"
"362bc23a-de66-4f53-a632-cb1b515e8a04",10354,"Other","text",".rsrc","",0,1697366147,"name","","4dee22eb-8e01-475d-8796-385dfa811372","pe-section","file"
"e274fc7d-0b5c-481a-8399-96c59e251b7c",10354,"Payload delivery","md5","b0ec8aca35e7bf115d154cf5710d2def","",1,1697366147,"md5","","4dee22eb-8e01-475d-8796-385dfa811372","pe-section","file"
"1d78c31c-77a3-484b-8ca5-e80b9b9b47bd",10354,"Payload delivery","sha1","48c9add1da405e503caa05626f3fa15f7b3aef79","",1,1697366147,"sha1","","4dee22eb-8e01-475d-8796-385dfa811372","pe-section","file"
"21953387-51cd-4c8d-be24-cb37be18dbb4",10354,"Payload delivery","sha256","541eeb9191d4efaf07536850f50288a325327e2c947a68dbf86178c501fa265a","",1,1697366147,"sha256","","4dee22eb-8e01-475d-8796-385dfa811372","pe-section","file"
"49e3768b-50da-4d19-a040-9b3f6157deee",10354,"Other","size-in-bytes",17408,"",0,1697366147,"size-in-bytes","","4dee22eb-8e01-475d-8796-385dfa811372","pe-section","file"
"56cc1adb-8232-44df-8bb2-fe736b8bce29",10354,"Other","float",6.59691,"",0,1697366147,"entropy","","4dee22eb-8e01-475d-8796-385dfa811372","pe-section","file"
"d4e02123-4c45-4e30-88d7-a3b29532f0d6",10354,"Other","text",".reloc","",0,1697366148,"name","","220056a2-442f-4f56-ae76-2c6579bfe877","pe-section","file"
"4138adec-8e36-45dc-86e9-4ea6e450dd00",10354,"Payload delivery","md5","6d3622a390626195114576fa7a7e4565","",1,1697366148,"md5","","220056a2-442f-4f56-ae76-2c6579bfe877","pe-section","file"
"f5016caf-7e10-422d-bf5f-c3a4c8e4640a",10354,"Payload delivery","sha1","56e30555e6321ea7ed06b509bfea9b1fb9bd414b","",1,1697366148,"sha1","","220056a2-442f-4f56-ae76-2c6579bfe877","pe-section","file"
"cc51db46-e022-4f8f-a6f3-bf2a0c7ffc4e",10354,"Payload delivery","sha256","dc0394ea23b18bdd6e1e42dd745a8a7fd09048674d4fda2a8001ac71af2530a6","",1,1697366148,"sha256","","220056a2-442f-4f56-ae76-2c6579bfe877","pe-section","file"
"bb2d6f7b-e300-4e39-8cc0-5ddabb49ad93",10354,"Other","size-in-bytes",512,"",0,1697366148,"size-in-bytes","","220056a2-442f-4f56-ae76-2c6579bfe877","pe-section","file"
"b6690a83-1dc5-406b-b08d-ab909a2a3fb7",10354,"Other","float",0.10191,"",0,1697366148,"entropy","","220056a2-442f-4f56-ae76-2c6579bfe877","pe-section","file"
"fc5b384d-187a-4315-8b75-01ec788b1081",10354,"External analysis","link","https://www.virustotal.com/gui/file/2f1dbad2bc8a6b152996dcb415f01ff0350e75119663914aade45be5beb3f024/detection","",0,1697366148,"permalink","","f465b89f-80de-4e1b-adba-aab048db69b6","virustotal-report","misc"
"9d6c37c3-2975-41d5-b3da-ecb9cc048dcb",10354,"Other","datetime","2023-10-15T05:27:45.000000+0000","",0,1697366148,"last-submission","","f465b89f-80de-4e1b-adba-aab048db69b6","virustotal-report","misc"
"92356046-4cd5-4a23-8b60-686814de2fd1",10354,"Other","text","39/72","",0,1697366148,"detection-ratio","","f465b89f-80de-4e1b-adba-aab048db69b6","virustotal-report","misc"

