uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"681e9b87-43a2-4d8b-a18f-d063c9365e6b",7571,"Payload delivery","filename","sh4","",0,1693727590,"","","","",""
"4ffb113e-3d11-42a9-83a2-f634f0edb20e",7571,"Payload delivery","md5","ded7fab0fe783562a19d0a7c5bbf447e","",1,1693727590,"","","","",""
"81006cdd-be76-48df-8fb2-2770cffa68d8",7571,"Payload delivery","sha1","1cd6f1cbd5022debaac940ec722485a40846b213","",1,1693727590,"","","","",""
"758979d2-55af-4e9b-af50-a6774a5ad422",7571,"Payload delivery","sha256","4b6555ccaf6d11ecefa841aca28044e1a1b0b2b66e592101b27154005b722299","",1,1693727590,"","","","",""
"2151f20a-04c5-4860-a548-76a8e1c1f892",7571,"Payload delivery","mime-type","application/x-executable","",0,1693727590,"","","","",""
"1fb59186-34c7-4f6e-a2f9-ed0266f2bc5d",7571,"Network activity","url","http://213.181.206.96/sh4","",1,1693727590,"","","","",""
"73873974-46d0-4d29-b08a-069dd9492421",7571,"Network activity","ip-dst","213.181.206.96","",1,1693727590,"","","","",""
"7218c02b-364d-4f22-ba06-05fa5e80cb3e",7571,"External analysis","link","https://www.virustotal.com/gui/file/4b6555ccaf6d11ecefa841aca28044e1a1b0b2b66e592101b27154005b722299/detection","",0,1693727590,"permalink","","e945fbde-6f2e-439e-9ddd-7612d7661a56","virustotal-report","misc"
"7a4f35be-0bd2-405f-8cc8-3afb620130b2",7571,"Other","datetime","2023-09-02T17:22:46.000000+0000","",0,1693727590,"last-submission","","e945fbde-6f2e-439e-9ddd-7612d7661a56","virustotal-report","misc"
"c97a4cb6-e337-4d4c-a2da-a3b317fe7dee",7571,"Other","text","41/58","",0,1693727590,"detection-ratio","","e945fbde-6f2e-439e-9ddd-7612d7661a56","virustotal-report","misc"

