uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"6d751ba9-5bea-40a1-b512-1bfbcee52b12",13365,"Payload delivery","filename","file1.exe","",0,1701109944,"","","","",""
"dbfdb901-a69f-486a-a731-76cc5082d683",13365,"Payload delivery","md5","a7c67b27eb08e972fe6bb64df73bd19d","",1,1701109944,"","","","",""
"621f5d11-a8b7-402c-89b9-34e94c8c6116",13365,"Payload delivery","sha1","eac3c28673444fd06ee6a16ecf12c67a3d2060fd","",1,1701109944,"","","","",""
"72381193-c94c-4d7e-b7c6-7e776d157bc9",13365,"Payload delivery","sha256","02543745ff87a8cac8726dcf5e1f7e5fe929f01714f19ff02b59fa16adb11dc9","",1,1701109944,"","","","",""
"20acea88-5986-46e7-879d-bba72357f05a",13365,"Payload delivery","mime-type","application/x-dosexec","",0,1701109944,"","","","",""
"521e9377-5e0d-4806-984f-66f33241c9e4",13365,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1701109944,"","","","",""
"6df3d8e6-6afa-4591-bb8e-df44cbe13353",13365,"Network activity","url","http://217.197.107.49/file1.exe","",1,1701109944,"","","","",""
"1bf5500f-347a-4b1a-8f00-350f0d585fa1",13365,"Network activity","ip-dst","217.197.107.49","",1,1701109944,"","","","",""
"581104a2-8556-4512-a7ac-9221d70aa9cc",13365,"Other","text",".text","",0,1701109945,"name","","e078b59a-7e9c-4024-b6e2-8697aca143ee","pe-section","file"
"79903b65-58c9-4ab3-a58a-4d918b782c65",13365,"Payload delivery","md5","7c011c42903657db477144e4a8a4b766","",1,1701109945,"md5","","e078b59a-7e9c-4024-b6e2-8697aca143ee","pe-section","file"
"09de7f8c-bc1e-4b10-b009-7216ab5362a6",13365,"Payload delivery","sha1","0b58eb0e0857acd5babe3700618cda84a8af2b9f","",1,1701109945,"sha1","","e078b59a-7e9c-4024-b6e2-8697aca143ee","pe-section","file"
"071d6e33-27be-49bc-ab44-480184905c59",13365,"Payload delivery","sha256","77a6e6954ae1ce06d8ce5d6489bf1a40016f5be820b29d76b188c4eba5501a03","",1,1701109945,"sha256","","e078b59a-7e9c-4024-b6e2-8697aca143ee","pe-section","file"
"71d60608-8db4-4079-b141-27b902577d1d",13365,"Other","size-in-bytes",6316544,"",0,1701109945,"size-in-bytes","","e078b59a-7e9c-4024-b6e2-8697aca143ee","pe-section","file"
"badc930e-abd9-4aee-8d44-3a1772bc10fb",13365,"Other","float",6.689,"",0,1701109945,"entropy","","e078b59a-7e9c-4024-b6e2-8697aca143ee","pe-section","file"
"24045441-f793-42a4-bf02-847c448da451",13365,"Other","text",".rsrc","",0,1701109945,"name","","ad555445-d68c-488f-8fd7-510a57b4b4ff","pe-section","file"
"51cb163f-dc33-4414-9cbf-498f3665ad71",13365,"Payload delivery","md5","531963eb4b3d3d0a7e7910a9ff8ce47a","",1,1701109945,"md5","","ad555445-d68c-488f-8fd7-510a57b4b4ff","pe-section","file"
"418ee69c-e434-47d5-bce5-01e4bb64e3d3",13365,"Payload delivery","sha1","4f82179d68da215b24bc335e4a8c15e484ebeaf8","",1,1701109945,"sha1","","ad555445-d68c-488f-8fd7-510a57b4b4ff","pe-section","file"
"d1c26eb5-1cd6-433c-b414-e0a02cc881b3",13365,"Payload delivery","sha256","0731aa650518a2936752dc222c05feb17beb47d051d837f33d3b82d0437ef26e","",1,1701109945,"sha256","","ad555445-d68c-488f-8fd7-510a57b4b4ff","pe-section","file"
"4f174166-22e5-47d5-ab83-6e711accf770",13365,"Other","size-in-bytes",1024,"",0,1701109945,"size-in-bytes","","ad555445-d68c-488f-8fd7-510a57b4b4ff","pe-section","file"
"e5e62c0f-0fc8-4eb8-b680-5982a1a526d4",13365,"Other","float",2.76746,"",0,1701109945,"entropy","","ad555445-d68c-488f-8fd7-510a57b4b4ff","pe-section","file"
"6abc973b-9219-429e-8987-4dc8e02ed97e",13365,"Other","text",".reloc","",0,1701109945,"name","","70c87086-8be8-4680-b87b-9e7ccd25329c","pe-section","file"
"01c4ceaa-93c0-4ef0-b649-aa6382c2d474",13365,"Payload delivery","md5","0c77e67ec16e0f1f5572f15e85f1d2ff","",1,1701109945,"md5","","70c87086-8be8-4680-b87b-9e7ccd25329c","pe-section","file"
"eab53fe2-d709-464d-a9b6-dfa3f5fd059b",13365,"Payload delivery","sha1","0a951ca5add58ba0c89932436ee5e02f3f3a6729","",1,1701109945,"sha1","","70c87086-8be8-4680-b87b-9e7ccd25329c","pe-section","file"
"0eaa9feb-ef3e-4e54-98eb-3f104552eac5",13365,"Payload delivery","sha256","54a3f5cd53681a4eb2eafd0c3b34d6355fbfd684fcb1ef01b9e1848de825ac74","",1,1701109945,"sha256","","70c87086-8be8-4680-b87b-9e7ccd25329c","pe-section","file"
"b66ecf37-82c8-43b4-ab30-33e5a5c55d4a",13365,"Other","size-in-bytes",512,"",0,1701109945,"size-in-bytes","","70c87086-8be8-4680-b87b-9e7ccd25329c","pe-section","file"
"dbe7a3f0-a74c-466f-8108-f9306f6d92f6",13365,"Other","float",0.10191,"",0,1701109945,"entropy","","70c87086-8be8-4680-b87b-9e7ccd25329c","pe-section","file"
"98f9c98a-ce5b-4a58-be27-c2220daf9c17",13365,"External analysis","link","https://www.virustotal.com/gui/file/02543745ff87a8cac8726dcf5e1f7e5fe929f01714f19ff02b59fa16adb11dc9/detection","",0,1701109946,"permalink","","d9386066-5ca9-4fbf-8e6a-35239927fc45","virustotal-report","misc"
"4be71f89-7c03-4790-97f9-61d23c50320a",13365,"Other","datetime","2023-11-27T16:04:44.000000+0000","",0,1701109946,"last-submission","","d9386066-5ca9-4fbf-8e6a-35239927fc45","virustotal-report","misc"
"c0245117-9a5c-4e4f-929b-4e272421d31d",13365,"Other","text","48/72","",0,1701109946,"detection-ratio","","d9386066-5ca9-4fbf-8e6a-35239927fc45","virustotal-report","misc"

