uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"adb7a29b-2810-4e5a-aa26-3e98659b42a3",35898,"Payload delivery","filename","debug.dbg","",0,1679480350,"","","","",""
"96f3257e-b994-4e3f-99dc-ccdc5ee95c0f",35898,"Payload delivery","md5","a6829496847f39a2e650c5fa2e4b8d8b","",1,1679480350,"","","","",""
"c9733b27-7eb3-433a-95b1-41f4e84e784a",35898,"Payload delivery","sha1","42c43fd4d11c1dcdf6357bf1d0d3e8e96b4a4bcc","",1,1679480350,"","","","",""
"f45ebc0d-fb1c-416c-ad65-2e4d6f523148",35898,"Payload delivery","sha256","cfc1593c447aa322cee5bfb75891ec37645c0f0acc75cea7e280fcd94aff0bae","",1,1679480350,"","","","",""
"ff2d9949-fda4-4ce3-85ec-1f93986cd9e8",35898,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (SYSV), statically linked, stripped","",0,1679480350,"","","","",""
"0aea02d7-9a2d-4c21-a758-d70f0d0f817b",35898,"Network activity","url","http://209.141.42.90/kd4/debug.dbg","",1,1679480350,"","","","",""
"2143bdb4-1d52-45eb-81a8-fbb2bc2c4436",35898,"Network activity","ip-dst","209.141.42.90","",1,1679480350,"","","","",""
"07db3416-efa8-46ff-a227-dbe36a5e704f",35898,"External analysis","link","https://www.virustotal.com/gui/file/cfc1593c447aa322cee5bfb75891ec37645c0f0acc75cea7e280fcd94aff0bae/detection","",0,1679480350,"permalink","","751a4030-5607-4898-b711-7b432a8df877","virustotal-report","misc"
"9b1f52b9-8890-4f60-8ba1-eec0fca44374",35898,"Other","datetime","2023-03-22T07:28:45.000000+0000","",0,1679480350,"last-submission","","751a4030-5607-4898-b711-7b432a8df877","virustotal-report","misc"
"595df4a7-dd28-44a3-818f-e900a8f38434",35898,"Other","text","35/62","",0,1679480350,"detection-ratio","","751a4030-5607-4898-b711-7b432a8df877","virustotal-report","misc"

