uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"dd7ab0b5-4715-49bb-951c-ed1465dae9a2",23818,"Payload delivery","filename","754abcd6.bat","",0,1713725714,"","","","",""
"a80c1657-8643-4d25-af56-60a889d7dfb9",23818,"Payload delivery","md5","7f77b237f660c6ef5aa674dbe4d3b38f","",1,1713725714,"","","","",""
"a7941d8e-07ed-4951-85c3-63bf756aac13",23818,"Payload delivery","sha1","5ab81981753086557187a7ae3fd4a3fb4e86b2a1","",1,1713725714,"","","","",""
"b130aabd-9e10-45f8-a4aa-9f7f937994b4",23818,"Payload delivery","sha256","b86c86fa3321ed97a4e5b0346dd482fcb910cbe8e996e46b125db3b5a58f790c","",1,1713725714,"","","","",""
"2a42b227-8e15-4d69-a55a-eff4e4faf173",23818,"Payload delivery","mime-type","application/x-dosexec","",0,1713725714,"","","","",""
"9d7af11f-832a-48bf-a8a0-4012de7b753d",23818,"Payload delivery","imphash","b6bd2c758fd2124a56e081f0b8cb2b0c","",0,1713725714,"","","","",""
"5311c71c-b2dc-4fa3-8232-bad56d84ab91",23818,"Network activity","url","http://93.123.39.223/atest/754abcd6.bat","",1,1713725714,"","","","",""
"285fb021-0b7c-4d4e-baeb-bd4c6bbd0672",23818,"Network activity","ip-dst","93.123.39.223","",1,1713725714,"","","","",""
"5aeb8678-e877-4041-8f50-a055b3fe8899",23818,"Other","text",".text","",0,1713725714,"name","","a02183d1-a9b6-4426-9cbf-3c1e9fa290fa","pe-section","file"
"b43e8e59-bc7e-4e0f-afa5-b13a00d9af88",23818,"Payload delivery","md5","053ff183a1caf0587f80f2ee96a4d709","",1,1713725714,"md5","","a02183d1-a9b6-4426-9cbf-3c1e9fa290fa","pe-section","file"
"9889e3d2-9eec-43c9-93ab-e87fb3f91132",23818,"Payload delivery","sha1","7bf31b73c883214637123980b343fc93638223a0","",1,1713725714,"sha1","","a02183d1-a9b6-4426-9cbf-3c1e9fa290fa","pe-section","file"
"c20cb8cd-0992-4302-bb7f-b76b6f4a441c",23818,"Payload delivery","sha256","88fb60d53f53dd6d599cbad2efe2ce316701a6048969b4efe9cc26d5aaa655c8","",1,1713725714,"sha256","","a02183d1-a9b6-4426-9cbf-3c1e9fa290fa","pe-section","file"
"3713e55c-0b85-40d5-a878-6cbdf2cc7493",23818,"Other","size-in-bytes",2531328,"",0,1713725714,"size-in-bytes","","a02183d1-a9b6-4426-9cbf-3c1e9fa290fa","pe-section","file"
"81f22ba3-2f2c-417b-8627-cea025cd1b9c",23818,"Other","float",3.26955,"",0,1713725714,"entropy","","a02183d1-a9b6-4426-9cbf-3c1e9fa290fa","pe-section","file"
"04a5a967-414c-4ef6-8584-26002f3fea2b",23818,"Other","text",".data","",0,1713725714,"name","","c47fc760-c67d-412d-8e40-b1f945f498c5","pe-section","file"
"ee36ed99-12ed-4d7d-8403-75435ddf9bb1",23818,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1713725714,"md5","","c47fc760-c67d-412d-8e40-b1f945f498c5","pe-section","file"
"ee94e446-e052-4bdb-9818-48ee61fe9f80",23818,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1713725714,"sha1","","c47fc760-c67d-412d-8e40-b1f945f498c5","pe-section","file"
"cb26c744-0a18-421e-96a2-f35e992be568",23818,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1713725714,"sha256","","c47fc760-c67d-412d-8e40-b1f945f498c5","pe-section","file"
"47d3ff3e-5d77-4e8b-b03a-f7390565ea07",23818,"Other","size-in-bytes",4096,"",0,1713725714,"size-in-bytes","","c47fc760-c67d-412d-8e40-b1f945f498c5","pe-section","file"
"cb1a52aa-cea3-4907-9ce3-3454f69aacd0",23818,"Other","float",0,"",0,1713725714,"entropy","","c47fc760-c67d-412d-8e40-b1f945f498c5","pe-section","file"
"34643cb9-9bc3-4020-9218-7bff2b7a9a1f",23818,"Other","text",".rsrc","",0,1713725715,"name","","c8bbbbf2-745f-4bc7-ad51-7a9dd9fea458","pe-section","file"
"3df157f8-c513-462b-91c7-f82af8c12527",23818,"Payload delivery","md5","3a8e87ceaefb1b852e315369a32f427b","",1,1713725715,"md5","","c8bbbbf2-745f-4bc7-ad51-7a9dd9fea458","pe-section","file"
"4d200cfd-2a76-4278-9837-c3f6ca1cdedd",23818,"Payload delivery","sha1","a90edcfa4f5962ca9487d547d60eba36bc4555d4","",1,1713725715,"sha1","","c8bbbbf2-745f-4bc7-ad51-7a9dd9fea458","pe-section","file"
"1d8fc4bb-2c80-4479-8fac-1e9d014a6fbe",23818,"Payload delivery","sha256","76090716fc3c1d89dfffd8117d10a3669f8ad68c0ef2e6a5d874497f2f06f237","",1,1713725715,"sha256","","c8bbbbf2-745f-4bc7-ad51-7a9dd9fea458","pe-section","file"
"74374309-c6fa-4060-a499-57acb2854c31",23818,"Other","size-in-bytes",622592,"",0,1713725715,"size-in-bytes","","c8bbbbf2-745f-4bc7-ad51-7a9dd9fea458","pe-section","file"
"a101dbfd-0dfc-4bbc-907d-9d1914d9b910",23818,"Other","float",3.03168,"",0,1713725715,"entropy","","c8bbbbf2-745f-4bc7-ad51-7a9dd9fea458","pe-section","file"

