uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"6ea3513b-08e2-46be-a4a1-8e075522a280",3455,"Payload delivery","filename","QTRUKiBn","",0,1687747625,"","","","",""
"e28e6687-0313-43b7-8542-02cf2d672c88",3455,"Payload delivery","md5","8c5251e06e41546f15cd24890f88ae61","",1,1687747625,"","","","",""
"26d21aa5-be1f-420c-830e-11ad13828fae",3455,"Payload delivery","sha1","b48ef1b238271a0bf05c685115e80346f5ebd3a8","",1,1687747625,"","","","",""
"69dcddde-3f24-4cf2-9a00-aa734f01dd5b",3455,"Payload delivery","sha256","21a94488c5f622605c7588cd1879b6afa5d2b62c038ac250ed01533866d2cb6e","",1,1687747625,"","","","",""
"b556d4c6-c96e-4c46-8f6c-99180b15acf9",3455,"Payload delivery","mime-type","text/plain","",0,1687747625,"","","","",""
"cb744ff1-c36c-4fa3-900e-a1bbfb1b41c4",3455,"Network activity","url","https://pastebin.com/raw/6R0YnehR","",1,1687747626,"","","","",""
"690b0847-90f0-4991-9d67-032fada118ff",3455,"Network activity","domain","pastebin.com","Domain listed as False Positive in OSINT.DigitalSide.IT whitelist",0,1687747626,"","","","",""
"78d195ad-fb26-4a2b-9d29-bc20424c0855",3455,"External analysis","link","https://www.virustotal.com/gui/file/21a94488c5f622605c7588cd1879b6afa5d2b62c038ac250ed01533866d2cb6e/detection","",0,1687747626,"permalink","","3994097a-f601-4b2f-89b4-dc1dbe05d478","virustotal-report","misc"
"00948fd1-c843-4a6b-ada8-dbd468c83f1c",3455,"Other","datetime","2022-04-11T21:36:35.000000+0000","",0,1687747626,"last-submission","","3994097a-f601-4b2f-89b4-dc1dbe05d478","virustotal-report","misc"
"3dc7f981-e930-42d4-9bf1-12ac8ec91c47",3455,"Other","text","16/58","",0,1687747626,"detection-ratio","","3994097a-f601-4b2f-89b4-dc1dbe05d478","virustotal-report","misc"

