uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e514e2e2-32d1-452b-a4cf-df335dc34226",12878,"Payload delivery","filename","956d73b7f041.exe#default15st","",0,1728316692,"","","","",""
"206e0fd3-76bf-49ac-8d62-d2a19909c750",12878,"Payload delivery","md5","0b1d171017be0462ff7522614f49afea","",1,1728316692,"","","","",""
"320d9b68-4532-4288-ae7c-243077c19201",12878,"Payload delivery","sha1","de5bea1d68ac834060d2b88c667761f6be6d5e3b","",1,1728316692,"","","","",""
"da35f18a-a85d-44f0-a97d-f5864e9924d3",12878,"Payload delivery","sha256","548617ec6305c654f71be990786ad737c3fce173e319c78f78d074589f72dbdc","",1,1728316692,"","","","",""
"58cd9af3-7a3b-4077-aa7b-f97799cbe8d2",12878,"Payload delivery","mime-type","application/x-dosexec","",0,1728316692,"","","","",""
"6e304105-43a9-4b7b-9398-594791f2d647",12878,"Payload delivery","imphash","d10af643340e1121562abe3e6bd5b0e1","",0,1728316692,"","","","",""
"d4b14634-0422-4386-a922-fe2a6d55beae",12878,"Network activity","url","http://nsdm.cumpar-auto-orice-tip.ro/ldms/956d73b7f041.exe#default15st","",1,1728316692,"","","","",""
"a9e7b650-3bd2-4fe3-975e-395d1e120995",12878,"Network activity","domain","nsdm.cumpar-auto-orice-tip.ro","",1,1728316692,"","","","",""
"1afb751e-8277-406b-a56b-432050cc3da3",12878,"Other","text",".text","",0,1728316692,"name","","5817cefd-bd50-434a-ae37-81317ddac023","pe-section","file"
"da61ceb4-082b-4bf2-be70-695710329005",12878,"Payload delivery","md5","4bd5a5eef06afa6da3962ae2605ac3d4","",1,1728316692,"md5","","5817cefd-bd50-434a-ae37-81317ddac023","pe-section","file"
"623c6380-c130-4479-8af5-a8c13099e5b0",12878,"Payload delivery","sha1","888690be454d1f0e6daeef79ec3e1c4e8bf3851d","",1,1728316692,"sha1","","5817cefd-bd50-434a-ae37-81317ddac023","pe-section","file"
"74ef792c-4c76-41be-9dfe-c560bb601070",12878,"Payload delivery","sha256","7ce4f73f78c33af1ef6463d6485f71fdaf41592816f46967c1f18c3c3d934642","",1,1728316692,"sha256","","5817cefd-bd50-434a-ae37-81317ddac023","pe-section","file"
"2a30edc6-bdc2-4e94-87fd-29adf48f1ac4",12878,"Other","size-in-bytes",135680,"",0,1728316692,"size-in-bytes","","5817cefd-bd50-434a-ae37-81317ddac023","pe-section","file"
"247335d0-2a7d-4673-a5ad-e9e49661838e",12878,"Other","float",6.67018,"",0,1728316692,"entropy","","5817cefd-bd50-434a-ae37-81317ddac023","pe-section","file"
"b5c585a1-7a9e-4d87-b062-550d718f60e2",12878,"Other","text",".rdata","",0,1728316693,"name","","4f7a79a6-be5a-489d-8e43-07f930e6c33a","pe-section","file"
"71f61e06-9159-46d5-b2f5-92606f3411b3",12878,"Payload delivery","md5","0330e42b376780138ea68fee13148015","",1,1728316693,"md5","","4f7a79a6-be5a-489d-8e43-07f930e6c33a","pe-section","file"
"11f9554b-5d21-4ae6-8f51-e762d2d59f7e",12878,"Payload delivery","sha1","0f3c5440ba1776430edf10bcbf065072e19bb385","",1,1728316693,"sha1","","4f7a79a6-be5a-489d-8e43-07f930e6c33a","pe-section","file"
