uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e9b91c58-a947-4d6a-84e5-735c225e5daa",11763,"Payload delivery","filename","sora.arm","",0,1651198383,"","","","",""
"4ca45200-8986-403e-b2f3-2efcf5fe68ab",11763,"Payload delivery","md5","177b2e16ed97bb96eea23e9ede8625ac","",1,1651198383,"","","","",""
"5d6d8f46-6661-4182-901a-adfecd7ebad7",11763,"Payload delivery","sha1","c360b088d5ff6c30791b5be646b5c38d8e367f33","",1,1651198383,"","","","",""
"ceae3407-383b-4462-9ef1-6f9d29401113",11763,"Payload delivery","sha256","c34447053a87d4e9b2004ec59cab7a0510e375255821b662aa4751c2e99dc4ab","",1,1651198383,"","","","",""
"1ee5599c-7bee-4e83-8488-23f217879d85",11763,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1651198383,"","","","",""
"bcdaa8af-d488-4cb0-be92-e06ac4b2aeec",11763,"Network activity","url","http://144.172.83.134/bins/sora.arm","",1,1651198383,"","","","",""
"12ca3df0-8d21-47cf-965d-f60a4707d89c",11763,"Network activity","ip-dst","144.172.83.134","",1,1651198383,"","","","",""
"c4084da7-01d8-4c5b-87b8-ebd520c5c366",11763,"External analysis","link","https://www.virustotal.com/gui/file/c34447053a87d4e9b2004ec59cab7a0510e375255821b662aa4751c2e99dc4ab/detection","",0,1651198383,"permalink","","f2abfe65-f4cb-445f-9347-eb902f151a4b","virustotal-report","misc"
"9485e5a8-8dab-49c3-97bb-06de9d146498",11763,"Other","datetime","2022-04-29T02:01:47.000000+0000","",0,1651198383,"last-submission","","f2abfe65-f4cb-445f-9347-eb902f151a4b","virustotal-report","misc"
"68630f4e-49c7-48ed-9f74-b2ece4945519",11763,"Other","text","32/61","",0,1651198383,"detection-ratio","","f2abfe65-f4cb-445f-9347-eb902f151a4b","virustotal-report","misc"

