uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ef27f224-9ea8-4ef7-b9d8-c0655d8db6a9",11604,"Payload delivery","filename","mozi.m","",0,1651070644,"","","","",""
"4d2d438d-90a2-4831-8e47-626608d008f4",11604,"Payload delivery","md5","aa5718f54714cba521729d1543bbb7a5","",1,1651070644,"","","","",""
"7bddfb10-1ee4-4350-997c-7a1a1390f171",11604,"Payload delivery","sha1","ed9993d421f89d8a1742a815b490ee5a2efdb136","",1,1651070644,"","","","",""
"96890e94-9b69-4fc2-af2c-4235f2c704c4",11604,"Payload delivery","sha256","7c4f2fd5db2c3e338b5db6d12913135ef1fed6cf1d7cd9b77c40539c0d4d5a3c","",1,1651070644,"","","","",""
"243823b4-9e72-4c2c-8d5e-725abc0827c0",11604,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, missing section headers","",0,1651070644,"","","","",""
"49733054-7fe9-47a0-8f2e-af0ef5eba48b",11604,"Network activity","url","http://115.55.237.43:43156/mozi.m","",1,1651070644,"","","","",""
"d9ebe2d3-85d1-4467-b2e7-16b0a09612f8",11604,"Network activity","ip-dst","115.55.237.43","",1,1651070644,"","","","",""
"7f1b1674-e922-42ba-a567-28fcbec84543",11604,"Network activity","url","http://115.55.229.136:43156/Mozi.m","",1,1651472042,"","","","",""
"3621de89-b692-4274-85f4-7ff39be4f2a3",11604,"Network activity","ip-dst","115.55.229.136","",1,1651472042,"","","","",""
"8477d2d7-ce2b-4f38-a742-0c2b14ae8ea4",11604,"Network activity","url","http://42.232.226.69:43156/Mozi.m","",1,1651721222,"","","","",""
"7b2dc08b-a1b9-476f-b5f7-78a353336ba1",11604,"Network activity","ip-dst","42.232.226.69","",1,1651721222,"","","","",""
"4d4a59cc-91a6-46f9-b44a-ae04d1d010f7",11604,"Network activity","url","http://182.116.35.150:43156/Mozi.m","",1,1651875422,"","","","",""
"6298d629-8d74-4b58-b1fd-cc319f8cfefb",11604,"Network activity","ip-dst","182.116.35.150","",1,1651875422,"","","","",""
"bdff839e-79dc-415d-9ce1-9e7bacf90a2e",11604,"External analysis","link","https://www.virustotal.com/gui/file/7c4f2fd5db2c3e338b5db6d12913135ef1fed6cf1d7cd9b77c40539c0d4d5a3c/detection","",0,1651070645,"permalink","","5300219f-fd8d-4f85-aa2f-91876e2d8cd3","virustotal-report","misc"
"11f7370e-ebee-408e-a906-35f536b73d16",11604,"Other","datetime","2020-12-15T08:32:39.000000+0000","",0,1651070645,"last-submission","","5300219f-fd8d-4f85-aa2f-91876e2d8cd3","virustotal-report","misc"
"c53bf2a4-49f3-4548-bc5d-12b5e73a603f",11604,"Other","text","24/61","",0,1651070645,"detection-ratio","","5300219f-fd8d-4f85-aa2f-91876e2d8cd3","virustotal-report","misc"

