uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d570c77b-dba8-401e-8615-d2507d079e2b",29259,"Payload delivery","filename","ccc.exe","",0,1669500800,"","","","",""
"e8373ebe-e823-4731-ad3b-4d03d958f231",29259,"Payload delivery","md5","75e987f35f26e1b036d72eb6be099240","",1,1669500800,"","","","",""
"f99ba3d8-5f60-4304-b2fa-e42f8d46f040",29259,"Payload delivery","sha1","f90fe6910dcbd0b220852e970cacd891888cd2d3","",1,1669500800,"","","","",""
"076cd540-241b-4e80-bafb-ae649e383171",29259,"Payload delivery","sha256","0bfbec3b2b790a7d3096c8fa37299a18f8be2abe7c39154a9cca066329984b26","",1,1669500800,"","","","",""
"85041ca2-c09b-4643-9d59-6fdd9e80ebed",29259,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1669500800,"","","","",""
"3ca67424-e1b5-4efe-8d56-f7f9cad4716d",29259,"Payload delivery","imphash","1fb084597a66e8460fbff879fb3bce7c","",0,1669500800,"","","","",""
"0dd463a5-1ce1-4a3a-b24c-515371b4f631",29259,"Network activity","url","http://paldo.ac.ug/ccc.exe","",1,1669500800,"","","","",""
"8e823cbb-8d04-420e-95ac-5439481264e7",29259,"Network activity","domain","paldo.ac.ug","",1,1669500800,"","","","",""
"4cd73aa9-78a4-42f9-a841-454f5647d508",29259,"Other","text",".text","",0,1669500800,"name","","f7b7a4a4-a8d1-4ae3-abbc-b7c2fdfd45cd","pe-section","file"
"82f836d6-9ad0-4eab-aa8d-e3ffc054a150",29259,"Payload delivery","md5","f718dd3d53340def8c43d8b8f9877314","",1,1669500800,"md5","","f7b7a4a4-a8d1-4ae3-abbc-b7c2fdfd45cd","pe-section","file"
"87ac8845-6995-49c5-83b7-aba920f8906b",29259,"Payload delivery","sha1","09110d2bc173bbfacca0272d6f2e3257ff2b0b27","",1,1669500800,"sha1","","f7b7a4a4-a8d1-4ae3-abbc-b7c2fdfd45cd","pe-section","file"
"b401a092-07ab-48c9-b40c-502a448fcb23",29259,"Payload delivery","sha256","37b36a58ce65833c79434c1da5115a8e5d5ff3d6907175ddf77310ef0792d4c3","",1,1669500800,"sha256","","f7b7a4a4-a8d1-4ae3-abbc-b7c2fdfd45cd","pe-section","file"
"dfc63ab9-0cf7-49a5-a606-53395e04c1a0",29259,"Other","size-in-bytes",270336,"",0,1669500800,"size-in-bytes","","f7b7a4a4-a8d1-4ae3-abbc-b7c2fdfd45cd","pe-section","file"
"4439ffd1-77cb-4417-92c7-db692af7c0c6",29259,"Other","float",7.08934,"",0,1669500800,"entropy","","f7b7a4a4-a8d1-4ae3-abbc-b7c2fdfd45cd","pe-section","file"
"ab8e79a1-69c7-4a61-908c-740517e9f168",29259,"Other","text",".data","",0,1669500801,"name","","f912b761-2614-471b-be76-85b167b412ef","pe-section","file"
"8742f299-2e9f-47a8-a7bc-f666a4538c91",29259,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1669500801,"md5","","f912b761-2614-471b-be76-85b167b412ef","pe-section","file"
"c867a628-a9c1-4e0d-9a93-82fcfb496cf8",29259,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1669500801,"sha1","","f912b761-2614-471b-be76-85b167b412ef","pe-section","file"
"ada03b98-9521-4dd2-89d9-49864753efa0",29259,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1669500801,"sha256","","f912b761-2614-471b-be76-85b167b412ef","pe-section","file"
"385597ec-903a-4b9e-94d2-086d9a0515f6",29259,"Other","size-in-bytes",4096,"",0,1669500801,"size-in-bytes","","f912b761-2614-471b-be76-85b167b412ef","pe-section","file"
"a9b84e6a-8227-485d-a19b-462d6d5a38fc",29259,"Other","float",0,"",0,1669500801,"entropy","","f912b761-2614-471b-be76-85b167b412ef","pe-section","file"
"f1061595-b066-4566-a05b-5e07cf634d0c",29259,"Other","text",".rsrc","",0,1669500801,"name","","b3162073-8759-49af-b791-108c508f3c4f","pe-section","file"
"88d85f9c-5c84-4610-ba7d-d0c64fce6668",29259,"Payload delivery","md5","1b0f1fd7dc5efa7197cb78a267416cd3","",1,1669500801,"md5","","b3162073-8759-49af-b791-108c508f3c4f","pe-section","file"
"29b40b18-8050-4834-85cd-8ecaad2a1af6",29259,"Payload delivery","sha1","e820c7b15597174f7dcad2cb2f016726830ec765","",1,1669500801,"sha1","","b3162073-8759-49af-b791-108c508f3c4f","pe-section","file"
"69de3931-4d0d-44f9-a729-853f118d4f20",29259,"Payload delivery","sha256","96a959fcd4cc884d459630b2ae85fe50ce35a4f3a923cb2a12b3d21bdcecbcbe","",1,1669500801,"sha256","","b3162073-8759-49af-b791-108c508f3c4f","pe-section","file"
"ddbdc8b4-72c1-4d0a-9e10-e80c8a83b637",29259,"Other","size-in-bytes",622592,"",0,1669500801,"size-in-bytes","","b3162073-8759-49af-b791-108c508f3c4f","pe-section","file"
"19443a71-d7f5-4132-9dc4-13c331ed5b60",29259,"Other","float",6.40539,"",0,1669500801,"entropy","","b3162073-8759-49af-b791-108c508f3c4f","pe-section","file"
"612c36d0-9359-4286-b8f3-9ec4bea209d8",29259,"External analysis","link","https://www.virustotal.com/gui/file/0bfbec3b2b790a7d3096c8fa37299a18f8be2abe7c39154a9cca066329984b26/detection","",0,1669500801,"permalink","","14d1b8e1-317f-47cc-95a2-59b8c99d25a0","virustotal-report","misc"
"20f43b6e-746c-4d25-81ab-f95949a277e3",29259,"Other","datetime","2022-11-26T17:40:19.000000+0000","",0,1669500801,"last-submission","","14d1b8e1-317f-47cc-95a2-59b8c99d25a0","virustotal-report","misc"
"63db9489-acc7-4517-a026-12eb478b227a",29259,"Other","text","39/71","",0,1669500801,"detection-ratio","","14d1b8e1-317f-47cc-95a2-59b8c99d25a0","virustotal-report","misc"

