uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c163aac7-2799-4972-97d9-cd598b673fef",9555,"Payload delivery","filename","LUG.vbs","",0,1696006330,"","","","",""
"24c2d49c-593a-4c68-8953-b9709d2b14dd",9555,"Payload delivery","md5","f82f969d6d77eb0a86acc15645eb66c8","",1,1696006330,"","","","",""
"e900acd5-3fae-40bf-bcb3-5e107be00dd3",9555,"Payload delivery","sha1","79a19e79e700595aa68067bc273c5119ec0e1f62","",1,1696006330,"","","","",""
"f5e1eb13-dd39-4b66-97d1-773d80c8363f",9555,"Payload delivery","sha256","357892eae7b1f63bbb3b803f5e1a72772e8cd4e1375ad013cd766b821ea4f2d7","",1,1696006330,"","","","",""
"1e8c9e62-a1ac-4a4a-b0aa-5815850b0c0b",9555,"Payload delivery","mime-type","text/plain","",0,1696006330,"","","","",""
"a08840c5-600f-4461-a142-82071f79e7e3",9555,"Network activity","url","http://94.156.161.167/LUG.vbs","",1,1696006330,"","","","",""
"f7e9aa7b-7ff8-4e0e-8692-6343c2f5b155",9555,"Network activity","ip-dst","94.156.161.167","",1,1696006330,"","","","",""
"894d878b-bcd4-4880-aba3-a0b96ff32c10",9555,"External analysis","link","https://www.virustotal.com/gui/file/357892eae7b1f63bbb3b803f5e1a72772e8cd4e1375ad013cd766b821ea4f2d7/detection","",0,1696006331,"permalink","","5eac66cb-c252-4f1e-9b75-817de5fd631a","virustotal-report","misc"
"a90f0b3a-e750-4360-9953-404485ab92ef",9555,"Other","datetime","2023-09-29T16:21:05.000000+0000","",0,1696006331,"last-submission","","5eac66cb-c252-4f1e-9b75-817de5fd631a","virustotal-report","misc"
"841ef8c7-1b0a-4a7e-a083-42c86658482c",9555,"Other","text","13/60","",0,1696006331,"detection-ratio","","5eac66cb-c252-4f1e-9b75-817de5fd631a","virustotal-report","misc"

