uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2b2eabb4-8de7-42df-9671-b044d8390169",61761,"Payload delivery","filename","i-5.8-6.SNOOPY","",0,1632715806,"","","","",""
"48002bcf-363e-4403-ac73-2b8eed4c1976",61761,"Payload delivery","md5","375ab06011b8b839520f4a802605b17e","",1,1632715806,"","","","",""
"4487c948-42a7-43c0-bd43-918d2f542c39",61761,"Payload delivery","sha1","de00d7f3479f35b0254050d8529f4417e713d604","",1,1632715806,"","","","",""
"6d743663-87c2-4591-b7ad-bc7f63bc9d51",61761,"Payload delivery","sha256","d046c1d9533a21d77b293c14c4c450eca0988bcaff1edcefcd8e34301c45bf5b","",1,1632715806,"","","","",""
"22988b02-597e-4bca-96c3-a52a17ce625d",61761,"Payload delivery","mime-type","ELF 32-bit MSB executable, Motorola m68k, 68020, version 1 (SYSV), statically linked, not stripped","",0,1632715806,"","","","",""
"0aac7c65-e738-46ed-a485-46fbb1b40064",61761,"Network activity","url","http://205.185.121.251/i-5.8-6.SNOOPY","",1,1632715807,"","","","",""
"030ab8b3-bf33-4c6e-af80-f884d889082c",61761,"Network activity","ip-dst","205.185.121.251","",1,1632715807,"","","","",""
"22c23fb9-974f-4835-aed6-41c482213e96",61761,"External analysis","link","https://www.virustotal.com/gui/file/d046c1d9533a21d77b293c14c4c450eca0988bcaff1edcefcd8e34301c45bf5b/detection","",0,1632715807,"permalink","","c8e96d82-72a9-4a77-9fa6-e0033c970773","virustotal-report","misc"
"e8cabc05-85c3-4a9d-a1ef-17f12a694945",61761,"Other","datetime","2021-09-26T02:53:57.000000+0000","",0,1632715807,"last-submission","","c8e96d82-72a9-4a77-9fa6-e0033c970773","virustotal-report","misc"
"e822ce08-c223-4e57-bcf6-bc6198074e56",61761,"Other","text","27/61","",0,1632715807,"detection-ratio","","c8e96d82-72a9-4a77-9fa6-e0033c970773","virustotal-report","misc"

