uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"302d752c-dc7c-4adc-8c20-5d954a79178e",38044,"Payload delivery","filename","nabarm5","",0,1681832586,"","","","",""
"a6376f5b-0705-42cd-b4e1-7cc419aa0230",38044,"Payload delivery","md5","81d77c979eeb130ce0b8e5296f62c4ac","",1,1681832586,"","","","",""
"e3f347a9-4a46-4c68-bfce-a0a1a356c791",38044,"Payload delivery","sha1","e933e6df71197327bb8e03cf8926bce3bafd61dc","",1,1681832586,"","","","",""
"257bc813-9780-424d-a02e-7f96bc27499d",38044,"Payload delivery","sha256","052394f9edac6640c20908f3f6fec4c437047b4c903124933e2114796e59b01f","",1,1681832586,"","","","",""
"fe443acb-e196-4cac-a10a-a7f568f42802",38044,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1681832586,"","","","",""
"acfe3ce4-f61e-4f38-9e4a-32271abdb838",38044,"Network activity","url","http://85.217.144.208/nabarm5","",1,1681832586,"","","","",""
"f44228f8-4b7d-4bdd-be1b-bb56e4d2b029",38044,"Network activity","ip-dst","85.217.144.208","",1,1681832586,"","","","",""
"235b700b-a133-4791-9c56-a265360ba274",38044,"External analysis","link","https://www.virustotal.com/gui/file/052394f9edac6640c20908f3f6fec4c437047b4c903124933e2114796e59b01f/detection","",0,1681832587,"permalink","","fe533a87-55a9-4cc9-828e-ed5c267d24bd","virustotal-report","misc"
"1a18cee5-9d85-499e-b2f4-e24ba756c205",38044,"Other","datetime","2023-04-18T13:40:15.000000+0000","",0,1681832587,"last-submission","","fe533a87-55a9-4cc9-828e-ed5c267d24bd","virustotal-report","misc"
"89363e38-f40d-4e83-82de-0720382f380d",38044,"Other","text","18/61","",0,1681832587,"detection-ratio","","fe533a87-55a9-4cc9-828e-ed5c267d24bd","virustotal-report","misc"

