uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"4183dcbe-2f35-48f5-8435-b005c4fe6d8d",41696,"Payload delivery","filename","bbot.arm5","",0,1685373243,"","","","",""
"4ec915e0-b71a-4fc3-8681-3e1b8bb91979",41696,"Payload delivery","md5","c0cd382194139ab031d1b24eb2483328","",1,1685373243,"","","","",""
"3584926d-1efe-444e-80dd-848959ac082a",41696,"Payload delivery","sha1","5d8d2de4cad1194f8e46b6a12a9584789ca6cad9","",1,1685373243,"","","","",""
"8d36bc1c-93cd-4683-9ca9-aa94a3f5ad8d",41696,"Payload delivery","sha256","d17b898066550e46ae7984da455f859652ad98a806d73138254989353c0a8fb6","",1,1685373243,"","","","",""
"b5bdde6e-1337-4ab1-8a09-50cfd7de1a38",41696,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1685373243,"","","","",""
"5f114835-daf1-44dd-932c-98c82338c284",41696,"Network activity","url","http://47.87.131.126/bins/bbot.arm5","",1,1685373243,"","","","",""
"000c4d65-90a5-4b1c-ba51-f9ceff633cc9",41696,"Network activity","ip-dst","47.87.131.126","",1,1685373243,"","","","",""
"d6d0eff5-e4f2-40aa-bc2a-dbe5a232dea7",41696,"External analysis","link","https://www.virustotal.com/gui/file/d17b898066550e46ae7984da455f859652ad98a806d73138254989353c0a8fb6/detection","",0,1685373243,"permalink","","e431f622-5726-44c9-a4ca-413af3806699","virustotal-report","misc"
"439b5ece-aec6-46de-9baa-334198f21229",41696,"Other","datetime","2023-05-29T15:03:57.000000+0000","",0,1685373243,"last-submission","","e431f622-5726-44c9-a4ca-413af3806699","virustotal-report","misc"
"933c6665-d453-4edb-a414-2704e2e3d78d",41696,"Other","text","16/61","",0,1685373243,"detection-ratio","","e431f622-5726-44c9-a4ca-413af3806699","virustotal-report","misc"

