uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"494d7cce-893c-43fa-b252-3380e5dd7634",4845,"Payload delivery","filename","lh.sh","",0,1716963723,"","","","",""
"fb8371c2-2995-42c1-b054-0ec0ad33f4f4",4845,"Payload delivery","md5","da406ccde57d666b79cf2861c934fd10","",1,1716963723,"","","","",""
"ae24edc7-1439-4490-986e-c3a7d9554e74",4845,"Payload delivery","sha1","71df37809a9afc1085fe34c864c115ebd5a797f2","",1,1716963723,"","","","",""
"d3e94ecf-ae3e-4f18-a3c8-f39e7bab2b3d",4845,"Payload delivery","sha256","37c45a892e81d299535bcc7b15219ce91a92c7953539cf613cfab105a0ee89d9","",1,1716963723,"","","","",""
"b1a9dc0e-354a-4eee-9066-4388872bb03c",4845,"Payload delivery","mime-type","text/x-shellscript","",0,1716963723,"","","","",""
"a6b0a602-1b59-4f68-bab3-92660dd87a31",4845,"Network activity","url","http://78.153.140.96/lh.sh","",1,1716963723,"","","","",""
"2832ad04-1e22-4500-90c6-3c207bae7162",4845,"Network activity","ip-dst","78.153.140.96","",1,1716963723,"","","","",""
"4dcf7c69-c9e7-4bf0-9d6d-5c2ebc1d42be",4845,"External analysis","link","https://www.virustotal.com/gui/file/37c45a892e81d299535bcc7b15219ce91a92c7953539cf613cfab105a0ee89d9/detection","",0,1716963723,"permalink","","abfd4adb-8c40-4311-b48c-8a70714b873a","virustotal-report","misc"
"d2bf6db9-a5b8-46b9-a7cc-823b86dc9acc",4845,"Other","datetime","2024-05-13T14:21:35.000000+0000","",0,1716963723,"last-submission","","abfd4adb-8c40-4311-b48c-8a70714b873a","virustotal-report","misc"
"ed289663-2418-47a8-a864-67136152943f",4845,"Other","text","37/64","",0,1716963723,"detection-ratio","","abfd4adb-8c40-4311-b48c-8a70714b873a","virustotal-report","misc"

