uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"cdc8ccd5-ea00-4196-bf32-72352bb010b3",20786,"Payload delivery","filename","JnMmH.exe","",0,1658955966,"","","","",""
"b3349932-41cb-4e5c-989c-d9781c3a2778",20786,"Payload delivery","md5","ac89d7c4776067cd66dbadeacde33c5a","",1,1658955966,"","","","",""
"9c97dd64-711d-47f5-8f8c-aea48afa248b",20786,"Payload delivery","sha1","551f515a99f2bdafd1132f5054d97068cebaf570","",1,1658955966,"","","","",""
"2fb723fa-da57-4778-ad71-14195d24084e",20786,"Payload delivery","sha256","e1f6499af945fbe2e4f284b3876da1182ed49bd33ee58eb5989585cf2413e9d1","",1,1658955966,"","","","",""
"3b9d2ec8-3766-406b-a250-debb90b445af",20786,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1658955966,"","","","",""
"e95a6075-0807-4779-9512-5a15da10dfe7",20786,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1658955966,"","","","",""
"0ecc268d-da2e-4a2a-b4da-7fc9eaf02de0",20786,"Network activity","url","http://102.37.220.234/htdocs/JnMmH.exe","",1,1658955966,"","","","",""
"c17c8ffb-afa0-4b32-88a2-134ba71eed9d",20786,"Network activity","ip-dst","102.37.220.234","",1,1658955966,"","","","",""
"701e643e-ecbb-4ab2-9313-b7f61ea61ae9",20786,"Other","text",".text","",0,1658955967,"name","","80ec5c84-9a9f-404f-a535-8458e383aece","pe-section","file"
"a5273195-fd27-4bb1-a50f-779501576a50",20786,"Payload delivery","md5","526f74db50f4f4e0e38049813da8d28b","",1,1658955967,"md5","","80ec5c84-9a9f-404f-a535-8458e383aece","pe-section","file"
"6fb2f16f-be7e-419d-800d-03ae40b6ab20",20786,"Payload delivery","sha1","e1629b1b1edb81c125960a0f95dfcb7dd7be1e58","",1,1658955967,"sha1","","80ec5c84-9a9f-404f-a535-8458e383aece","pe-section","file"
"90fe0681-1820-45ea-8b60-267595ad53ed",20786,"Payload delivery","sha256","72f6ffc1b375ab8965a35f77bed59ee969eb2226b066b284b234d8df6682d371","",1,1658955967,"sha256","","80ec5c84-9a9f-404f-a535-8458e383aece","pe-section","file"
"5b98b07e-b81f-4c84-b30d-1be509efdf0f",20786,"Other","size-in-bytes",212480,"",0,1658955967,"size-in-bytes","","80ec5c84-9a9f-404f-a535-8458e383aece","pe-section","file"
"00ba239f-b437-48c9-af3e-d85b1c84e1b0",20786,"Other","float",6.07987,"",0,1658955967,"entropy","","80ec5c84-9a9f-404f-a535-8458e383aece","pe-section","file"
"b46bc63c-ed3e-4795-a53d-b47627fa98da",20786,"Other","text",".rsrc","",0,1658955967,"name","","03409a07-a91c-48ce-a8e6-17db35af91d5","pe-section","file"
"13a012ac-89bc-427c-9cf5-59473a4e2151",20786,"Payload delivery","md5","51eafeea1a8a26779348afa335a83ad3","",1,1658955967,"md5","","03409a07-a91c-48ce-a8e6-17db35af91d5","pe-section","file"
"a1b586eb-2c0c-40c5-9422-72c0ed717dbd",20786,"Payload delivery","sha1","ad544c1a2e2d463f8687e04e3bd6ed60a74aa764","",1,1658955967,"sha1","","03409a07-a91c-48ce-a8e6-17db35af91d5","pe-section","file"
