uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0b45ce3f-9920-4a99-bdf7-cfdb47aa3402",60258,"Payload delivery","filename","peach.ppc","",0,1630317846,"","","","",""
"a44df20e-3a10-4bba-881c-c227bc921ef4",60258,"Payload delivery","md5","60d3e0a9e529a8d15e16d857d8b38281","",1,1630317846,"","","","",""
"0ff44b7d-3cdc-47be-83c0-d3017fb88ad6",60258,"Payload delivery","sha1","362af690c166c9e7a521bb39ec4d351903815d09","",1,1630317846,"","","","",""
"005be38d-513d-44f1-9187-a3a43dd2124e",60258,"Payload delivery","sha256","0454b55141cbb4c2a7a3dfd27c89e0831fe30c939ed3a630893978ad284a696f","",1,1630317846,"","","","",""
"4012d5a1-3dd1-4075-a129-29b5e7d8b54a",60258,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, stripped","",0,1630317846,"","","","",""
"2680d0dd-ed56-40ce-a8bc-9409069e589d",60258,"Network activity","url","http://37.0.11.160/bins/peach.ppc","",1,1630317846,"","","","",""
"71103db3-505a-4e57-a3bd-efd3b4989da0",60258,"Network activity","ip-dst","37.0.11.160","",1,1630317846,"","","","",""
"a8e8b230-d409-464e-845e-a5039ca9422f",60258,"External analysis","link","https://www.virustotal.com/gui/file/0454b55141cbb4c2a7a3dfd27c89e0831fe30c939ed3a630893978ad284a696f/detection","",0,1630317846,"permalink","","a2cc9747-9373-4ae5-ae70-a2e675360849","virustotal-report","misc"
"8237c809-11eb-43cb-9324-e4efd12aa51b",60258,"Other","datetime","2021-08-24T14:38:59.000000+0000","",0,1630317846,"last-submission","","a2cc9747-9373-4ae5-ae70-a2e675360849","virustotal-report","misc"
"268240d3-3776-460b-8c9b-5e94dd9059b5",60258,"Other","text","15/60","",0,1630317847,"detection-ratio","","a2cc9747-9373-4ae5-ae70-a2e675360849","virustotal-report","misc"

