uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e7b92e27-a765-41b5-a915-591a58b8f17a",27318,"Payload delivery","filename","buildz.exe","",0,1667304189,"","","","",""
"5a6c9f0e-6e22-4458-bed0-2be73604f191",27318,"Payload delivery","md5","64614e3663ac2abd4a21ae1e1d46bfc3","",1,1667304189,"","","","",""
"cba35285-9331-4f00-aa6e-f02da57df89a",27318,"Payload delivery","sha1","2a910047f6f2357425965958ca6bb75d550e9a6d","",1,1667304189,"","","","",""
"2bb2d2fa-310d-43fe-b1a6-c01e6620750e",27318,"Payload delivery","sha256","3efb8555a3c8124ca5083d48310d9012e7fc2d29db31ce908ec11abe2f089983","",1,1667304189,"","","","",""
"51acdcc1-e8d5-4a19-9981-3f9589c8db3b",27318,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1667304189,"","","","",""
"02965f3b-f287-4cee-833c-fed23aba9aab",27318,"Payload delivery","imphash","e369a4548b0ade94747bb92a0b0d2d15","",0,1667304189,"","","","",""
"b2a796dd-5b8b-49e7-bc94-b6edf6e44a2d",27318,"Network activity","url","http://uaery.top/dl/buildz.exe","",1,1667304189,"","","","",""
"decc78b9-e040-452d-afa2-530e89e85eac",27318,"Network activity","domain","uaery.top","",1,1667304189,"","","","",""
"468c0654-5e6c-4828-af97-5329e96aa488",27318,"Other","text",".text","",0,1667304190,"name","","d6f409a0-c5b1-469d-9dd6-34eae35ff610","pe-section","file"
"7b4284a8-412a-45c1-85ca-b49a7676f1a6",27318,"Payload delivery","md5","05c1c9bbe507ee13403d1886dc3a6683","",1,1667304190,"md5","","d6f409a0-c5b1-469d-9dd6-34eae35ff610","pe-section","file"
"c5561628-c542-4fa0-a5ff-e61ac6b5af52",27318,"Payload delivery","sha1","37a22dbd247b5c8a14738bb3664a18b10d6605bc","",1,1667304190,"sha1","","d6f409a0-c5b1-469d-9dd6-34eae35ff610","pe-section","file"
