uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b4b13919-d946-4442-8fec-790ac7ec51b9",3790,"Payload delivery","filename","sora.arm5","",0,1716218703,"","","","",""
"e1b856fd-5377-468d-9278-4edbad7012b6",3790,"Payload delivery","md5","ea4d8dbc42e0278ef9301dd6ed0b5759","",1,1716218703,"","","","",""
"47526159-32b8-4817-a7c1-eed6768c5c9d",3790,"Payload delivery","sha1","1381a003c7b18285917a14faa814140d4de8e8bb","",1,1716218703,"","","","",""
"13500f07-8e65-431e-900b-41a0e78e5833",3790,"Payload delivery","sha256","b733f53abd51670aa22d2f51b96b75ca2a99652cccc20f578ef004b5737f784c","",1,1716218703,"","","","",""
"5f7c4574-ed13-47a2-b691-1e79f4da6a50",3790,"Payload delivery","mime-type","application/x-executable","",0,1716218703,"","","","",""
"28de6ecc-1a29-4f20-8722-7b2a6e22e695",3790,"Network activity","url","http://91.134.30.137/bins/sora.arm5","",1,1716218703,"","","","",""
"c4f6764b-07fe-4c88-afc9-88eb05107023",3790,"Network activity","ip-dst","91.134.30.137","",1,1716218703,"","","","",""
"6d5b2aed-a811-42ed-8e59-949121692953",3790,"External analysis","link","https://www.virustotal.com/gui/file/b733f53abd51670aa22d2f51b96b75ca2a99652cccc20f578ef004b5737f784c/detection","",0,1716218703,"permalink","","4b41f458-da8b-4486-95a1-32fa50ef19bf","virustotal-report","misc"
"a4d974df-15d6-429e-9ed1-f74d37e1cee6",3790,"Other","datetime","2024-05-17T02:22:22.000000+0000","",0,1716218703,"last-submission","","4b41f458-da8b-4486-95a1-32fa50ef19bf","virustotal-report","misc"
"d273ed6b-35ca-4995-831f-bad417d251d4",3790,"Other","text","19/65","",0,1716218703,"detection-ratio","","4b41f458-da8b-4486-95a1-32fa50ef19bf","virustotal-report","misc"

