uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"feb755e7-9265-4e0a-92db-c950f55d02f2",8907,"Payload delivery","filename","hmips","",0,1724781124,"","","","",""
"288eedcd-57ae-459d-87d8-c21af2a12b83",8907,"Payload delivery","md5","9e944f06250ea7907e54a88bd622e0cc","",1,1724781124,"","","","",""
"6817dc93-b256-4b93-aa6a-e687a7e6d47d",8907,"Payload delivery","sha1","8980a5e458d7f2f51e4be372a9422059207d4d42","",1,1724781124,"","","","",""
"7d5c460a-0e58-45a6-9b53-b0f357c10624",8907,"Payload delivery","sha256","5ec7abd91aaa68351e54613dafb4e3bed05c7f4ebded5821a76483db44f12131","",1,1724781124,"","","","",""
"069906f0-9e0a-40a7-8976-5385130a96c7",8907,"Payload delivery","mime-type","application/x-executable","",0,1724781124,"","","","",""
"8b1ca40c-b9dc-4046-ae73-dff1b4632a53",8907,"Network activity","url","http://154.216.17.122/hmips","",1,1724781124,"","","","",""
"a110df26-cd6c-4bfc-80e8-247224a0216a",8907,"Network activity","ip-dst","154.216.17.122","",1,1724781124,"","","","",""
"1ceaea32-c33b-4353-b741-fb7316b23b54",8907,"External analysis","link","https://www.virustotal.com/gui/file/5ec7abd91aaa68351e54613dafb4e3bed05c7f4ebded5821a76483db44f12131/detection","",0,1724781124,"permalink","","8a675894-7812-4cfc-98a5-69a180b8bf57","virustotal-report","misc"
"3be077c3-9fe1-4c32-97be-363f99bc5059",8907,"Other","datetime","2024-08-27T19:13:06.000000+0000","",0,1724781124,"last-submission","","8a675894-7812-4cfc-98a5-69a180b8bf57","virustotal-report","misc"
"d089f4bb-3e60-437e-9fff-81469769db60",8907,"Other","text","20/79","",0,1724781124,"detection-ratio","","8a675894-7812-4cfc-98a5-69a180b8bf57","virustotal-report","misc"

