uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5a94ce4d-546c-40b7-9a89-bafe59d06d57",10894,"Payload delivery","filename","hmips","",0,1727357764,"","","","",""
"56a2f476-79cf-4e0c-b663-05981787cd08",10894,"Payload delivery","md5","0b9e10e9f7f0db5471e185377fbfd22b","",1,1727357764,"","","","",""
"789524ec-245a-441a-81c4-d650d24ea298",10894,"Payload delivery","sha1","9cf1328d3a8ce091e143cf206621ad90b48102cf","",1,1727357764,"","","","",""
"80386425-8dcb-4d5a-ba35-60b40f4d93ce",10894,"Payload delivery","sha256","ded7e40ba97ce1ae1487e48703595b5566022be57d8e920db284353f658480f1","",1,1727357764,"","","","",""
"57c7b131-3d80-4a9f-883a-d1c2c85fd3bd",10894,"Payload delivery","mime-type","application/x-executable","",0,1727357764,"","","","",""
"4c7c75fa-d838-4903-becd-b457d92410d9",10894,"Network activity","url","http://154.216.19.78/hmips","",1,1727357764,"","","","",""
"c921b4a5-7d2a-4f24-bc22-3f20dc28565c",10894,"Network activity","ip-dst","154.216.19.78","",1,1727357764,"","","","",""
"22a01b34-783c-4a06-a5a3-12f98715bff7",10894,"External analysis","link","https://www.virustotal.com/gui/file/ded7e40ba97ce1ae1487e48703595b5566022be57d8e920db284353f658480f1/detection","",0,1727357764,"permalink","","3bc27c26-4bc0-4367-982b-8e71e82b5c2f","virustotal-report","misc"
"16997da9-30da-42cc-8876-59b77060ef67",10894,"Other","datetime","2024-09-26T09:22:39.000000+0000","",0,1727357764,"last-submission","","3bc27c26-4bc0-4367-982b-8e71e82b5c2f","virustotal-report","misc"
"1386c345-9150-49d8-950a-a9245d07b949",10894,"Other","text","18/77","",0,1727357764,"detection-ratio","","3bc27c26-4bc0-4367-982b-8e71e82b5c2f","virustotal-report","misc"

