uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f8181c4a-8c3d-4eaf-ae33-ccdd0f70308f",30860,"Payload delivery","filename","invoice150.exe","",0,1672317962,"","","","",""
"85eef45b-addf-478f-972c-ca7b1e6225de",30860,"Payload delivery","md5","4483a1b08653e49979c838757570e8d1","",1,1672317962,"","","","",""
"4e935880-9b89-4c8a-945d-a6d7d8efe008",30860,"Payload delivery","sha1","ecd00bd816cfd8a2e4dd48aaf88a00620b53667a","",1,1672317962,"","","","",""
"86d8dfca-3a2b-4206-9edd-c845f6bcdad7",30860,"Payload delivery","sha256","90b646ca3d1f731f46c786c7740e6010cb0c039f4fbef301301c7bc2c76a25da","",1,1672317962,"","","","",""
"19f72d75-8c6c-46ef-8eb9-06008c29e052",30860,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1672317962,"","","","",""
"a079f1de-4d6a-4deb-9c92-f80accf4e119",30860,"Payload delivery","imphash","884310b1928934402ea6fec1dbd3cf5e","",0,1672317962,"","","","",""
"5cb765d0-5614-49e9-9788-2190e72d77aa",30860,"Network activity","url","http://www.piaozone.com/kdzj/invoice150.exe","",1,1672317962,"","","","",""
"dfd23ea9-55e9-4d19-8801-4c6cce823daf",30860,"Network activity","domain","www.piaozone.com","",1,1672317962,"","","","",""
"5b9da1cf-0736-422e-80fb-2c219f4ff9be",30860,"Other","text","CODE","",0,1672317963,"name","","7c571a53-4996-4649-b905-0305957e5dee","pe-section","file"
"6e90c7c0-e85e-4a78-a593-c95fd063b670",30860,"Payload delivery","md5","611a4d7a24dd9b18a256468a5d7453f5","",1,1672317963,"md5","","7c571a53-4996-4649-b905-0305957e5dee","pe-section","file"
"a9c0cb6d-89b7-4a06-ad09-6953bf18531a",30860,"Payload delivery","sha1","65d08a71a08e694cd7518d0770ae28b2c2c3d59c","",1,1672317963,"sha1","","7c571a53-4996-4649-b905-0305957e5dee","pe-section","file"
"08ad332e-3d22-45b9-a03b-083c77dd01fa",30860,"Payload delivery","sha256","2f69f1934b96ac747f1c0eb907f690d7c7e5d4ad6d06a8a931c654339b421998","",1,1672317963,"sha256","","7c571a53-4996-4649-b905-0305957e5dee","pe-section","file"
"14b7afdc-22e3-41e7-8344-aeaf5a569ac9",30860,"Other","size-in-bytes",40448,"",0,1672317963,"size-in-bytes","","7c571a53-4996-4649-b905-0305957e5dee","pe-section","file"
"da41dbf5-af80-4722-bdef-cad85871e007",30860,"Other","float",6.63175,"",0,1672317963,"entropy","","7c571a53-4996-4649-b905-0305957e5dee","pe-section","file"
"4411975f-a73b-436c-94a7-1bc427efb961",30860,"Other","text","DATA","",0,1672317963,"name","","a36aa2b1-ff56-40ad-a28f-64dbb59be9bd","pe-section","file"
"63edd316-6df8-48df-9ab4-d04da91fbacd",30860,"Payload delivery","md5","2f7f9f859c8b4b133abf78cebd99cc90","",1,1672317963,"md5","","a36aa2b1-ff56-40ad-a28f-64dbb59be9bd","pe-section","file"
"ef2adbb5-ef70-4f75-b154-44ed331d7d49",30860,"Payload delivery","sha1","3c1bbbe6b5edcc9c2069aed8971df572875e68e5","",1,1672317963,"sha1","","a36aa2b1-ff56-40ad-a28f-64dbb59be9bd","pe-section","file"
"e99b051d-9671-4c0d-8ef2-1c7caa5f40bb",30860,"Payload delivery","sha256","15de292dbad3c6998bbacd510a81cd0c66105b5bbfbf9e113c8ac8a686c86192","",1,1672317963,"sha256","","a36aa2b1-ff56-40ad-a28f-64dbb59be9bd","pe-section","file"
"93527f8a-215e-43ba-b86a-d351a18cc0c7",30860,"Other","size-in-bytes",1024,"",0,1672317963,"size-in-bytes","","a36aa2b1-ff56-40ad-a28f-64dbb59be9bd","pe-section","file"
"37dc1d4b-1532-4790-b45d-eb02e4ad14e8",30860,"Other","float",2.75472,"",0,1672317963,"entropy","","a36aa2b1-ff56-40ad-a28f-64dbb59be9bd","pe-section","file"
"7093bc71-ae24-4048-a78b-ef54abce990e",30860,"Other","text","BSS","",0,1672317963,"name","","cc8fa596-1a15-440f-9ad3-046ba8ad3da5","pe-section","file"
