uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"09e03495-6dfb-4d5e-8309-ec3843048f5d",14459,"Payload delivery","filename","emptyfilename.tmp","",0,1652951643,"","","","",""
"c945faab-474b-42dc-9641-b61f9ce864f6",14459,"Payload delivery","md5","21de6eba9f7a16d89dc714c2ed733987","",1,1652951643,"","","","",""
"8bf23625-8852-4ffd-b5ab-abdc1418f281",14459,"Payload delivery","sha1","9932fd820fb21658af12b517a3d3d379cdf7b772","",1,1652951643,"","","","",""
"4c6500a7-994d-41ab-9257-31878e57df2a",14459,"Payload delivery","sha256","248b202e50506192829a1d676a6ee8cd75d9fd558fa35d1e3e0e32295e5703a7","",1,1652951643,"","","","",""
"da68bcb0-207a-4991-b88f-bb9e0837a4ec",14459,"Payload delivery","mime-type","PE32+ executable (DLL) (GUI) x86-64, for MS Windows","",0,1652951643,"","","","",""
"e80174aa-01c5-4806-8ebc-1c41c3f8671a",14459,"Payload delivery","imphash","6a3f6cea0915792de2510d93c0b20fdd","",0,1652951643,"","","","",""
"9e7d2a64-2fa6-4184-957a-8f2986883408",14459,"Network activity","url","http://pisanieprac24.net/wp-content/YIRGvcLujGg9WoWya/","",1,1652951643,"","","","",""
"c0f4d795-1d02-4d75-9807-e413d1826b73",14459,"Network activity","domain","pisanieprac24.net","",1,1652951643,"","","","",""
"25ff7312-22a0-424c-a9f7-b8c5d83ab03d",14459,"Other","text",".text","",0,1652951644,"name","","84d75ba3-1963-407b-9dfc-fc61e7c42890","pe-section","file"
"fc159318-117d-40c2-8b62-fabe4ea31801",14459,"Payload delivery","md5","4f616d0b2ddcfd558268b0d7dd8f0864","",1,1652951644,"md5","","84d75ba3-1963-407b-9dfc-fc61e7c42890","pe-section","file"
"a20770cc-82f1-48a1-844d-3d7c836c056c",14459,"Payload delivery","sha1","833c0dc3ce4e7260d405a29b0c79a895b3e6e773","",1,1652951644,"sha1","","84d75ba3-1963-407b-9dfc-fc61e7c42890","pe-section","file"
"d0ea99fd-1a68-46f5-b198-852cbf850ff8",14459,"Payload delivery","sha256","7adfccba9e94259c133465f58691e669b302111ea83dcbd24ef681b7d87cfe09","",1,1652951644,"sha256","","84d75ba3-1963-407b-9dfc-fc61e7c42890","pe-section","file"
"d8aaa703-fbee-45e1-8c7c-d0dade958d18",14459,"Other","size-in-bytes",529920,"",0,1652951644,"size-in-bytes","","84d75ba3-1963-407b-9dfc-fc61e7c42890","pe-section","file"
"eb671abb-ff3e-42a3-bfcb-e903928b6cbd",14459,"Other","float",5.98866,"",0,1652951644,"entropy","","84d75ba3-1963-407b-9dfc-fc61e7c42890","pe-section","file"
"e9a07e97-6560-4ff2-987a-9da83f3ad9b2",14459,"Other","text",".rdata","",0,1652951644,"name","","4b4ea5e9-84b6-4a2b-8857-d20794806449","pe-section","file"
"abf14be4-36e7-4d43-add5-571dd4ffe244",14459,"Payload delivery","md5","2d87746a3143130c3692c6e67e62703d","",1,1652951644,"md5","","4b4ea5e9-84b6-4a2b-8857-d20794806449","pe-section","file"
"aa30b764-3c3d-4fbc-92cd-570300182f8d",14459,"Payload delivery","sha1","ba34e9c1230b6a8afd289926ccdda1eb30113e55","",1,1652951644,"sha1","","4b4ea5e9-84b6-4a2b-8857-d20794806449","pe-section","file"
"0b868a6d-1ab6-4518-b822-c02b6d985fd8",14459,"Payload delivery","sha256","49c084ae71815a08601ee0bec260f1cdacfa8b00530e604a3d3b3b1bbe34a161","",1,1652951644,"sha256","","4b4ea5e9-84b6-4a2b-8857-d20794806449","pe-section","file"
"ed24eb13-0853-4427-a2db-1f6522cebb6a",14459,"Other","size-in-bytes",26112,"",0,1652951644,"size-in-bytes","","4b4ea5e9-84b6-4a2b-8857-d20794806449","pe-section","file"
"6f933233-332e-4431-b1c1-39b468c622ab",14459,"Other","float",4.95281,"",0,1652951644,"entropy","","4b4ea5e9-84b6-4a2b-8857-d20794806449","pe-section","file"
"ef4ac0c7-f78b-4368-bb2d-2b74f12154da",14459,"Other","text",".data","",0,1652951644,"name","","bb7c7adc-350c-4630-b120-af0fae607c77","pe-section","file"
"f5fdb3c5-6b98-45a1-801e-4a1d35f646ad",14459,"Payload delivery","md5","22e31d4d2a13ad16592f48282b1be2eb","",1,1652951644,"md5","","bb7c7adc-350c-4630-b120-af0fae607c77","pe-section","file"
"dfe4c3f1-5c6c-4ef3-a293-d49e87189838",14459,"Payload delivery","sha1","60c6d5912bce690b14cd5239e06bfd936474fa25","",1,1652951644,"sha1","","bb7c7adc-350c-4630-b120-af0fae607c77","pe-section","file"
