uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9310c793-5c30-4db6-967b-bdde0fd3f698",42649,"Payload delivery","filename","jKira.arm","",0,1609768472,"","","","",""
"617c1a0d-520f-4a71-8dce-af2a7d194ea9",42649,"Payload delivery","md5","eb41d914fe9aad7952956d7da6431363","",1,1609768472,"","","","",""
"7fc57665-f573-468a-9c18-77c6b45a25ff",42649,"Payload delivery","sha1","d18d97e1e3bf7218464c1a70b4697eadf5983994","",1,1609768472,"","","","",""
"653112f6-a4da-4422-bd20-d6645296b256",42649,"Payload delivery","sha256","38199ad8f3e6f6ba194164328d0473fce2b394d27af45cbb768a6ca60c3a00bc","",1,1609768472,"","","","",""
"9120ade9-3775-4924-adbe-c3037e74f3d6",42649,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1609768472,"","","","",""
"bdd71538-9392-43b3-b5f9-baeed76970fb",42649,"Network activity","url","http://193.239.147.182/bins/jKira.arm","",1,1609768472,"","","","",""
"cc777820-563a-4791-9e18-db4d1ec78d6e",42649,"Network activity","ip-dst","193.239.147.182","",1,1609768472,"","","","",""
"73cfe825-0511-4897-8aa9-65e7d58c93bd",42649,"External analysis","link","https://www.virustotal.com/gui/file/38199ad8f3e6f6ba194164328d0473fce2b394d27af45cbb768a6ca60c3a00bc/detection","",0,1609768473,"permalink","","439363f7-ba6f-4678-85a8-0ca85440cf19","virustotal-report","misc"
"bd6863d1-5182-4802-afb2-b3e6f51747d3",42649,"Other","datetime","2021-01-04T12:49:14.000000+0000","",0,1609768473,"last-submission","","439363f7-ba6f-4678-85a8-0ca85440cf19","virustotal-report","misc"
"f8504402-8d9d-4deb-8412-f1a64a0dc078",42649,"Other","text","30/61","",0,1609768473,"detection-ratio","","439363f7-ba6f-4678-85a8-0ca85440cf19","virustotal-report","misc"

