uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"cacaea71-84f1-4290-9b1d-aad8938b5d8a",58048,"Payload delivery","filename","yakuza.x32","",0,1625844246,"","","","",""
"e3abd1f2-869f-478b-94c5-bdcbd7cda92e",58048,"Payload delivery","md5","b15fa5e5357ef95d36dc5f698bb2bf0a","",1,1625844246,"","","","",""
"1d269155-e50b-43bc-83c8-1a1f99ec0801",58048,"Payload delivery","sha1","a163842a75a53d26a4716c638cff4da281921a5a","",1,1625844246,"","","","",""
"9a480e36-e856-4509-af9e-fce99e1eecdd",58048,"Payload delivery","sha256","9ae1feeadd3edd6deee7789debbfb1798274151ab1734c07d86f6d837642cc93","",1,1625844246,"","","","",""
"0ceedf98-cd63-46dd-8e7c-efcb1ea1e562",58048,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (SYSV), statically linked, not stripped","",0,1625844246,"","","","",""
"032293bb-39f4-4b24-a7ba-2ad22360ac76",58048,"Network activity","url","http://185.212.44.240/yakuza.x32","",1,1625844246,"","","","",""
"c42ae4f0-6288-4804-bbca-a02e3ec101fb",58048,"Network activity","ip-dst","185.212.44.240","",1,1625844246,"","","","",""
"c2468f0f-7959-43ba-be84-f58a2e847391",58048,"External analysis","link","https://www.virustotal.com/gui/file/9ae1feeadd3edd6deee7789debbfb1798274151ab1734c07d86f6d837642cc93/detection","",0,1625844246,"permalink","","d378b104-e051-46f8-8d1b-335af58032d6","virustotal-report","misc"
"4fa46a69-04d4-4f4e-9a37-159765a83be2",58048,"Other","datetime","2021-07-09T13:34:56.000000+0000","",0,1625844246,"last-submission","","d378b104-e051-46f8-8d1b-335af58032d6","virustotal-report","misc"
"dd6f1493-dbb2-4169-998b-63572d43b5cf",58048,"Other","text","34/62","",0,1625844246,"detection-ratio","","d378b104-e051-46f8-8d1b-335af58032d6","virustotal-report","misc"

