uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bc4fb110-b82b-4d7b-b637-6a248cd48dd1",60806,"Payload delivery","filename","barrr09_HVPbNJre68.bin","",0,1631694066,"","","","",""
"d14970d4-5491-4d52-a6d2-6781ea316893",60806,"Payload delivery","md5","835ecbf567eff22a116e2d1580dca405","",1,1631694066,"","","","",""
"f199a457-42d9-4593-b7b1-7e94b96e5709",60806,"Payload delivery","sha1","5b130cf4f881fd0455925327c0fcb359c89a37e5","",1,1631694066,"","","","",""
"044a735c-c565-484f-90e0-c1a39e585020",60806,"Payload delivery","sha256","b1be55de562df7cb29979c1d6ab359f0bd093afca5d41d119c42ac9f5b3b6f50","",1,1631694066,"","","","",""
"6250d8d5-d7c3-4275-9868-0cc3d8fad9e7",60806,"Payload delivery","mime-type","data","",0,1631694066,"","","","",""
"95a0d8ef-617d-4a3e-a28a-6fc927ce74d5",60806,"Network activity","url","https://qrextechnologies.com/barrr09_HVPbNJre68.bin","",1,1631694066,"","","","",""
"71916b9e-48d3-427b-8867-44b51d3bb515",60806,"Network activity","domain","qrextechnologies.com","",1,1631694066,"","","","",""
"2de6782a-70d7-4cb2-8a76-e3a8393abee2",60806,"External analysis","link","https://www.virustotal.com/gui/file/b1be55de562df7cb29979c1d6ab359f0bd093afca5d41d119c42ac9f5b3b6f50/detection","",0,1631694067,"permalink","","cd76f069-be26-471c-9adf-fedfd0281f4a","virustotal-report","misc"
"dd16d809-6116-4cd6-ac12-968690360938",60806,"Other","datetime","2021-09-15T06:47:02.000000+0000","",0,1631694067,"last-submission","","cd76f069-be26-471c-9adf-fedfd0281f4a","virustotal-report","misc"
"12d9b2d3-40b5-4ece-bbf8-955de7dbea58",60806,"Other","text","0/56","",0,1631694067,"detection-ratio","","cd76f069-be26-471c-9adf-fedfd0281f4a","virustotal-report","misc"

