uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f6dc72a6-89e2-4c57-a43a-fa45e2ad5b7a",28431,"Payload delivery","filename","loligang.arm","",0,1598729984,"","","","",""
"8f9e9871-d90a-4490-bda7-7fa306a1fd81",28431,"Payload delivery","md5","9f53fee8cea0b18021fddc7ec17a1c6f","",1,1598729984,"","","","",""
"5d393121-b10d-434c-ab96-745f76a62169",28431,"Payload delivery","sha1","860438dec67a126de4e7bc98736dca927d8e298e","",1,1598729984,"","","","",""
"45014cd0-91eb-4aeb-8d4d-33e15f34b24c",28431,"Payload delivery","sha256","4fcde192a3c56a3f10de356fedfdc14a13d4ba844164ff2c35eca0a16017ceda","",1,1598729984,"","","","",""
"810dc6ba-f764-42b3-9eca-1325f58021a6",28431,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1598729984,"","","","",""
"5f2057c4-47b1-4130-b6a7-134859df3964",28431,"Network activity","url","http://95.181.152.108/lmaoWTF/loligang.arm","",1,1598729984,"","","","",""
"5fcbed87-fe96-4a09-98fd-ea01a9eb0d82",28431,"Network activity","ip-dst","95.181.152.108","",1,1598729984,"","","","",""
"2b5a6780-9e9a-4df2-bbb7-56efda5d84d7",28431,"External analysis","link","https://www.virustotal.com/gui/file/4fcde192a3c56a3f10de356fedfdc14a13d4ba844164ff2c35eca0a16017ceda/detection","",0,1598729985,"permalink","","ce45fece-3a17-466a-a510-2f179aedba8d","virustotal-report","misc"
"b86b968a-7440-4032-84e2-c0abaa5cf6d1",28431,"Other","datetime","2020-08-29T17:54:56.000000+0000","",0,1598729985,"last-submission","","ce45fece-3a17-466a-a510-2f179aedba8d","virustotal-report","misc"
"b024fc3d-643e-4f18-9eb1-e15b88e632a5",28431,"Other","text","32/54","",0,1598729985,"detection-ratio","","ce45fece-3a17-466a-a510-2f179aedba8d","virustotal-report","misc"

