uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"01a31bfe-abaa-4bac-8d95-052eedf70aee",37117,"Payload delivery","filename","skid.sh","",0,1605003795,"","","","",""
"d8c3c8fd-29fa-4c7b-8b53-8e5a11eb18b9",37117,"Payload delivery","md5","0f2608b0081e1576f3a06f3123e87fed","",1,1605003795,"","","","",""
"55747b17-e47d-48b6-91da-8914c957f327",37117,"Payload delivery","sha1","e298a539b0d47b1707c9fc8da67965e55f2ca7b4","",1,1605003795,"","","","",""
"bda0e581-4760-47cc-977c-a71d0022a9f0",37117,"Payload delivery","sha256","e33ece83e9c4f063bcbfd5d6ba59f1ea932eea7f20d5b133d906239c096737cb","",1,1605003795,"","","","",""
"fce78745-0ea1-4d13-8612-60e22286798e",37117,"Payload delivery","mime-type","Bourne-Again shell script, ASCII text executable","",0,1605003795,"","","","",""
"1d535a5a-2247-487a-9e61-8fcb82901750",37117,"Network activity","url","http://45.145.185.211/skid.sh","",1,1605003795,"","","","",""
"579daff2-a1e2-47aa-add1-93305f5224ca",37117,"Network activity","ip-dst","45.145.185.211","",1,1605003795,"","","","",""
"739506d0-e816-4fbf-891d-848684c848d5",37117,"External analysis","link","https://www.virustotal.com/gui/file/e33ece83e9c4f063bcbfd5d6ba59f1ea932eea7f20d5b133d906239c096737cb/detection","",0,1605003798,"permalink","","3c5e77e2-54d6-4b3d-bc68-aee869e4da27","virustotal-report","misc"
"7742d621-233d-4311-8100-513f50ef5aed",37117,"Other","datetime","2020-11-10T00:30:31.000000+0000","",0,1605003800,"last-submission","","3c5e77e2-54d6-4b3d-bc68-aee869e4da27","virustotal-report","misc"
"5bb7cd9f-2971-4245-bed5-05bf0865ec33",37117,"Other","text","34/60","",0,1605003801,"detection-ratio","","3c5e77e2-54d6-4b3d-bc68-aee869e4da27","virustotal-report","misc"

