uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"378ea0de-2642-4b6a-8a75-ccaafb10bb52",63825,"Payload delivery","filename","a-r.m-7.skidnet","",0,1634353208,"","","","",""
"4443fb2f-c221-4451-aefa-8b5d4806d213",63825,"Payload delivery","md5","eaf7372ff8dccc76e93aa01466bf2cda","",1,1634353208,"","","","",""
"415499ce-41e3-4a37-bc62-53e3ce4b1780",63825,"Payload delivery","sha1","7deb67b7a59d34d2da8cd34d454e28e3af7d324a","",1,1634353208,"","","","",""
"72cb1bb0-5434-467e-9b44-5a7abfb13d98",63825,"Payload delivery","sha256","105685dcf9fcc4b991e5a0165fb28d34a21bd536c768fa06a95d7e016db49149","",1,1634353208,"","","","",""
"2529093c-682f-404b-bc5f-d023ab987eee",63825,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, not stripped","",0,1634353208,"","","","",""
"ee9684fb-3747-48a8-8385-0ec6c676e426",63825,"Network activity","url","http://149.56.35.183/a-r.m-7.skidnet","",1,1634353208,"","","","",""
"19477bf7-74a6-43e0-b8f6-70bb47db22fd",63825,"Network activity","ip-dst","149.56.35.183","",1,1634353208,"","","","",""
"dd501c6a-6a63-4950-91af-64ccb7d599c0",63825,"External analysis","link","https://www.virustotal.com/gui/file/105685dcf9fcc4b991e5a0165fb28d34a21bd536c768fa06a95d7e016db49149/detection","",0,1634353209,"permalink","","8137013c-b238-4ffd-ab8e-20f847620734","virustotal-report","misc"
"f69984a7-5755-4735-afa9-6be94370ab24",63825,"Other","datetime","2021-10-16T00:41:52.000000+0000","",0,1634353209,"last-submission","","8137013c-b238-4ffd-ab8e-20f847620734","virustotal-report","misc"
"7f33a2a3-1afe-4fb2-aee9-e14f2905fffd",63825,"Other","text","31/60","",0,1634353209,"detection-ratio","","8137013c-b238-4ffd-ab8e-20f847620734","virustotal-report","misc"

