uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"09b57000-b3bf-4e98-8949-a45da29395b9",14789,"Payload delivery","filename","boatnet.ppc","",0,1704681003,"","","","",""
"6b3938fc-1f32-44cf-a98f-dcf757977661",14789,"Payload delivery","md5","37a928b1cf26b4b9aefd881befd376c1","",1,1704681003,"","","","",""
"c8f28b8e-2772-452e-98db-9063b03ff914",14789,"Payload delivery","sha1","306e86f3d31b68a2855c51f449605d37be8d64a3","",1,1704681003,"","","","",""
"818ff8d5-f2ad-4eb1-8c76-55df1def7b02",14789,"Payload delivery","sha256","313abb0639fff4cb358915a766755edc2815bc91e028bc8c94b1809549590f09","",1,1704681003,"","","","",""
"59bf85cb-20ea-43ba-9d74-ec802d1cfc64",14789,"Payload delivery","mime-type","application/x-executable","",0,1704681003,"","","","",""
"340ac61a-e42c-454f-bc0f-b56be06bea8a",14789,"Network activity","url","http://143.198.228.15/hiddenbin/boatnet.ppc","",1,1704681003,"","","","",""
"00b3c320-b666-4cb2-ab8a-4d2ecb89c021",14789,"Network activity","ip-dst","143.198.228.15","",1,1704681003,"","","","",""
"76059cf3-a11c-4c47-9101-7a695de1a880",14789,"External analysis","link","https://www.virustotal.com/gui/file/313abb0639fff4cb358915a766755edc2815bc91e028bc8c94b1809549590f09/detection","",0,1704681003,"permalink","","ab28ad33-fc2b-4a30-b405-7b46594fff4c","virustotal-report","misc"
"072caf41-482c-4fe3-b3f8-c5e8fa393144",14789,"Other","datetime","2024-01-02T14:49:24.000000+0000","",0,1704681003,"last-submission","","ab28ad33-fc2b-4a30-b405-7b46594fff4c","virustotal-report","misc"
"e1605d3f-25ee-4c73-aad6-79d9a532572d",14789,"Other","text","35/62","",0,1704681003,"detection-ratio","","ab28ad33-fc2b-4a30-b405-7b46594fff4c","virustotal-report","misc"

