uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"58b8c96b-10cd-4319-8572-12f5c814b727",22759,"Payload delivery","filename","3r4WCd0XDUwP","",0,1662736540,"","","","",""
"e7577037-ea5e-4c78-9178-eafd50823c7e",22759,"Payload delivery","md5","e33d877aeec8818d72035377f935768d","",1,1662736540,"","","","",""
"648bc32b-8d7d-42fc-bcb3-a4b8b76428c7",22759,"Payload delivery","sha1","4ac4a0a50c9ef6da3054bd5323661f02d586c61c","",1,1662736540,"","","","",""
"4d6c11f1-faf5-424f-9ab1-0af4c3a6700b",22759,"Payload delivery","sha256","fbf66aa4641ee40b89b7adeb3479c0e3366991ebbd22c513e25223ac62116141","",1,1662736540,"","","","",""
"13e831b5-80c6-4405-b6d0-a84640075da9",22759,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1662736540,"","","","",""
"8c5da1f8-669b-43bd-af0a-838ee59167de",22759,"Payload delivery","imphash","c21097c2852315e171a310c6ddb24202","",0,1662736540,"","","","",""
"7755ecef-f442-4038-acd6-e405926fa320",22759,"Network activity","url","http://www.twtneyea.xyz:8888/down/3r4WCd0XDUwP","",1,1662736540,"","","","",""
"233762d7-7be8-4a9b-a288-b075e2b0e8e0",22759,"Network activity","domain","www.twtneyea.xyz","",1,1662736540,"","","","",""
"ea16521a-942e-4650-99c5-1d601e3955e2",22759,"Other","text",".text","",0,1662736540,"name","","fc4ee4ad-9af1-4667-adc8-f1a78795c982","pe-section","file"
"32618195-17be-4de2-b8fa-f8c1c4193aa6",22759,"Payload delivery","md5","56a142f9a7485b521fe53354dfa5741e","",1,1662736540,"md5","","fc4ee4ad-9af1-4667-adc8-f1a78795c982","pe-section","file"
"6e0ec86d-8c63-4a18-91a3-f00fd19ac2e2",22759,"Payload delivery","sha1","aa8683b9912b58bbb9e758f0817dc12384769310","",1,1662736541,"sha1","","fc4ee4ad-9af1-4667-adc8-f1a78795c982","pe-section","file"
"79f65733-96c6-4e22-b244-724bcec789fb",22759,"Payload delivery","sha256","c28029e1cf13aff0740e70147d907fe59a7f2c6f3d221bf2b2eb40a09588d115","",1,1662736541,"sha256","","fc4ee4ad-9af1-4667-adc8-f1a78795c982","pe-section","file"
"92422fa6-44cd-4356-a429-f24196991538",22759,"Other","size-in-bytes",2556416,"",0,1662736541,"size-in-bytes","","fc4ee4ad-9af1-4667-adc8-f1a78795c982","pe-section","file"
"07b324a4-66d0-4781-9d2d-8a611be3a97d",22759,"Other","float",7.99994,"",0,1662736541,"entropy","","fc4ee4ad-9af1-4667-adc8-f1a78795c982","pe-section","file"
"c5609178-9437-4c13-a422-c31c890aad57",22759,"Other","text",".sejdata","",0,1662736541,"name","","7296abf0-96b9-42fc-a2a6-683d6ac63d16","pe-section","file"
"2e91d5b9-0a6e-46c3-895a-3a01c5829a15",22759,"Payload delivery","md5","2fa7ab96b804b2606f7c975d994a84c1","",1,1662736541,"md5","","7296abf0-96b9-42fc-a2a6-683d6ac63d16","pe-section","file"
"3b758c95-ee26-4633-8d0e-c2224cfae6fa",22759,"Payload delivery","sha1","a983811528372eb53d23576748b2e538559a9899","",1,1662736541,"sha1","","7296abf0-96b9-42fc-a2a6-683d6ac63d16","pe-section","file"
"cffcc976-0339-47f7-881f-182289f3fac3",22759,"Payload delivery","sha256","970badebe368c671581de173dbb19ae4e32f5d4118f650f7e89f2f5a9ff4f0f4","",1,1662736541,"sha256","","7296abf0-96b9-42fc-a2a6-683d6ac63d16","pe-section","file"
"f1730183-4e05-4cca-9f66-65cd79fc16ed",22759,"Other","size-in-bytes",1277952,"",0,1662736541,"size-in-bytes","","7296abf0-96b9-42fc-a2a6-683d6ac63d16","pe-section","file"
"d7326745-10c2-4695-9a41-087867a679e5",22759,"Other","float",7.27268,"",0,1662736541,"entropy","","7296abf0-96b9-42fc-a2a6-683d6ac63d16","pe-section","file"
"c64454b1-309c-4256-94a8-55ffb95998e2",22759,"Other","text",".idata","",0,1662736541,"name","","012e1f7f-1fce-4139-902b-b4e92762be28","pe-section","file"
"d33b26ce-80a6-402b-8974-7e9dbc2102b8",22759,"Payload delivery","md5","9fb1e1dc5956ac680c40f749485fbb19","",1,1662736541,"md5","","012e1f7f-1fce-4139-902b-b4e92762be28","pe-section","file"
"1f60ddba-939d-45a9-bc31-f58f050e8856",22759,"Payload delivery","sha1","1a118d8dd80734777b3f3e02c18681a04397318d","",1,1662736541,"sha1","","012e1f7f-1fce-4139-902b-b4e92762be28","pe-section","file"
"e78f95fa-988a-4ce7-af95-209a47818c24",22759,"Payload delivery","sha256","545c8c151203312e85cab06b81a620fb8c9becd04774a95047fc5449532b844c","",1,1662736541,"sha256","","012e1f7f-1fce-4139-902b-b4e92762be28","pe-section","file"
"9864bf13-2798-4d92-bd70-0563c934d523",22759,"Other","size-in-bytes",1536,"",0,1662736541,"size-in-bytes","","012e1f7f-1fce-4139-902b-b4e92762be28","pe-section","file"
"3cd44982-e134-4359-bdf0-cbc9699de710",22759,"Other","float",4.37665,"",0,1662736541,"entropy","","012e1f7f-1fce-4139-902b-b4e92762be28","pe-section","file"
"4232400a-94a5-4ecc-8fdf-f6006e7cfbf1",22759,"Other","text",".rsrc","",0,1662736542,"name","","617aac00-80e7-4730-9fbc-e0a11b935cdb","pe-section","file"
"da9eb050-37d9-4fd3-9422-e24bd5bc3d80",22759,"Payload delivery","md5","b868d1f40d6383a16c64800c4da94106","",1,1662736542,"md5","","617aac00-80e7-4730-9fbc-e0a11b935cdb","pe-section","file"
"f142be43-fbd3-45c3-80ca-1e810c3be894",22759,"Payload delivery","sha1","04a0380ad7fe626a83a7ab3ee93caf3c56fc0370","",1,1662736542,"sha1","","617aac00-80e7-4730-9fbc-e0a11b935cdb","pe-section","file"
"4e296c23-ac72-448c-9ff8-2fa18968fb0f",22759,"Payload delivery","sha256","e62a135b0b8ed7aa20d6a4d5b535192d69a5f5ca73fc55865394932698323cb9","",1,1662736542,"sha256","","617aac00-80e7-4730-9fbc-e0a11b935cdb","pe-section","file"
"b259a44d-1d5d-4eb9-87c4-80ac135c9871",22759,"Other","size-in-bytes",69632,"",0,1662736542,"size-in-bytes","","617aac00-80e7-4730-9fbc-e0a11b935cdb","pe-section","file"
"dc603b0f-0dea-47ed-8244-3ff123e4dede",22759,"Other","float",7.14138,"",0,1662736542,"entropy","","617aac00-80e7-4730-9fbc-e0a11b935cdb","pe-section","file"
"3990f4ef-bc8a-40f5-9fc3-61ff2f88828c",22759,"Other","text",".sejdata","",0,1662736542,"name","","0c5b4cd3-eb9d-48f0-a607-a19827201a23","pe-section","file"
"4ba1011a-d3e3-4327-92e4-f7d4ffd4764b",22759,"Payload delivery","md5","a9b01ef5bc0eb5755651072eedcadced","",1,1662736542,"md5","","0c5b4cd3-eb9d-48f0-a607-a19827201a23","pe-section","file"
"483cd24c-732c-4311-a252-0ef06c5dd015",22759,"Payload delivery","sha1","08507a6af1c2e16c1845d889dfd2ef7c2b3b4cad","",1,1662736542,"sha1","","0c5b4cd3-eb9d-48f0-a607-a19827201a23","pe-section","file"
"eee42747-08d3-4638-9d79-d6af4c27d74b",22759,"Payload delivery","sha256","b961f9b19d38a760baf6cead1d8ca46cab088b9c83d54e84e7db1ee5aa05809a","",1,1662736542,"sha256","","0c5b4cd3-eb9d-48f0-a607-a19827201a23","pe-section","file"
"281269c6-72de-4940-bb2a-aa23aa27134e",22759,"Other","size-in-bytes",4096,"",0,1662736542,"size-in-bytes","","0c5b4cd3-eb9d-48f0-a607-a19827201a23","pe-section","file"
"44f5121d-1785-4ffd-b1ca-cecc8f90db46",22759,"Other","float",7.98135,"",0,1662736542,"entropy","","0c5b4cd3-eb9d-48f0-a607-a19827201a23","pe-section","file"
"91f1de15-0365-40ee-b220-f60ea4473f38",22759,"External analysis","link","https://www.virustotal.com/gui/file/fbf66aa4641ee40b89b7adeb3479c0e3366991ebbd22c513e25223ac62116141/detection","",0,1662736542,"permalink","","1c72b4d2-0018-4839-b71f-f6eac6e81d23","virustotal-report","misc"
"44098212-469e-4af4-a19d-ac894510e231",22759,"Other","datetime","2022-09-09T12:59:43.000000+0000","",0,1662736542,"last-submission","","1c72b4d2-0018-4839-b71f-f6eac6e81d23","virustotal-report","misc"
"66bc3ccd-9c1c-46c4-89a3-52e5c75a310c",22759,"Other","text","34/71","",0,1662736542,"detection-ratio","","1c72b4d2-0018-4839-b71f-f6eac6e81d23","virustotal-report","misc"

