uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0ff2e241-b326-4507-8f04-c964e1f8c808",59153,"Payload delivery","filename",".audiodg.exe","",0,1627489091,"","","","",""
"f7d7cc39-743b-47bc-be53-1186d899557c",59153,"Payload delivery","md5","24a7e0a72257e28cf1c649e49e6cb5b9","",1,1627489091,"","","","",""
"d68d7c71-9b0e-4793-b384-914183a236ac",59153,"Payload delivery","sha1","2ca6b4be17bb2cd4a776599c85b06a80d0061897","",1,1627489091,"","","","",""
"f1dd7c52-debd-47d1-b71b-27afb5638efc",59153,"Payload delivery","sha256","871bf856570e8021effd3de1767e02189bb17bd426bf8b8974c8646789586cd5","",1,1627489091,"","","","",""
"d3a6c9d9-3ad9-4a75-9e37-c8119218f8ca",59153,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1627489091,"","","","",""
"12106053-aad7-4022-9791-6d50fcbc0668",59153,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1627489091,"","","","",""
"615edb4d-1faa-458e-a4b4-d8dc8ec62479",59153,"Network activity","url","http://103.155.80.201/office/.audiodg.exe","",1,1627489091,"","","","",""
"fa0c3f74-9eb7-4459-b293-78ebbaef9fe2",59153,"Network activity","ip-dst","103.155.80.201","",1,1627489092,"","","","",""
"bc3cf6ac-abfe-480b-a4ff-d0801ba9c01f",59153,"Other","text",".text","",0,1627489092,"name","","db21ccbf-6d63-4a1f-9630-b8ee329a04ca","pe-section","file"
"8a4e68c9-045b-4cc0-8fba-83a450f34fee",59153,"Payload delivery","md5","e0f378e8213f1ab04745cce5a21b585c","",1,1627489092,"md5","","db21ccbf-6d63-4a1f-9630-b8ee329a04ca","pe-section","file"
"4fad84f3-c311-4b12-adf8-075aa7978ce1",59153,"Payload delivery","sha1","b182166962bcf7faaf315b7b4672b5b14141e579","",1,1627489092,"sha1","","db21ccbf-6d63-4a1f-9630-b8ee329a04ca","pe-section","file"
"c3a5c926-32fa-4930-b02c-2e7a3f6bfad6",59153,"Payload delivery","sha256","fdeda52abac52cf6465d8d31f76806719a49822afa39a99bcc109663336d86ab","",1,1627489092,"sha256","","db21ccbf-6d63-4a1f-9630-b8ee329a04ca","pe-section","file"
"a87442a6-7fe8-40b7-97de-01d284b6f846",59153,"Other","size-in-bytes",1185792,"",0,1627489092,"size-in-bytes","","db21ccbf-6d63-4a1f-9630-b8ee329a04ca","pe-section","file"
"2d0874eb-1a17-4bb1-a703-4733e382fd83",59153,"Other","float",6.36504,"",0,1627489092,"entropy","","db21ccbf-6d63-4a1f-9630-b8ee329a04ca","pe-section","file"
"729d3356-7cf6-4e6d-aaeb-a7c7f0158bb9",59153,"Other","text",".rsrc","",0,1627489092,"name","","63207210-cf09-4885-9bd5-2b4f403fa8f1","pe-section","file"
"01c3e400-139b-47ed-8ee5-4b734cc2c875",59153,"Payload delivery","md5","cfb9c9f8822c3a9cf805847717883068","",1,1627489092,"md5","","63207210-cf09-4885-9bd5-2b4f403fa8f1","pe-section","file"
"9be50a79-7b3f-4a23-b2e7-08c020ee5de3",59153,"Payload delivery","sha1","c29d55cee99028898dbafbf8e3f4228105f05754","",1,1627489092,"sha1","","63207210-cf09-4885-9bd5-2b4f403fa8f1","pe-section","file"
"fcfe9a48-cbfb-4b5a-aa1e-9dac66c44dfa",59153,"Payload delivery","sha256","ff8c5c86c6821cbf6e638e347d3ab0989780881c5a27aaabba52938250fbdd79","",1,1627489092,"sha256","","63207210-cf09-4885-9bd5-2b4f403fa8f1","pe-section","file"
