uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"90f9a411-5096-43a8-ae03-ecc46c82087e",42517,"Payload delivery","filename","arm61","",0,1609581541,"","","","",""
"895a0919-067c-4fce-b2ea-9e0c0ffe04f9",42517,"Payload delivery","md5","f7ff18b23448f7a20c5c46ffea5a07b1","",1,1609581541,"","","","",""
"6f62da34-2dd6-4083-842b-b378f97123eb",42517,"Payload delivery","sha1","3408a34214836008fe8b18da498967f485e36c6b","",1,1609581541,"","","","",""
"f6c2e031-6cb1-48e7-b5be-e34b70bcffea",42517,"Payload delivery","sha256","a2f360d84351cc5909dcd234093a2b6b15bf83f723b3866b516642bfceb1eb40","",1,1609581541,"","","","",""
"b18ca164-bdc5-4da9-835c-714e5bc86ec8",42517,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1609581541,"","","","",""
"fef5d441-9245-47ba-b770-598d45779517",42517,"Network activity","url","http://192.46.209.48/arm61","",1,1609581541,"","","","",""
"2c50d4ae-95fe-447a-bfb5-d35519fc2f75",42517,"Network activity","ip-dst","192.46.209.48","",1,1609581541,"","","","",""
"bcb55a71-3409-49e3-a0e0-185e237302bb",42517,"External analysis","link","https://www.virustotal.com/gui/file/a2f360d84351cc5909dcd234093a2b6b15bf83f723b3866b516642bfceb1eb40/detection","",0,1609581542,"permalink","","fddec1db-e828-4987-bb75-c808c73f21fb","virustotal-report","misc"
"e6dc67ab-31ad-4c5b-a95e-28e595ccca34",42517,"Other","datetime","2021-01-02T05:33:15.000000+0000","",0,1609581542,"last-submission","","fddec1db-e828-4987-bb75-c808c73f21fb","virustotal-report","misc"
"5cd6baee-63d0-4238-96b1-b642a25d7554",42517,"Other","text","34/62","",0,1609581542,"detection-ratio","","fddec1db-e828-4987-bb75-c808c73f21fb","virustotal-report","misc"

