uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"41c94548-f6f0-48c2-97cd-b7e15b81324e",11731,"Payload delivery","filename","db0fa4b8db0333367e9bda3ab68b8042.arm","",0,1651135683,"","","","",""
"d6f2375f-3875-4ffc-88fc-cd82b0af8192",11731,"Payload delivery","md5","a3e31fb420af93f7d2d1b872e3052c5b","",1,1651135683,"","","","",""
"0b0d3fb1-7ce6-4ba3-8552-a7b6f5633572",11731,"Payload delivery","sha1","59c7616f5f3bf4fc2cc88c19c2df1ea346d512ab","",1,1651135683,"","","","",""
"e3a27053-b990-47cb-b74d-cf439aaeeea2",11731,"Payload delivery","sha256","1d6b80675d3a405108930b421e941343f3b4c179951d69f4d8d6429fdd748b5b","",1,1651135683,"","","","",""
"b1e73508-bb00-4ea0-aa71-9b387d653657",11731,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1651135683,"","","","",""
"f5e070f2-e8c6-4831-8dbb-819969ca3f94",11731,"Network activity","url","http://payload.krakenbit.net/596a96cc7bf9108cd896f33c44aedc8a/db0fa4b8db0333367e9bda3ab68b8042.arm","",1,1651135683,"","","","",""
"ae15d695-619c-4084-b583-3cd6f477ab91",11731,"Network activity","domain","payload.krakenbit.net","",1,1651135683,"","","","",""
"982015a8-2422-4eff-b4ac-4b7a86a9af27",11731,"External analysis","link","https://www.virustotal.com/gui/file/1d6b80675d3a405108930b421e941343f3b4c179951d69f4d8d6429fdd748b5b/detection","",0,1651135684,"permalink","","f7cfc8d8-6bf5-4cea-bb1f-eef34ab9c6b5","virustotal-report","misc"
"a91d57c0-88f5-4081-a99d-8527a8e66113",11731,"Other","datetime","2022-04-28T08:09:26.000000+0000","",0,1651135684,"last-submission","","f7cfc8d8-6bf5-4cea-bb1f-eef34ab9c6b5","virustotal-report","misc"
"703381ad-6005-4635-a743-b49646dd7ca8",11731,"Other","text","34/60","",0,1651135684,"detection-ratio","","f7cfc8d8-6bf5-4cea-bb1f-eef34ab9c6b5","virustotal-report","misc"

