uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"48a5d937-578a-46f9-b34c-001a31df648c",45083,"Payload delivery","filename","UnHAnaAW.arm5","",0,1611664938,"","","","",""
"b912f631-64a9-4de8-a362-7577e4a33ad7",45083,"Payload delivery","md5","fecdc48d5a432fc76c367f12693392b2","",1,1611664938,"","","","",""
"c5c63388-8182-4274-8158-00aec242f305",45083,"Payload delivery","sha1","02853b1ac6b30f74d30bf7840e5f68fd306798a7","",1,1611664938,"","","","",""
"b402900f-e167-4acf-9ba9-660b07f407ed",45083,"Payload delivery","sha256","d877e5ee359e82bfe35c1a8ee41e44d4f39732e8b3574f6797b6bd952c3ceb2d","",1,1611664938,"","","","",""
"7290cad3-84f6-45dd-a1ce-cd86fc2e874c",45083,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped","",0,1611664938,"","","","",""
"ed3e1504-c7c4-4578-96bb-31a24c7c3bf4",45083,"Network activity","url","http://39.97.212.218/bins2/UnHAnaAW.arm5","",1,1611664939,"","","","",""
"d8f11519-e3f3-4a6d-8657-2bfdaec427e0",45083,"Network activity","ip-dst","39.97.212.218","",1,1611664939,"","","","",""
"97a32877-6a42-4813-af72-7dc33c55d0e3",45083,"External analysis","link","https://www.virustotal.com/gui/file/d877e5ee359e82bfe35c1a8ee41e44d4f39732e8b3574f6797b6bd952c3ceb2d/detection","",0,1611664939,"permalink","","6e02be44-854d-4f8f-93ef-5acea6c2af32","virustotal-report","misc"
"718722df-60b1-48ec-a46f-0a7d4109bda3",45083,"Other","datetime","2021-01-25T17:56:14.000000+0000","",0,1611664939,"last-submission","","6e02be44-854d-4f8f-93ef-5acea6c2af32","virustotal-report","misc"
"9b7c1b8c-90e4-427f-9c63-11270e458a9e",45083,"Other","text","30/62","",0,1611664939,"detection-ratio","","6e02be44-854d-4f8f-93ef-5acea6c2af32","virustotal-report","misc"

