uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"71594073-5015-4aaa-be04-188d1ff8a8a3",14013,"Payload delivery","filename","xyoriginzx.exe","",0,1701943026,"","","","",""
"52966a21-6448-4d4d-a9e5-8822b9c79709",14013,"Payload delivery","md5","902625081981f225088e843c8006ba70","",1,1701943026,"","","","",""
"caa3b5fe-618e-4a98-9158-c26ba350b858",14013,"Payload delivery","sha1","363335c5afc87bda6689d2ada3a32338a94699c2","",1,1701943026,"","","","",""
"2532f41a-8d36-426d-9902-b40f27fca25d",14013,"Payload delivery","sha256","ab4bf405f7974a896d2908640ee1e09281035911ea6760076d2cc1271afc3869","",1,1701943026,"","","","",""
"c1af91c0-f325-40a1-ab41-a55525e345a2",14013,"Payload delivery","mime-type","application/x-dosexec","",0,1701943026,"","","","",""
"66bfe89e-4e43-4d5e-a544-110e129a4fff",14013,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1701943026,"","","","",""
"b489b5ad-677d-4626-abe7-37cbf34ada36",14013,"Network activity","url","http://fresh1.ironoreprod.top/_errorpages/xyoriginzx.exe","",1,1701943026,"","","","",""
"6e414ef1-8a79-4a91-bdbd-f8ec85b677d1",14013,"Network activity","domain","fresh1.ironoreprod.top","",1,1701943026,"","","","",""
"019e1435-c04c-48b6-94fd-263fb0d40485",14013,"Other","text",".text","",0,1701943027,"name","","c9f41430-3d5d-4fd7-b39e-c5470980ef68","pe-section","file"
"d3ff14a6-824f-4ea1-8244-088ef87a80b1",14013,"Payload delivery","md5","5c32f2d559226f7fb42eb1daa79dab91","",1,1701943027,"md5","","c9f41430-3d5d-4fd7-b39e-c5470980ef68","pe-section","file"
"99ec8d69-3ca1-4ffc-84a9-4299b935e5da",14013,"Payload delivery","sha1","36dcff4bcdbaf994fb406304859a9a967943dcd8","",1,1701943027,"sha1","","c9f41430-3d5d-4fd7-b39e-c5470980ef68","pe-section","file"
"b22aa93d-9c07-4d06-985e-8efded95f277",14013,"Payload delivery","sha256","e839f9fb987a4032ee09ac7a56ab3854371550aaed07a1cce5873e662a37e156","",1,1701943027,"sha256","","c9f41430-3d5d-4fd7-b39e-c5470980ef68","pe-section","file"
"48185bfe-b32b-4311-ab59-d7c8729015f0",14013,"Other","size-in-bytes",541184,"",0,1701943027,"size-in-bytes","","c9f41430-3d5d-4fd7-b39e-c5470980ef68","pe-section","file"
"0b9425d1-35ff-4634-b29c-0874b5933474",14013,"Other","float",7.92942,"",0,1701943027,"entropy","","c9f41430-3d5d-4fd7-b39e-c5470980ef68","pe-section","file"
"c0772e7b-1c80-4b4a-97b7-2b15c1a21cf4",14013,"Other","text",".rsrc","",0,1701943027,"name","","cc62f947-aa9c-4936-babf-e236832b3a16","pe-section","file"
"69d11242-a02a-447c-aa9c-8899128a6a76",14013,"Payload delivery","md5","78372f419a11799254f72ae2a710d45c","",1,1701943027,"md5","","cc62f947-aa9c-4936-babf-e236832b3a16","pe-section","file"
"35e8eb97-691f-4eb4-abf8-5a34a4f66f9c",14013,"Payload delivery","sha1","0b06faf514cdef80676921ee673c0b61891dbe76","",1,1701943027,"sha1","","cc62f947-aa9c-4936-babf-e236832b3a16","pe-section","file"
"db7a6490-3417-462d-a237-6ee1fa9ae79a",14013,"Payload delivery","sha256","56cf1dadfbc21f4648fbf0773aaa47a0a57a4244a42885015de5d47682257613","",1,1701943027,"sha256","","cc62f947-aa9c-4936-babf-e236832b3a16","pe-section","file"
"be46fed8-04dd-4c0b-a028-3863148bc306",14013,"Other","size-in-bytes",2048,"",0,1701943027,"size-in-bytes","","cc62f947-aa9c-4936-babf-e236832b3a16","pe-section","file"
"7af6c573-bd2d-4590-ab80-723edb2d78d8",14013,"Other","float",3.4745,"",0,1701943027,"entropy","","cc62f947-aa9c-4936-babf-e236832b3a16","pe-section","file"
"780ccd24-975c-4dc9-bb9c-98b0d0b9c4fb",14013,"Other","text",".reloc","",0,1701943027,"name","","845c8d18-0344-40b1-bd2c-73c934a61a31","pe-section","file"
"9d039df6-e633-4fad-b912-b518424b668d",14013,"Payload delivery","md5","4533297b0fb2c9247d329db391ed5a35","",1,1701943027,"md5","","845c8d18-0344-40b1-bd2c-73c934a61a31","pe-section","file"
"ac677301-363a-46ce-8a66-85562c4ed5df",14013,"Payload delivery","sha1","ba12a9b4a5be26ef5a081906de31aac425d92d3f","",1,1701943027,"sha1","","845c8d18-0344-40b1-bd2c-73c934a61a31","pe-section","file"
"ce3797cd-4299-48bb-86b5-dcc72b8f18b9",14013,"Payload delivery","sha256","901a77762890bc93c4bd0469b54e89943066a5caa0d2476a6e0cc2ec68f35bd8","",1,1701943027,"sha256","","845c8d18-0344-40b1-bd2c-73c934a61a31","pe-section","file"
"6bbf4ef8-5277-4086-97e9-080f39be0dc7",14013,"Other","size-in-bytes",512,"",0,1701943027,"size-in-bytes","","845c8d18-0344-40b1-bd2c-73c934a61a31","pe-section","file"
"c7d3648f-b4f2-4d2f-b6b0-9e49ae51ee97",14013,"Other","float",0.10191,"",0,1701943027,"entropy","","845c8d18-0344-40b1-bd2c-73c934a61a31","pe-section","file"
