uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5bfd1444-f91e-47e0-9fef-b15a75cc8016",57317,"Payload delivery","filename","egoigwe.exe","",0,1624696513,"","","","",""
"99625b4d-ecdc-4a99-b3ee-5bb9132fb5ac",57317,"Payload delivery","md5","452b278f614b59c5e8a9160f4c69c91f","",1,1624696513,"","","","",""
"cb886e33-1224-40d4-af3c-fc8771350779",57317,"Payload delivery","sha1","233d282a8fd95c3aa6e869c3320686a19ecbb60c","",1,1624696513,"","","","",""
"0e312cb9-6c74-4031-bc9a-9794d630f9e6",57317,"Payload delivery","sha256","05bc6befa45c61005487004f802ed45110b5be2fc4ac24063dc98b168dfb8801","",1,1624696513,"","","","",""
"ca5e1583-b899-471b-9acf-c9bd358808c6",57317,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1624696513,"","","","",""
"af6e68c8-d233-492f-a97b-1645cba143d6",57317,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1624696513,"","","","",""
"f6e6d014-5ba4-400f-931d-49ea411b9fbd",57317,"Network activity","url","https://manomir.ro/egoigwe.exe","",1,1624696513,"","","","",""
"3425289f-162a-4660-9787-f243b2d0fc8a",57317,"Network activity","domain","manomir.ro","",1,1624696513,"","","","",""
"1a1340ca-e53e-4848-8b58-eff213248ccc",57317,"Other","text",".text","",0,1624696518,"name","","1b00af75-893f-4d48-820f-8b769b688039","pe-section","file"
"e1972d57-4837-4a26-8dbb-f9174839952e",57317,"Payload delivery","md5","71b7e7c0b2da12c1abfc19a3d4c67f0c","",1,1624696519,"md5","","1b00af75-893f-4d48-820f-8b769b688039","pe-section","file"
"52982bc6-b685-4815-82dc-bacda60a9b18",57317,"Payload delivery","sha1","72343733ba0d53cf143ebd02c437ea6368e3f895","",1,1624696519,"sha1","","1b00af75-893f-4d48-820f-8b769b688039","pe-section","file"
"7e603b7c-a14f-4f78-a231-71abdd954f98",57317,"Payload delivery","sha256","16145083a3a2a75094206573c66961df0088d0af44cb8b85b3f9d3eb5839ac5d","",1,1624696520,"sha256","","1b00af75-893f-4d48-820f-8b769b688039","pe-section","file"
"2b4436c1-ea19-422b-adaa-530355ebbaad",57317,"Other","size-in-bytes",408064,"",0,1624696520,"size-in-bytes","","1b00af75-893f-4d48-820f-8b769b688039","pe-section","file"
"32a8cdab-31cf-40f1-8647-a55740154cc7",57317,"Other","float",7.6868,"",0,1624696520,"entropy","","1b00af75-893f-4d48-820f-8b769b688039","pe-section","file"
"22ca9f0c-9633-40eb-ab3d-4cb5a6749d23",57317,"Other","text",".rsrc","",0,1624696520,"name","","e7ba6b93-2c3b-456f-9d48-5f670cc750af","pe-section","file"
"81dd67b5-202b-427d-b9a4-ba6adf970bf2",57317,"Payload delivery","md5","789585a59204d0dd7911c68aa5eb4c37","",1,1624696520,"md5","","e7ba6b93-2c3b-456f-9d48-5f670cc750af","pe-section","file"
"a67102f4-c360-49ab-be84-602e3a924cdd",57317,"Payload delivery","sha1","001122a4c2d1524b31368104f06484673326c736","",1,1624696520,"sha1","","e7ba6b93-2c3b-456f-9d48-5f670cc750af","pe-section","file"
"0c4568e2-f90b-491d-804e-6231d4909e90",57317,"Payload delivery","sha256","8b9aa1862bdc6f186345c374e30be655f160cfcf2f23223d904e6a0eb1f22906","",1,1624696520,"sha256","","e7ba6b93-2c3b-456f-9d48-5f670cc750af","pe-section","file"
"50063202-9d27-49be-bd35-2a7c9033f968",57317,"Other","size-in-bytes",7680,"",0,1624696520,"size-in-bytes","","e7ba6b93-2c3b-456f-9d48-5f670cc750af","pe-section","file"
"aa5d1d18-8124-4fcf-b37d-50109bf66a9e",57317,"Other","float",5.65888,"",0,1624696520,"entropy","","e7ba6b93-2c3b-456f-9d48-5f670cc750af","pe-section","file"
"c42e46e6-27a0-437b-95a4-94510a62381c",57317,"Other","text",".reloc","",0,1624696520,"name","","7cdb27b2-ebf2-446e-ac3b-0c10a45d73a6","pe-section","file"
"fd3e5907-638f-4f84-8b38-1eb1eaf9f254",57317,"Payload delivery","md5","0a01b3e72eed16601ea54b6b84de7466","",1,1624696520,"md5","","7cdb27b2-ebf2-446e-ac3b-0c10a45d73a6","pe-section","file"
"49d5c969-7e33-4213-a1f5-a3aa69812518",57317,"Payload delivery","sha1","85b0e18418c99752e124729fec31a2c262abb44b","",1,1624696520,"sha1","","7cdb27b2-ebf2-446e-ac3b-0c10a45d73a6","pe-section","file"
"a306cd2d-0c8d-4899-900e-3101e6af6ef7",57317,"Payload delivery","sha256","f16fb436ac9a8de9ac84c8374e1e78456c00033df582e34114b7f7be097e20d8","",1,1624696520,"sha256","","7cdb27b2-ebf2-446e-ac3b-0c10a45d73a6","pe-section","file"
"b9a58eb3-1d89-4282-82f3-f16cd29bdc5d",57317,"Other","size-in-bytes",512,"",0,1624696520,"size-in-bytes","","7cdb27b2-ebf2-446e-ac3b-0c10a45d73a6","pe-section","file"
"0ca91417-eead-4eb2-975f-618ebf529793",57317,"Other","float",0.10191,"",0,1624696520,"entropy","","7cdb27b2-ebf2-446e-ac3b-0c10a45d73a6","pe-section","file"
"aa7f9d79-35bb-4151-ba49-649b8e6f5152",57317,"External analysis","link","https://www.virustotal.com/gui/file/05bc6befa45c61005487004f802ed45110b5be2fc4ac24063dc98b168dfb8801/detection","",0,1624696521,"permalink","","9e9f1b4e-1d71-48ff-a5be-8affc2a7fe2a","virustotal-report","misc"
"d76b5bd5-3406-47e0-865a-3dba4e7043a2",57317,"Other","datetime","2021-06-24T23:34:09.000000+0000","",0,1624696521,"last-submission","","9e9f1b4e-1d71-48ff-a5be-8affc2a7fe2a","virustotal-report","misc"
"732896b7-bc66-49e6-8443-d8e73af0f10f",57317,"Other","text","36/69","",0,1624696521,"detection-ratio","","9e9f1b4e-1d71-48ff-a5be-8affc2a7fe2a","virustotal-report","misc"

