uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"85639273-4b15-4398-9a0d-26f06e603f10",64458,"Payload delivery","filename","vi9b66.jpg","",0,1635347963,"","","","",""
"b103eded-2a41-4f27-8e29-82af45940d7e",64458,"Payload delivery","md5","c58c2949ed8a37b1e249d1407c975dac","",1,1635347963,"","","","",""
"fb90da25-357f-46cf-b350-231a75db5958",64458,"Payload delivery","sha1","46f23e54f7461b2f833869c2b351a7c606defdae","",1,1635347963,"","","","",""
"d736de2d-7477-4a77-a31b-5afd0bacc6c2",64458,"Payload delivery","sha256","7144729552a1b5ded6df7bcd87d5a555621af84b1a3f246772b23b296cb33d65","",1,1635347963,"","","","",""
"35723da8-6b3b-41dd-b430-2229b33ebd61",64458,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1635347963,"","","","",""
"38e5a70b-5c81-4aac-a076-8fad288744ab",64458,"Payload delivery","imphash","f6d4b47e1bc89bb641c0d813d6729161","",0,1635347963,"","","","",""
"b441295d-0f7f-4a96-8ced-7e66ba0fc758",64458,"Network activity","url","https://app.northerntrader.net/vi9b66.jpg","",1,1635347963,"","","","",""
"b5dee95a-ead1-4e18-b90c-bf025fe455a5",64458,"Network activity","domain","app.northerntrader.net","",1,1635347963,"","","","",""
"f9ca99a5-d319-41c8-b300-b84f2399c758",64458,"Other","text",".text","",0,1635347964,"name","","40c771eb-e74b-40e9-a2bc-4d9e4176c0d7","pe-section","file"
"c6bcfc5f-86c3-4856-a3c3-97b8aa1d8846",64458,"Payload delivery","md5","a9a3565e55b41e8487f6dd65435f1bc2","",1,1635347964,"md5","","40c771eb-e74b-40e9-a2bc-4d9e4176c0d7","pe-section","file"
"efbdbb74-5cb1-47a9-a662-02966c007cde",64458,"Payload delivery","sha1","f21eb67d00e99f4a7b0f0cd6e812b982aecde444","",1,1635347964,"sha1","","40c771eb-e74b-40e9-a2bc-4d9e4176c0d7","pe-section","file"
"1b49b027-e639-4c52-977a-e128bf8c38f7",64458,"Payload delivery","sha256","31f5061ecb954f0549aaf8e21ce0cb6bd227a2c21eac70e1e28ab749577dafd4","",1,1635347964,"sha256","","40c771eb-e74b-40e9-a2bc-4d9e4176c0d7","pe-section","file"
