uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"04685096-6d88-453f-bad7-01ae1f2e68a7",12050,"Payload delivery","filename","66f6fb19d15d0_vfdsfjfdms12.exe","",0,1727956028,"","","","",""
"79e48291-44bb-49b0-b230-c45af35b63e7",12050,"Payload delivery","md5","10e555691e5bd8608d3afde0c81a61e4","",1,1727956028,"","","","",""
"cccf6c97-e9ad-427f-8d45-c3069306beca",12050,"Payload delivery","sha1","37480fa81dca9c7fa109820b0b86ed3ec7258b04","",1,1727956028,"","","","",""
"79320335-15d1-4fae-8f78-36a4d5f7001b",12050,"Payload delivery","sha256","13c42c85bbeaac50ca5cebc9433e1b12c7f2072a833f60c54d59375993af2ecc","",1,1727956028,"","","","",""
"e1961ef9-935a-4c2f-bcf3-0b64def3834a",12050,"Payload delivery","mime-type","application/x-dosexec","",0,1727956028,"","","","",""
"732d37ce-de67-4467-afe7-c6e2537402fe",12050,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1727956028,"","","","",""
"fd774668-4d80-41e3-9ddd-cbc579991a0c",12050,"Network activity","url","http://playd.healthnlife.pk/prog/66f6fb19d15d0_vfdsfjfdms12.exe","",1,1727956028,"","","","",""
"6e7d8afe-e233-4f54-9d5e-f7122300a101",12050,"Network activity","domain","playd.healthnlife.pk","",1,1727956028,"","","","",""
"34a3416b-149e-4f0a-9709-e01aa46360bf",12050,"Other","text",".text","",0,1727956028,"name","","a9306802-7a00-4202-8bd4-6859746d7fb2","pe-section","file"
"902601ff-0b39-481c-affe-5e761158579e",12050,"Payload delivery","md5","4f15a2bfa29c6caee3bcb86c8c81d83b","",1,1727956028,"md5","","a9306802-7a00-4202-8bd4-6859746d7fb2","pe-section","file"
"cc2dc099-12a9-4a81-a1c9-e6dd74a6fc24",12050,"Payload delivery","sha1","1bb0845105f17e1b68fa2d199102729c570ffa18","",1,1727956028,"sha1","","a9306802-7a00-4202-8bd4-6859746d7fb2","pe-section","file"
"49f96b8d-52f7-4b21-85fd-163db4891b61",12050,"Payload delivery","sha256","ed807aee8ca4bdcdf75bb375a56d26ba5571d6115d7c443c87fad4147fcff044","",1,1727956028,"sha256","","a9306802-7a00-4202-8bd4-6859746d7fb2","pe-section","file"
"478bbab4-e37c-4d4a-8f23-59d8010e9883",12050,"Other","size-in-bytes",401920,"",0,1727956028,"size-in-bytes","","a9306802-7a00-4202-8bd4-6859746d7fb2","pe-section","file"
"29d3fd73-8d05-49f5-bb99-8a0a623b235b",12050,"Other","float",7.99603,"",0,1727956028,"entropy","","a9306802-7a00-4202-8bd4-6859746d7fb2","pe-section","file"
"a6fd9dc7-7b99-408f-ba16-b5f1fd14d542",12050,"Other","text",".rsrc","",0,1727956028,"name","","37cbfe6b-6795-4070-8470-5b60e9fb708e","pe-section","file"
