uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"3ada16d3-2782-46a9-942d-590f0da5eb7b",39563,"Payload delivery","filename","xzspc","",0,1682864944,"","","","",""
"d3346ac6-e8dd-4f30-8fab-f9f9b36f98f3",39563,"Payload delivery","md5","e077fecfd7777cffc884b9c4eb277366","",1,1682864944,"","","","",""
"71f1c052-a512-43fd-ba40-131faf99a54b",39563,"Payload delivery","sha1","f5cd3f551d5360b8c77ff1e6348dbeabcae761f2","",1,1682864944,"","","","",""
"b564edcf-c41d-4c9c-be2d-090f39fecc6e",39563,"Payload delivery","sha256","a41955176432092b2881ea8f8c2538902cea9c536a03dbf26f6a45dcff1cf9af","",1,1682864944,"","","","",""
"13fc812b-49d8-42ec-80e2-27ed65dc1656",39563,"Payload delivery","mime-type","ELF 32-bit MSB executable, SPARC, version 1 (SYSV), statically linked, stripped","",0,1682864944,"","","","",""
"c5e7ee3c-11be-4713-9e7b-700d5acc283e",39563,"Network activity","url","http://109.122.221.146/xzspc","",1,1682864944,"","","","",""
"aef8f9b8-8554-4236-8359-0fac59df2cf5",39563,"Network activity","ip-dst","109.122.221.146","",1,1682864944,"","","","",""
"b4a82fed-418c-4eee-8acb-fb7606f8cc28",39563,"External analysis","link","https://www.virustotal.com/gui/file/a41955176432092b2881ea8f8c2538902cea9c536a03dbf26f6a45dcff1cf9af/detection","",0,1682864944,"permalink","","1ddddb16-64db-4ae0-8c8b-0e9c4217dec6","virustotal-report","misc"
"02e18244-507a-4927-ac33-0ce38499734f",39563,"Other","datetime","2023-04-30T14:24:17.000000+0000","",0,1682864944,"last-submission","","1ddddb16-64db-4ae0-8c8b-0e9c4217dec6","virustotal-report","misc"
"b320c165-4e60-41ef-8a95-d1b1d545dd47",39563,"Other","text","31/61","",0,1682864944,"detection-ratio","","1ddddb16-64db-4ae0-8c8b-0e9c4217dec6","virustotal-report","misc"

