uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ce628e69-13f7-469b-848c-aadc892c8dba",49903,"Payload delivery","filename","ww_.exe","",0,1615467853,"","","","",""
"af8478d5-e1b9-481a-80eb-ea172285fea4",49903,"Payload delivery","md5","5e08a1e8df86bc1480463312ed918927","",1,1615467853,"","","","",""
"0a5caa6c-a640-4339-a15c-b8940e6e19e1",49903,"Payload delivery","sha1","416e3c9951a2bd06384e9a14bc43272da4778ebb","",1,1615467853,"","","","",""
"f2683771-d019-4ce7-b6be-48351f46ed4e",49903,"Payload delivery","sha256","52c1398c884e651a0dab8f4836d470feee0bc599196a7e1fc90dc6572e09322b","",1,1615467853,"","","","",""
"6bc33a47-0c77-4131-ac07-146ebcc2082c",49903,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1615467853,"","","","",""
"28df7891-8cf5-4679-99cb-0d24825420aa",49903,"Payload delivery","imphash","ec729e9ce614fbf83b94fcfe5114a442","",0,1615467853,"","","","",""
"c5769af4-1c37-4668-ad65-7a37808fc89c",49903,"Network activity","url","https://blog.agencia10x.com/ww_.exe","",1,1615467853,"","","","",""
"90abd29b-e519-4f4a-8429-db6d6d673a28",49903,"Network activity","domain","blog.agencia10x.com","",1,1615467853,"","","","",""
"a0c2801d-5889-43ae-b455-2c8b4ca1ead8",49903,"Other","text",".text","",0,1615467853,"name","","b782871a-405c-4ff3-924c-86f1a76d5474","pe-section","file"
"ff0c1ca7-dab2-44d8-8479-8fe419807a54",49903,"Payload delivery","md5","6ce7dad9b9ebce33ba3b29100d0979ec","",1,1615467853,"md5","","b782871a-405c-4ff3-924c-86f1a76d5474","pe-section","file"
"98482990-c341-4eb1-971c-4e82dc6b2861",49903,"Payload delivery","sha1","cbd2634e8ad4b3e6961ee39f6d08183cd6a0be76","",1,1615467853,"sha1","","b782871a-405c-4ff3-924c-86f1a76d5474","pe-section","file"
"500184dd-c6fe-4407-8414-5a9eb033a7df",49903,"Payload delivery","sha256","798b74bd04cba5da647b9599f36ff3ccaf2e82655bda67c9da8347b211659e30","",1,1615467853,"sha256","","b782871a-405c-4ff3-924c-86f1a76d5474","pe-section","file"
"a1cb4f50-41ab-4802-9202-342f3a9fc990",49903,"Other","size-in-bytes",374784,"",0,1615467853,"size-in-bytes","","b782871a-405c-4ff3-924c-86f1a76d5474","pe-section","file"
"3844ce5b-7161-4684-8fc4-56950c21670b",49903,"Other","float",7.95457,"",0,1615467853,"entropy","","b782871a-405c-4ff3-924c-86f1a76d5474","pe-section","file"
"ccea61f9-4e12-4115-8405-b5ce5db6b2ef",49903,"Other","text",".rdata","",0,1615467854,"name","","4c4527a6-ebd0-4405-91f1-a95c6724dafa","pe-section","file"
