uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7f202c54-880b-493f-b330-046843d433d5",8606,"Payload delivery","filename","Gqydbkduv.exe","",0,1648644617,"","","","",""
"afe8f360-1887-4e3c-b467-baebc0a0e4bf",8606,"Payload delivery","md5","bb66ac77a6f577fd005f8f94201acb4b","",1,1648644617,"","","","",""
"0e6a2352-8eac-41b1-bfaf-7aea1781f3ec",8606,"Payload delivery","sha1","23af61c1a6d54788135caeadab5852cafc47839f","",1,1648644617,"","","","",""
"038259c4-162d-420b-be01-e36f9a6c926d",8606,"Payload delivery","sha256","c7b56c683edbdb375df869890333bc30c4357cd80d83698cdb0694fbc686a598","",1,1648644618,"","","","",""
"f567210b-3810-4faf-a14e-650f561e2d67",8606,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1648644618,"","","","",""
"8ae7ad95-ba8d-47f3-a41d-8d459f6d3039",8606,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1648644618,"","","","",""
"8097b473-6412-46bc-acbd-bdc72bade2c0",8606,"Network activity","url","http://ddl7.data.hu/get/296616/13244099/Gqydbkduv.exe","",1,1648644618,"","","","",""
"c45ce1d5-775c-45e6-98ed-515dfff4a92e",8606,"Network activity","domain","ddl7.data.hu","",1,1648644618,"","","","",""
"f47d2a7d-a4ea-45bc-9138-6be31feeea68",8606,"Other","text",".text","",0,1648644629,"name","","d188216a-cb50-4ae8-8dd4-ab2852f0217e","pe-section","file"
"459bd5f6-6f04-487c-9cbd-5852b5d174b5",8606,"Payload delivery","md5","318e2b96865d577963bc5ca12bf99ea2","",1,1648644629,"md5","","d188216a-cb50-4ae8-8dd4-ab2852f0217e","pe-section","file"
"0577d120-e54c-475b-816c-0209cde0c5b7",8606,"Payload delivery","sha1","07b4a193ae0749ba112769e0da563e1df2dc3b77","",1,1648644629,"sha1","","d188216a-cb50-4ae8-8dd4-ab2852f0217e","pe-section","file"
"29dda7ef-928d-4409-8aec-bd725b0eab19",8606,"Payload delivery","sha256","f012167e7bcb2b924654f51552d57d40866fb28d311715396e5de8086090906c","",1,1648644629,"sha256","","d188216a-cb50-4ae8-8dd4-ab2852f0217e","pe-section","file"
"93974c52-74fa-472b-8220-c9592a1c73be",8606,"Other","size-in-bytes",2533888,"",0,1648644629,"size-in-bytes","","d188216a-cb50-4ae8-8dd4-ab2852f0217e","pe-section","file"
"e436b6e3-80fa-4c64-b961-02b879c877ec",8606,"Other","float",7.82596,"",0,1648644629,"entropy","","d188216a-cb50-4ae8-8dd4-ab2852f0217e","pe-section","file"
"bad4c225-6254-4bc8-b666-a72a5ce20cde",8606,"Other","text",".rsrc","",0,1648644639,"name","","6f10a412-09cd-466a-98b0-397b79f75b1a","pe-section","file"
"7f44e5a0-78cf-4b0c-8ddf-10c51cab7ddf",8606,"Payload delivery","md5","14fe67b9ac89a77f3d0d4d6192872ba2","",1,1648644639,"md5","","6f10a412-09cd-466a-98b0-397b79f75b1a","pe-section","file"
"84642107-0b4e-4ecf-9b61-f31288f71d13",8606,"Payload delivery","sha1","973bdd6532848db403b4e9e874da0f61d2e98525","",1,1648644639,"sha1","","6f10a412-09cd-466a-98b0-397b79f75b1a","pe-section","file"
"d7388fc5-6b6a-4c55-9310-78654d09f2ca",8606,"Payload delivery","sha256","43ee293d62e6327805ba30e48a30e0bc95e3dc143825f76f03e967cd6a034593","",1,1648644639,"sha256","","6f10a412-09cd-466a-98b0-397b79f75b1a","pe-section","file"
"548aefe2-66e8-4c90-9f31-fdb646c6fb50",8606,"Other","size-in-bytes",60416,"",0,1648644639,"size-in-bytes","","6f10a412-09cd-466a-98b0-397b79f75b1a","pe-section","file"
"9e5dfdcc-5edd-4b45-bb8f-b59727857bd7",8606,"Other","float",7.79306,"",0,1648644639,"entropy","","6f10a412-09cd-466a-98b0-397b79f75b1a","pe-section","file"
"13b6b193-3366-4a4a-b10d-c9291145feb6",8606,"Other","text",".reloc","",0,1648644650,"name","","fe46365d-77a3-44c2-a45b-7806dabb0094","pe-section","file"
"6f70a4a1-6433-4952-a3e4-6b1b60500452",8606,"Payload delivery","md5","84aba7f3f55ecac786c19e8a5a3f4beb","",1,1648644651,"md5","","fe46365d-77a3-44c2-a45b-7806dabb0094","pe-section","file"
"96d5a635-e067-4698-8f1e-a44557a1e604",8606,"Payload delivery","sha1","479b4e389427d277f49828e42a9dcdce178487b8","",1,1648644651,"sha1","","fe46365d-77a3-44c2-a45b-7806dabb0094","pe-section","file"
"b1c210c1-eed4-46d6-aec9-0f17deb0abf8",8606,"Payload delivery","sha256","51c2f33c19ed0472334c8e276c51c1d8cafcb7a87a5c066c7999d6d815e2270e","",1,1648644651,"sha256","","fe46365d-77a3-44c2-a45b-7806dabb0094","pe-section","file"
"dd79f742-52e3-4604-885f-5e23c16fa026",8606,"Other","size-in-bytes",512,"",0,1648644651,"size-in-bytes","","fe46365d-77a3-44c2-a45b-7806dabb0094","pe-section","file"
"c19177c8-314f-4162-891a-45af06781013",8606,"Other","float",0.10191,"",0,1648644651,"entropy","","fe46365d-77a3-44c2-a45b-7806dabb0094","pe-section","file"
