uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ef5026fa-cfba-4817-9741-1f791ccd4ecf",60242,"Payload delivery","filename","obinnazx.exe","",0,1630308735,"","","","",""
"c8caf6c0-7948-44cf-a464-b94ebcaad0d0",60242,"Payload delivery","md5","ab84fb50d7c60cd2109c8cc71b5f6738","",1,1630308735,"","","","",""
"ba26a7fb-6b1c-4254-807d-f8a509026ed1",60242,"Payload delivery","sha1","50015d2ad01804c1635bae99f24aa7dd3576ac53","",1,1630308735,"","","","",""
"be4ad654-a3fa-4b45-afce-c42c253741c1",60242,"Payload delivery","sha256","b7645d8903647226e9271ca3bbad5a8bd73c622c0de9b9305f97d0fc65904134","",1,1630308735,"","","","",""
"c024bd6a-0f85-434a-915c-236a9a61d79b",60242,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1630308735,"","","","",""
"c83db9fd-5127-437b-ab92-7b085a85a655",60242,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1630308735,"","","","",""
"98f748b0-baba-4388-9991-25511a947571",60242,"Network activity","url","http://hisensetech.xyz/obinnazx.exe","",1,1630308735,"","","","",""
"bbabab21-f7b8-4887-b156-b49e483acab3",60242,"Network activity","domain","hisensetech.xyz","",1,1630308735,"","","","",""
"aed0bfba-adc1-48fc-840c-c2f562abede4",60242,"Other","text",".text","",0,1630308735,"name","","bad8a43b-04ee-44cf-b1f9-44c7c433f3ab","pe-section","file"
"b04c5ce5-ecf8-4190-a48e-a6b9a834136a",60242,"Payload delivery","md5","8155d0d933093ebe3d5a2000f44eef31","",1,1630308735,"md5","","bad8a43b-04ee-44cf-b1f9-44c7c433f3ab","pe-section","file"
"e6880f58-6a35-44c1-8ccc-0f05ba877924",60242,"Payload delivery","sha1","c2b63f4d895d5e79ac1070dba801fd2b8f533f84","",1,1630308735,"sha1","","bad8a43b-04ee-44cf-b1f9-44c7c433f3ab","pe-section","file"
