uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b1627fc4-f40c-4a37-8694-61119625cf80",3398,"Payload delivery","filename","exp.class","",0,1687706884,"","","","",""
"faf1eb17-0309-4084-8f85-ef8fface28b7",3398,"Payload delivery","md5","981c43b8c427cfd8968f32cc10714c93","",1,1687706884,"","","","",""
"2a305bbf-98b3-444d-afbc-47bafb35cb31",3398,"Payload delivery","sha1","30e10c7466c10e7259738a839ef46616a73e6ddb","",1,1687706884,"","","","",""
"f60d3349-2a47-4f78-98c9-0bc3dd47104f",3398,"Payload delivery","sha256","f16a48fd598b817a3746106147b72194ea21d201361d24c6d357d581e559a472","",1,1687706884,"","","","",""
"895a0265-d9b2-4cac-9e6b-c088fa253f64",3398,"Payload delivery","mime-type","application/x-java-applet","",0,1687706884,"","","","",""
"f5ba7982-7de2-4daf-8ea4-189eb08cd840",3398,"Network activity","url","http://101.200.145.141/exp.class","",1,1687706884,"","","","",""
"2c2c44df-9258-4394-810b-365fb7bd68bb",3398,"Network activity","ip-dst","101.200.145.141","",1,1687706884,"","","","",""
"de3db121-495a-4206-b961-81b67aa56f47",3398,"External analysis","link","https://www.virustotal.com/gui/file/f16a48fd598b817a3746106147b72194ea21d201361d24c6d357d581e559a472/detection","",0,1687706884,"permalink","","ce1f4690-231b-49f3-9a23-c06a35ac9d78","virustotal-report","misc"
"76e22693-2048-4de5-b956-042848a62125",3398,"Other","datetime","2023-05-28T20:43:54.000000+0000","",0,1687706884,"last-submission","","ce1f4690-231b-49f3-9a23-c06a35ac9d78","virustotal-report","misc"
"0e148289-fea7-4746-a169-cb17646858cb",3398,"Other","text","3/59","",0,1687706884,"detection-ratio","","ce1f4690-231b-49f3-9a23-c06a35ac9d78","virustotal-report","misc"

