uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"4beb0309-3d89-4911-9673-1a6a99131498",3735,"Payload delivery","filename","xd.arm7","",0,1716207423,"","","","",""
"eddea579-3901-40b2-bd08-44d676cc9266",3735,"Payload delivery","md5","b9171012c2de19c7b45f30b434786c54","",1,1716207423,"","","","",""
"af776198-e97a-4449-b408-63d88df0abfb",3735,"Payload delivery","sha1","6b3b9d0c01fa2e66b19de339f92beae1515ceed5","",1,1716207423,"","","","",""
"a9d686fb-8ce5-4dc3-a310-66bfc9a3f3fe",3735,"Payload delivery","sha256","dc40d15923739b9f76a0fdd7713d18cc810ce6ddf92e60476f5999e19fd80e72","",1,1716207423,"","","","",""
"f396d8b3-aa9e-49f9-93f7-8749d358a6e8",3735,"Payload delivery","mime-type","application/x-executable","",0,1716207423,"","","","",""
"b059ff19-f417-4839-bd07-a1a24a257558",3735,"Network activity","url","http://20.205.11.156/d/xd.arm7","",1,1716207423,"","","","",""
"23d74053-efdc-450a-81f1-81843fef6c98",3735,"Network activity","ip-dst","20.205.11.156","",1,1716207423,"","","","",""
"03e418da-199d-4b0f-9d8a-b3f18ad73478",3735,"External analysis","link","https://www.virustotal.com/gui/file/dc40d15923739b9f76a0fdd7713d18cc810ce6ddf92e60476f5999e19fd80e72/detection","",0,1716207424,"permalink","","2306fd03-2be4-456e-9ad2-aca907315d66","virustotal-report","misc"
"23ebb691-5fe9-4b73-aa35-18f592962ee9",3735,"Other","datetime","2024-05-09T11:17:19.000000+0000","",0,1716207424,"last-submission","","2306fd03-2be4-456e-9ad2-aca907315d66","virustotal-report","misc"
"e6c989c1-74c8-4e68-bf0a-2fa72ffb65f6",3735,"Other","text","41/65","",0,1716207424,"detection-ratio","","2306fd03-2be4-456e-9ad2-aca907315d66","virustotal-report","misc"

