uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"426f4960-6236-47f5-97eb-6bd2525b41b0",9630,"Payload delivery","filename","zmap.spc","",0,1725489008,"","","","",""
"0c81558f-5a0a-4241-8de3-e1f4a32dccbb",9630,"Payload delivery","md5","ded10820614add78fc2ba61e8de66f2c","",1,1725489008,"","","","",""
"77a2bc83-e167-4559-9cb9-75754832f69a",9630,"Payload delivery","sha1","0e8cffe899e69b87c74825a46ca905a5c44116c3","",1,1725489008,"","","","",""
"46a45a69-71df-4664-9001-c3080ad2c38d",9630,"Payload delivery","sha256","c3ab734fd0b05e9636efbf98069685d82b00ce0efed629dab5fb643ebcea5eb5","",1,1725489008,"","","","",""
"f0b7d248-a3c6-46fa-a18b-d34b0cba5366",9630,"Payload delivery","mime-type","application/x-executable","",0,1725489008,"","","","",""
"3be1bc0e-acd3-4290-8059-32cc49d666ca",9630,"Network activity","url","http://cnc.pr333.ggm.kr:8080/zmap.spc","",1,1725489008,"","","","",""
"13d36848-3992-4891-9a7f-b1846091119e",9630,"Network activity","domain","cnc.pr333.ggm.kr","",1,1725489008,"","","","",""
"851c3563-6f87-4029-8417-f0a84878b125",9630,"External analysis","link","https://www.virustotal.com/gui/file/c3ab734fd0b05e9636efbf98069685d82b00ce0efed629dab5fb643ebcea5eb5/detection","",0,1725489008,"permalink","","12228946-edb6-44ae-a9a7-64760a0b3725","virustotal-report","misc"
"49929b9b-18cb-4768-861b-07f726f9e42d",9630,"Other","datetime","2024-08-27T05:19:36.000000+0000","",0,1725489008,"last-submission","","12228946-edb6-44ae-a9a7-64760a0b3725","virustotal-report","misc"
"57101fd1-a90b-4451-974f-0c516df30849",9630,"Other","text","33/79","",0,1725489008,"detection-ratio","","12228946-edb6-44ae-a9a7-64760a0b3725","virustotal-report","misc"

