uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"38862e2c-1721-404e-a7d7-29505b879bba",59574,"Payload delivery","filename","mazx.exe","",0,1628231956,"","","","",""
"1ec04da4-f584-4b69-9aa7-87b70d5e8d33",59574,"Payload delivery","md5","e1ad89d88c9ffed81a10e3b2e7a323c1","",1,1628231956,"","","","",""
"90152656-9c03-40f1-a63a-c46f1934cdbe",59574,"Payload delivery","sha1","0888d6bb8344a647f353ac70ed5737e99bc613d5","",1,1628231956,"","","","",""
"325c7e53-735f-4020-844e-a6fc9cabe7bd",59574,"Payload delivery","sha256","34ff91c0be47c6edae673081f4814ca9b7432d6db4975ab66a911f36fe481d70","",1,1628231956,"","","","",""
"a90717bb-fa1c-4638-8bcb-e74037b22be0",59574,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1628231956,"","","","",""
"d29276e3-3c9f-4c7b-af67-e32a8b608bcd",59574,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1628231957,"","","","",""
"53bf8477-e7e6-403c-b95e-4850b21dee82",59574,"Network activity","url","http://www.xiaz.xyz/mazx.exe","",1,1628231957,"","","","",""
"919caedd-e032-4a54-847a-df8f17f94b1a",59574,"Network activity","domain","www.xiaz.xyz","",1,1628231957,"","","","",""
"32bf5481-ce60-4bed-9e61-ad6bf0316006",59574,"Other","text",".text","",0,1628231957,"name","","5252b152-9aa0-4dfc-a99c-61292b631248","pe-section","file"
"23100daf-a6c9-424a-8a04-c0f3bd9d5977",59574,"Payload delivery","md5","788e3148a3cdd92ecfa3c27afd6743da","",1,1628231957,"md5","","5252b152-9aa0-4dfc-a99c-61292b631248","pe-section","file"
"49e1bfcd-136a-42d5-8849-7cb60e5c1ff2",59574,"Payload delivery","sha1","65477a59151e17958a23c0b4a4f72a92a35d08ff","",1,1628231957,"sha1","","5252b152-9aa0-4dfc-a99c-61292b631248","pe-section","file"
"4c17d81e-48eb-48cf-bb9e-64df54ee429b",59574,"Payload delivery","sha256","777e6db1ae85dc3ed1519b232303bdd9e4154e983d4818e9411636b85424343d","",1,1628231957,"sha256","","5252b152-9aa0-4dfc-a99c-61292b631248","pe-section","file"
"991e7c0c-afdc-4419-99c9-25d9bad263ed",59574,"Other","size-in-bytes",730624,"",0,1628231957,"size-in-bytes","","5252b152-9aa0-4dfc-a99c-61292b631248","pe-section","file"
"9d4aca5c-0671-4f4e-b359-2bb7af91b069",59574,"Other","float",7.84103,"",0,1628231957,"entropy","","5252b152-9aa0-4dfc-a99c-61292b631248","pe-section","file"
"a4dd3df4-72f6-407e-adba-b26c20fa8be7",59574,"Other","text",".rsrc","",0,1628231957,"name","","0a9d71b8-6485-4346-88d5-b018684b37a0","pe-section","file"
"25e5748a-c88b-4a12-a157-c38f3bcb84b8",59574,"Payload delivery","md5","d7731bd27c5dfa408f94d3551eda9351","",1,1628231957,"md5","","0a9d71b8-6485-4346-88d5-b018684b37a0","pe-section","file"
