uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c9e089ae-4a3e-46d5-a264-f429ae70670f",41180,"Payload delivery","filename","emptyfilename.tmp","",0,1608624142,"","","","",""
"3b5184eb-4caf-4d9d-a91c-20df083444ed",41180,"Payload delivery","md5","0a9ec0178435a4ce056c001c4e30af1d","",1,1608624142,"","","","",""
"ecfcbdba-c431-478d-a935-876938988aab",41180,"Payload delivery","sha1","b18ae3b5459cc64c39dedaf7f642e74184669280","",1,1608624142,"","","","",""
"6b388328-0578-4790-b0a4-c13ed6d7e463",41180,"Payload delivery","sha256","d4a9d0e34cdd7c85d4ac365ab6efb33e0b23a7f41de72d74ef6bfa8731198ff9","",1,1608624142,"","","","",""
"01df5e0b-c1ae-4b54-8c1e-7b1ab84eaad9",41180,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1608624142,"","","","",""
"0795c8e1-0ad0-4bd7-a214-fab9242ee830",41180,"Payload delivery","imphash","6331b8d328e50ece12fb3152d5c158b6","",0,1608624142,"","","","",""
"41b954d6-954d-4f4d-b274-f31deada7e49",41180,"Network activity","url","https://genzmag.com/ratings/VQ8n/","",1,1608624142,"","","","",""
"aa72606e-b4ee-4e9d-911e-0b29df7b2017",41180,"Network activity","domain","genzmag.com","",1,1608624142,"","","","",""
"384068e3-3bb0-49e3-8131-afd54fd0ffd4",41180,"Other","text",".text","",0,1608624143,"name","","52e7febb-5c40-48b0-b00b-3d752d81402f","pe-section","file"
"a2dac41d-b28d-4b86-94ee-7fcab4522b36",41180,"Payload delivery","md5","fcd65d3bf0213410b242b90154855cb7","",1,1608624143,"md5","","52e7febb-5c40-48b0-b00b-3d752d81402f","pe-section","file"
