uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"84ebd527-22c1-43a5-968f-216b9b50588f",6352,"Payload delivery","filename","31839b57a4f11171d6abc8bbc4451ee4.exe","",0,1693134737,"","","","",""
"a5928163-2c03-4b14-822f-60af12ce1613",6352,"Payload delivery","md5","43571c105447cc17a14daa158ec4389a","",1,1693134737,"","","","",""
"d4e2108f-adf6-41f5-8a95-7cdea182fadc",6352,"Payload delivery","sha1","a23e7044033e3ebb349c1d194a53df0c0c058a2d","",1,1693134737,"","","","",""
"bcf6835a-0e4d-431c-881e-07bcc642896d",6352,"Payload delivery","sha256","3c3765a39069b1f6dbcaafb23721a289df7c3e1b540e2de3c76facb867bba7df","",1,1693134737,"","","","",""
"88094da5-0a5a-4546-ac24-b20a485848f5",6352,"Payload delivery","mime-type","application/x-dosexec","",0,1693134737,"","","","",""
"d483e4b7-e39b-43f7-8956-bb33d62c10c2",6352,"Payload delivery","imphash","1c820352c29bb515015085b5719cc68b","",0,1693134737,"","","","",""
"34744979-0ed1-4ae6-9bff-4f735e88c66d",6352,"Network activity","url","http://79.137.192.18/31839b57a4f11171d6abc8bbc4451ee4.exe","",1,1693134737,"","","","",""
"51927957-aa41-481b-9b5f-15963da007c0",6352,"Network activity","ip-dst","79.137.192.18","",1,1693134737,"","","","",""
"5ca957f0-14c5-45b2-8027-b3d1e98338d0",6352,"Other","text",".text","",0,1693134737,"name","","475481d2-0563-433d-916f-68cff33aac8a","pe-section","file"
"9ee786fb-3a9f-44a0-b061-b32a516d1c45",6352,"Payload delivery","md5","dead876b5279bc6a265a9d234adf83b7","",1,1693134737,"md5","","475481d2-0563-433d-916f-68cff33aac8a","pe-section","file"
"4a6318e2-2494-457d-8c5e-983955eefb97",6352,"Payload delivery","sha1","7107ba66e62bf7ea64fc3e49d4de04e7bffe773d","",1,1693134737,"sha1","","475481d2-0563-433d-916f-68cff33aac8a","pe-section","file"
"b752b7bd-586c-41c8-86ff-bd8cb67e2e32",6352,"Payload delivery","sha256","5af4abc20c8180524c51ce38e5b33de2309a61bdd7e2a6ee43b8b8b72fab84da","",1,1693134737,"sha256","","475481d2-0563-433d-916f-68cff33aac8a","pe-section","file"
"fc232c27-e4a0-44cf-8edd-ec29684daa51",6352,"Other","size-in-bytes",4274688,"",0,1693134737,"size-in-bytes","","475481d2-0563-433d-916f-68cff33aac8a","pe-section","file"
"79da3642-0235-4387-9d72-bec49ca25911",6352,"Other","float",7.99674,"",0,1693134737,"entropy","","475481d2-0563-433d-916f-68cff33aac8a","pe-section","file"
"b958683a-601b-40ce-a06f-319660821d7a",6352,"Other","text",".data","",0,1693134737,"name","","4731502d-879d-45b6-a022-42429d8cfacf","pe-section","file"
"1b45cd6f-a8b1-4d04-ac30-96ccba93010e",6352,"Payload delivery","md5","c038e5c6c958aa3bab32ad27436ab451","",1,1693134737,"md5","","4731502d-879d-45b6-a022-42429d8cfacf","pe-section","file"
"0dc99c73-6ade-49b9-8ef1-b038acc80e42",6352,"Payload delivery","sha1","c8c68f9aa5c230cad5b0eff5890d6b8028f2c3e2","",1,1693134737,"sha1","","4731502d-879d-45b6-a022-42429d8cfacf","pe-section","file"
"e6bb442d-ade3-46f6-91b7-07c0e593f25b",6352,"Payload delivery","sha256","2dc01297cc57fb6391ccef76c7812af2080fce960eb09c99edb4c50eed501ae4","",1,1693134737,"sha256","","4731502d-879d-45b6-a022-42429d8cfacf","pe-section","file"
"85235ca8-faab-4a09-8faf-51269fd916dd",6352,"Other","size-in-bytes",8704,"",0,1693134737,"size-in-bytes","","4731502d-879d-45b6-a022-42429d8cfacf","pe-section","file"
"183f0e1b-7719-4a4f-8389-75026e5b9e48",6352,"Other","float",3.07427,"",0,1693134737,"entropy","","4731502d-879d-45b6-a022-42429d8cfacf","pe-section","file"
"8da4f212-29cb-47f7-b848-ff97b1982db1",6352,"Other","text",".rsrc","",0,1693134738,"name","","9af2d696-a118-4e95-958d-411e224e90fb","pe-section","file"
"3b013443-842c-40fd-9cd6-9aaa7d705d35",6352,"Payload delivery","md5","c3418cfa75a7988ed4c0bb9f2badc277","",1,1693134738,"md5","","9af2d696-a118-4e95-958d-411e224e90fb","pe-section","file"
"824dec9f-c6f9-4a7b-be06-35f206538954",6352,"Payload delivery","sha1","e8355f5bc47073c03377adf5c755ebacbf8dab99","",1,1693134738,"sha1","","9af2d696-a118-4e95-958d-411e224e90fb","pe-section","file"
"07eca844-3b41-4e48-823a-32434a5c20a0",6352,"Payload delivery","sha256","872250ae830d547f53ba81394e9f7c82c0f3b1b5f633b8765da324f42b229a86","",1,1693134738,"sha256","","9af2d696-a118-4e95-958d-411e224e90fb","pe-section","file"
"daa277cc-8ff1-4f41-8a4c-b7b8a1c45ac7",6352,"Other","size-in-bytes",47616,"",0,1693134738,"size-in-bytes","","9af2d696-a118-4e95-958d-411e224e90fb","pe-section","file"
"6fc78512-be0d-4634-91d5-196370913b7b",6352,"Other","float",4.38106,"",0,1693134738,"entropy","","9af2d696-a118-4e95-958d-411e224e90fb","pe-section","file"
