uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7ebf1f8d-17e0-44cf-a01a-dfff46e21589",34684,"Payload delivery","filename","Proton%20VPN%20premium.rar","",0,1678777907,"","","","",""
"18c5e681-0941-4613-bd43-1ebb8934e210",34684,"Payload delivery","md5","726d1ea164fd32232845d17e4c896de6","",1,1678777907,"","","","",""
"8e8f3197-f522-4b89-ba02-c3079e3bca4a",34684,"Payload delivery","sha1","69944a37a48794e0f4cbfacce3f9e7d93b45812b","",1,1678777907,"","","","",""
"aff74033-9fe8-4163-a807-6fb902d4156b",34684,"Payload delivery","sha256","005e63cdc71039b7374b3b8ad859411be2b45801445813c989f4a0f217051b84","",1,1678777907,"","","","",""
"c66dbd22-cb15-4d49-b0cd-4bb9e80c45b8",34684,"Payload delivery","mime-type","RAR archive data, v5","",0,1678777907,"","","","",""
"5963c196-f722-4174-b594-ab2426c9028c",34684,"Network activity","url","https://transfer.sh/get/0dztMv/Proton%20VPN%20premium.rar","",1,1678777907,"","","","",""
"dfc547a7-7fb6-44ef-a843-b684fa398364",34684,"Network activity","domain","transfer.sh","",1,1678777907,"","","","",""
"7220a2d6-d85a-44e5-b1a8-21ba6503ec28",34684,"External analysis","link","https://www.virustotal.com/gui/file/005e63cdc71039b7374b3b8ad859411be2b45801445813c989f4a0f217051b84/detection","",0,1678777909,"permalink","","f778974b-e4be-455f-97d7-590c1fa3b849","virustotal-report","misc"
"51c6349e-c3bb-4934-95bd-7560588eb37a",34684,"Other","datetime","2023-03-14T06:08:57.000000+0000","",0,1678777909,"last-submission","","f778974b-e4be-455f-97d7-590c1fa3b849","virustotal-report","misc"
"07d38a11-4dc4-4d3e-9874-9ad543f883e7",34684,"Other","text","0/57","",0,1678777909,"detection-ratio","","f778974b-e4be-455f-97d7-590c1fa3b849","virustotal-report","misc"

