uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e1b5334e-4ac8-4bff-bf0a-b431a9f3a632",35132,"Payload delivery","filename","i","",0,1603456385,"","","","",""
"4d0fa31b-2162-4063-aac0-5c6a4d60aec2",35132,"Payload delivery","md5","7d23411a8cfc59744f332ba01c4932a6","",1,1603456385,"","","","",""
"376db56d-0f00-4151-9341-ea22a6292ef1",35132,"Payload delivery","sha1","ea132d8385ad7029df47d5eb8601fe1a77bc4a1c","",1,1603456385,"","","","",""
"3e141049-01ee-4bbf-bcce-deeb9d119ae8",35132,"Payload delivery","sha256","3c13167c7111de691342b0bcd747d8d176b2f6d28a1ed7aed6f1f120dc05f734","",1,1603456385,"","","","",""
"fe5bebd8-520d-4f0e-b9a9-55533aaddf3b",35132,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, missing section headers","",0,1603456385,"","","","",""
"15ed3157-8b6a-4190-be41-9a7c55f47ffb",35132,"Network activity","url","http://27.203.155.121:47359/i","",1,1603456385,"","","","",""
"600416c7-480b-4cc6-95b7-d8b6d91ae901",35132,"Network activity","ip-dst","27.203.155.121","",1,1603456385,"","","","",""
"6f81a86e-0208-4760-b56a-6b8fb5b66a2d",35132,"Payload delivery","filename","Mozi.m","",0,1604206972,"","","","",""
"851b63d6-55cd-4709-93b5-8e1ae366c270",35132,"Network activity","url","http://110.253.54.10:57949/Mozi.m","",1,1604467595,"","","","",""
"35c07471-c0ac-43f3-aeb8-83445a08b0a6",35132,"Network activity","ip-dst","110.253.54.10","",1,1604467595,"","","","",""
"ae3e0404-520a-453b-902d-a25f400955b8",35132,"External analysis","link","https://www.virustotal.com/gui/file/3c13167c7111de691342b0bcd747d8d176b2f6d28a1ed7aed6f1f120dc05f734/detection","",0,1604467598,"permalink","","31954056-f092-4d4b-8491-f1007e621511","virustotal-report","misc"
"402d6f58-d271-4940-a380-65b9871fb545",35132,"Other","datetime","2020-11-01T16:11:36.000000+0000","",0,1604467601,"last-submission","","31954056-f092-4d4b-8491-f1007e621511","virustotal-report","misc"
"8cff4b34-3dc1-4122-85dc-706c299e646b",35132,"Other","text","12/63","",0,1604467602,"detection-ratio","","31954056-f092-4d4b-8491-f1007e621511","virustotal-report","misc"

