uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"3b6ead5e-93e5-4e27-a1c4-05eadfba1ea0",11608,"Payload delivery","filename","version_x64.dll","",0,1651071966,"","","","",""
"e9c83820-f26c-4a9c-98b9-6d856cacf646",11608,"Payload delivery","md5","b0c79316b34686636832cf27cb86d9dc","",1,1651071966,"","","","",""
"85289c72-4f8d-4373-9f80-7eeb9467d189",11608,"Payload delivery","sha1","ac84fcbf6b8c8e5f6983bb2ed74a6dbb9dc985ec","",1,1651071966,"","","","",""
"22b3a0f0-8c4e-4b9a-a657-b28af64558ce",11608,"Payload delivery","sha256","d630f858a2cedeb1813f7ba5876ad3e4ed70e0cda24f90c2ce61e6f25d7803ca","",1,1651071966,"","","","",""
"99c8cd9b-845f-4503-9471-e84c0d4b0429",11608,"Payload delivery","mime-type","PE32+ executable (DLL) (GUI) x86-64, for MS Windows","",0,1651071966,"","","","",""
"dc83d2c7-e1b7-4508-9cc5-85cb14956c61",11608,"Payload delivery","imphash","086ddeeaec7d7f2ccae2bd45a6bd3589","",0,1651071966,"","","","",""
"4a166d96-4b70-43d8-8cd0-ecd453119646",11608,"Network activity","url","http://179.43.156.188/lolacaradelola/version_x64.dll","",1,1651071966,"","","","",""
"93c42873-55d4-4f1e-b145-e3381f8c89d3",11608,"Network activity","ip-dst","179.43.156.188","",1,1651071966,"","","","",""
"27fd75c0-3fc3-4998-98a2-ae0090b90af6",11608,"Other","text",".text","",0,1651071966,"name","","4796e136-c823-4085-b990-167d1a846c29","pe-section","file"
"510a2ad1-beb2-4f7e-b05c-458628ba780b",11608,"Payload delivery","md5","8fbcaa0685ad4d2b2b78bb377048d7df","",1,1651071966,"md5","","4796e136-c823-4085-b990-167d1a846c29","pe-section","file"
"d0e27fec-a8d3-40d9-be6b-e580cb239052",11608,"Payload delivery","sha1","41161a22da2eac79900098eb5a73472b0d92a944","",1,1651071966,"sha1","","4796e136-c823-4085-b990-167d1a846c29","pe-section","file"
"96ab8907-7f52-4456-9b3c-12060dc51be7",11608,"Payload delivery","sha256","c31ceaa082abafcbe519de18c9d68090d0525ba397ce62a7af1d5becf4bd5d30","",1,1651071966,"sha256","","4796e136-c823-4085-b990-167d1a846c29","pe-section","file"
"b26a88d3-b2e0-4879-be20-20b95608c20d",11608,"Other","size-in-bytes",80384,"",0,1651071966,"size-in-bytes","","4796e136-c823-4085-b990-167d1a846c29","pe-section","file"
"67b9ecaa-c0b1-46d5-819a-c03dfbbcb067",11608,"Other","float",6.4859,"",0,1651071966,"entropy","","4796e136-c823-4085-b990-167d1a846c29","pe-section","file"
"804cf13d-8f48-4e66-87c8-fcc21cbef169",11608,"Other","text",".rdata","",0,1651071966,"name","","1c6faa23-7273-495a-99b6-c32fb8b3047f","pe-section","file"
