uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7f17fcde-7a7b-4271-a5f7-b77688a25155",41307,"Payload delivery","filename","arm5","",0,1684918961,"","","","",""
"2ed53a1b-9461-4e66-b8ee-ac40d23d2b6a",41307,"Payload delivery","md5","41e8bf479f02b99e563b1b10dad26152","",1,1684918961,"","","","",""
"40052203-05a6-4a01-ae5c-789931327577",41307,"Payload delivery","sha1","bcdf2c1fd75327950a85050cd6cd6dea2175b920","",1,1684918961,"","","","",""
"7c598000-47bb-4131-adac-eddf4f18f072",41307,"Payload delivery","sha256","6673c388dd502c73bca2d6d20049d3373f1b05ce0e4ba18883981e58d34fef2b","",1,1684918961,"","","","",""
"40610016-e548-40cc-84ea-820f433c53fe",41307,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, stripped","",0,1684918961,"","","","",""
"3bf7f3c5-2b1f-48b0-ba46-7c1c8b85dcab",41307,"Network activity","url","http://47.87.142.47/arm5","",1,1684918961,"","","","",""
"90ac569e-6f51-4858-86da-f7e80dad8cde",41307,"Network activity","ip-dst","47.87.142.47","",1,1684918961,"","","","",""
"8926e79e-61ed-4c5b-86ec-cde8fc1d9b94",41307,"External analysis","link","https://www.virustotal.com/gui/file/6673c388dd502c73bca2d6d20049d3373f1b05ce0e4ba18883981e58d34fef2b/detection","",0,1684918961,"permalink","","14290594-c173-4f60-9715-70c7a40847d0","virustotal-report","misc"
"4626a9d8-40a7-4501-a40a-4024d930fe2f",41307,"Other","datetime","2023-05-24T08:38:26.000000+0000","",0,1684918961,"last-submission","","14290594-c173-4f60-9715-70c7a40847d0","virustotal-report","misc"
"3dcd31e3-c437-4646-97a1-d3205c43b140",41307,"Other","text","31/61","",0,1684918961,"detection-ratio","","14290594-c173-4f60-9715-70c7a40847d0","virustotal-report","misc"

