uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d5da0d9a-ece0-447b-98d2-41fe5381224a",48395,"Payload delivery","filename","loligang.m68k","",0,1613846498,"","","","",""
"a2b048d8-7c04-43fe-af3e-e02e0942865c",48395,"Payload delivery","md5","04b7a7183e598206ec91eb72f5e63ead","",1,1613846498,"","","","",""
"b31b8bd7-8b00-4ba3-b4b5-e7a8082695b3",48395,"Payload delivery","sha1","8bf5e384f7f778069a93d54cd5db4bcc9a0063c9","",1,1613846498,"","","","",""
"93842dfd-da9e-4582-af11-a37cb0d544d8",48395,"Payload delivery","sha256","3e7c1fd240ff25dae69c6f6b8dd5a11db26d46b11fda0557579a680d45ff6e63","",1,1613846498,"","","","",""
"2e7d0cc6-45bc-4c51-9ffd-f29deb05aac4",48395,"Payload delivery","mime-type","ELF 32-bit MSB executable, Motorola m68k, 68020, version 1 (SYSV), statically linked, stripped","",0,1613846498,"","","","",""
"a55cbd67-fcb1-43b7-b0bb-c88627315f8f",48395,"Network activity","url","http://78.47.139.224/lmaoWTF/loligang.m68k","",1,1613846498,"","","","",""
"e74a7e92-c06a-4b4b-8647-d124ea888e53",48395,"Network activity","ip-dst","78.47.139.224","",1,1613846498,"","","","",""
"905f304c-4e32-4ba5-af00-8d53ecc926d6",48395,"External analysis","link","https://www.virustotal.com/gui/file/3e7c1fd240ff25dae69c6f6b8dd5a11db26d46b11fda0557579a680d45ff6e63/detection","",0,1613846499,"permalink","","49000207-79da-4cd8-bf0d-0c71c753c70c","virustotal-report","misc"
"0eb86ec6-7a26-4ba6-b554-9389fb874305",48395,"Other","datetime","2021-02-20T17:55:50.000000+0000","",0,1613846499,"last-submission","","49000207-79da-4cd8-bf0d-0c71c753c70c","virustotal-report","misc"
"1996cec4-d65e-4012-86f6-bd76028b610f",48395,"Other","text","32/61","",0,1613846499,"detection-ratio","","49000207-79da-4cd8-bf0d-0c71c753c70c","virustotal-report","misc"

