uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d4a1f503-c442-472e-83a3-bfbd302dbeac",5797,"Payload delivery","filename","main.exe","",0,1690379719,"","","","",""
"b33dc8fb-77f4-4540-8401-c99ed666f23c",5797,"Payload delivery","md5","d367dbc08b40198ffa3ccb0653345007","",1,1690379719,"","","","",""
"893a3c58-8e39-40e4-ad80-66cc5b22eb7d",5797,"Payload delivery","sha1","3c3cb763162523658118148c4c83723f1c43eefe","",1,1690379719,"","","","",""
"96e18c3b-746a-4877-99ef-08c9e6c8f016",5797,"Payload delivery","sha256","85c01f298abee33fdb0f73b855765aef190aca021e89ddcb0ba3887989ecefd3","",1,1690379719,"","","","",""
"da17a00d-374b-4541-99da-6e22c5d3267f",5797,"Payload delivery","mime-type","application/x-dosexec","",0,1690379719,"","","","",""
"10af0a57-70a1-47c6-a119-21dcfcacbc7b",5797,"Payload delivery","imphash","ffb8ac336fad56417c421e8d5adcf9ff","",0,1690379719,"","","","",""
"23f36b1d-eaf1-4b77-8a03-6d8cfa7d549e",5797,"Network activity","url","https://raw.githubusercontent.com/abjula/server/main/main.exe","",1,1690379719,"","","","",""
"efc3e3f2-d128-4fcf-b337-b2c239131e06",5797,"Network activity","domain","raw.githubusercontent.com","Domain listed as False Positive in OSINT.DigitalSide.IT whitelist",0,1690379719,"","","","",""
"8088de26-2502-4f3d-b373-bb5ec061ea1e",5797,"Other","text",".text","",0,1690379719,"name","","5b530907-fe2a-4460-b8c9-c6a338f55ee6","pe-section","file"
"c22bbdb5-206e-4254-a490-dd486ea5f83c",5797,"Payload delivery","md5","3f06b164af51974b3d68ef14f8cd7eb7","",1,1690379719,"md5","","5b530907-fe2a-4460-b8c9-c6a338f55ee6","pe-section","file"
"c4672d1b-1a66-48f6-9139-ad190740133c",5797,"Payload delivery","sha1","cf874da7ebb68fe1c1a434e2ea932df224321070","",1,1690379719,"sha1","","5b530907-fe2a-4460-b8c9-c6a338f55ee6","pe-section","file"
"476a625d-a624-4fa0-8d35-f7e29321755a",5797,"Payload delivery","sha256","5e4497ab6da85e01066532c335b7cb920e63411e6cfd5bbba52f431564fdcd59","",1,1690379719,"sha256","","5b530907-fe2a-4460-b8c9-c6a338f55ee6","pe-section","file"
"4e88a252-bd91-4578-aefa-fe62d2d75ccf",5797,"Other","size-in-bytes",1284608,"",0,1690379719,"size-in-bytes","","5b530907-fe2a-4460-b8c9-c6a338f55ee6","pe-section","file"
"53566861-c281-47ac-8fac-42c454265d3a",5797,"Other","float",6.26045,"",0,1690379719,"entropy","","5b530907-fe2a-4460-b8c9-c6a338f55ee6","pe-section","file"
"e9faa79a-06a2-4f67-9a32-e7b6c68fe560",5797,"Other","text",".rdata","",0,1690379720,"name","","0ad32a5c-315a-49c7-bd5c-2234626a9673","pe-section","file"
"fc8dd54a-13fa-4677-bbe9-09fe9aed7207",5797,"Payload delivery","md5","d9d3fda0db2587e7417a111985755831","",1,1690379720,"md5","","0ad32a5c-315a-49c7-bd5c-2234626a9673","pe-section","file"
"a9dec90b-4716-46e8-978e-05cd3081b1e1",5797,"Payload delivery","sha1","6dfdf0ec005d46d416a026a5de2e9f4b504c81ca","",1,1690379720,"sha1","","0ad32a5c-315a-49c7-bd5c-2234626a9673","pe-section","file"
"ae99c9b8-569b-4240-99a6-89b91d4e17d5",5797,"Payload delivery","sha256","164d5b610c00ba5aacbe74164f42ae2dd0f58786c1a7b308227b12fbf168a0ff","",1,1690379720,"sha256","","0ad32a5c-315a-49c7-bd5c-2234626a9673","pe-section","file"
"bd75bfd9-bac4-4b57-9c23-11ef94e052d8",5797,"Other","size-in-bytes",839168,"",0,1690379720,"size-in-bytes","","0ad32a5c-315a-49c7-bd5c-2234626a9673","pe-section","file"
"7ec3c263-26c0-4a97-81a8-4959e3429a37",5797,"Other","float",4.75819,"",0,1690379720,"entropy","","0ad32a5c-315a-49c7-bd5c-2234626a9673","pe-section","file"
"498d4f9c-745f-41d2-8bde-89c13b983db1",5797,"Other","text",".data","",0,1690379720,"name","","455f37bb-a641-473b-82ef-32776e9edaa4","pe-section","file"
"46bdf302-099e-4634-b917-e2e0ff284518",5797,"Payload delivery","md5","f4f9c3242838570a716213a151e348cf","",1,1690379720,"md5","","455f37bb-a641-473b-82ef-32776e9edaa4","pe-section","file"
"878efcd4-b33d-4e6e-9687-18637f2ecabc",5797,"Payload delivery","sha1","3a8b6b360b1f4f81cc912d8e5f721a97a3a2814c","",1,1690379720,"sha1","","455f37bb-a641-473b-82ef-32776e9edaa4","pe-section","file"
"ece58d6c-7ad7-4519-b9a4-ddfb1cbd32c4",5797,"Payload delivery","sha256","01bcbd8f0c1d0fb92681854a6248623b25c12b39dd4c6f32e394755447ea1a42","",1,1690379720,"sha256","","455f37bb-a641-473b-82ef-32776e9edaa4","pe-section","file"
"b955eb9d-f3ad-4db4-ac76-770fd8cb7c5f",5797,"Other","size-in-bytes",512,"",0,1690379720,"size-in-bytes","","455f37bb-a641-473b-82ef-32776e9edaa4","pe-section","file"
"7357e4fd-6d28-4323-bce8-e54fab98cfe1",5797,"Other","float",1.9448,"",0,1690379720,"entropy","","455f37bb-a641-473b-82ef-32776e9edaa4","pe-section","file"
"b015975d-fe87-4ebe-9e18-eee21d34a388",5797,"Other","text",".pdata","",0,1690379720,"name","","c62f4d32-df7a-452e-b64c-c85d2a642b93","pe-section","file"
"3b590c60-58d6-4256-9027-53345800bc4a",5797,"Payload delivery","md5","a7d4cace318d3db148d69d6d2828d875","",1,1690379720,"md5","","c62f4d32-df7a-452e-b64c-c85d2a642b93","pe-section","file"
"7cfc6337-7518-4874-8dd7-2569364994cf",5797,"Payload delivery","sha1","3d6a56ee618e3a3b490ee8f943c2e3e4dd011145","",1,1690379720,"sha1","","c62f4d32-df7a-452e-b64c-c85d2a642b93","pe-section","file"
"8697557d-6da3-416c-8fe5-c04a47bb06ad",5797,"Payload delivery","sha256","9b0defe8e943db314b0a02ce9be361db231c2664aae9c7dbe6f4e4264e40ff4f","",1,1690379720,"sha256","","c62f4d32-df7a-452e-b64c-c85d2a642b93","pe-section","file"
"aab83dd3-a127-46d3-bd66-61a3d9151f35",5797,"Other","size-in-bytes",41472,"",0,1690379720,"size-in-bytes","","c62f4d32-df7a-452e-b64c-c85d2a642b93","pe-section","file"
"2ad12f01-4a02-444c-8128-15564815dea2",5797,"Other","float",5.93458,"",0,1690379720,"entropy","","c62f4d32-df7a-452e-b64c-c85d2a642b93","pe-section","file"
"6ffa3df2-0bed-40ee-b081-a8a181b94f88",5797,"Other","text",".reloc","",0,1690379721,"name","","ebc4799d-693a-4647-ad01-3490856077f1","pe-section","file"
"76254cfc-b564-4d52-a67f-9e315c4a1e44",5797,"Payload delivery","md5","19c046214cf881a8baadf6ec3771e046","",1,1690379721,"md5","","ebc4799d-693a-4647-ad01-3490856077f1","pe-section","file"
"8d31ea79-9dd9-438b-92a1-bd5b8b1dbb23",5797,"Payload delivery","sha1","4c11d6c80ebf02f5e818d4913b49d83e9db4b5c8","",1,1690379721,"sha1","","ebc4799d-693a-4647-ad01-3490856077f1","pe-section","file"
"6f660ed4-2443-4ec5-b980-63cbecaf0fba",5797,"Payload delivery","sha256","dd96192939df8cc8085807ab9200820edc9c6cf5b6f1e5ef2bedb9dcfa222ed6","",1,1690379721,"sha256","","ebc4799d-693a-4647-ad01-3490856077f1","pe-section","file"
"a8dd2244-5e10-47d4-98e4-f0fb7c9b53e0",5797,"Other","size-in-bytes",23040,"",0,1690379721,"size-in-bytes","","ebc4799d-693a-4647-ad01-3490856077f1","pe-section","file"
"4ee07751-390c-4055-ba9a-2c4c17aae5cd",5797,"Other","float",5.45083,"",0,1690379721,"entropy","","ebc4799d-693a-4647-ad01-3490856077f1","pe-section","file"
"536e09c9-f0da-4086-865f-8f4558d61002",5797,"External analysis","link","https://www.virustotal.com/gui/file/85c01f298abee33fdb0f73b855765aef190aca021e89ddcb0ba3887989ecefd3/detection","",0,1690379721,"permalink","","1580fca1-2590-4e0f-8a9e-871fb15d9eee","virustotal-report","misc"
"6b5198cc-9695-44f7-ad66-60c1fda1c819",5797,"Other","datetime","2023-07-26T13:49:22.000000+0000","",0,1690379721,"last-submission","","1580fca1-2590-4e0f-8a9e-871fb15d9eee","virustotal-report","misc"
"33c85841-27cc-4239-9cf5-7e75e1ad0bd8",5797,"Other","text","6/68","",0,1690379721,"detection-ratio","","1580fca1-2590-4e0f-8a9e-871fb15d9eee","virustotal-report","misc"

