uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"723bb459-ba5b-40dd-b748-6a12b02076bf",17524,"Payload delivery","filename","BenzMonster.exe","",0,1655176340,"","","","",""
"954bd793-7b1d-46fb-9a3f-ff6eabaa5b95",17524,"Payload delivery","md5","5affec5ba892d2866f498fa39bbb115d","",1,1655176340,"","","","",""
"256eb723-fe5a-4508-a4ae-55679b439fb1",17524,"Payload delivery","sha1","b6fd82cad05ac31aad03577e130f88d36ab2bfb1","",1,1655176340,"","","","",""
"0620e9ee-8bcc-4a0d-a688-a7d5b87dc484",17524,"Payload delivery","sha256","60459d7de916f80308a5ed81798854bb9c48e97c1e1075e9830b33ce7aab849e","",1,1655176340,"","","","",""
"d764dc03-b4fd-45ce-aa97-61ebc0d7ea69",17524,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1655176340,"","","","",""
"1a1b5514-6aa7-4398-a1d6-23d4a0781ab3",17524,"Payload delivery","imphash","194a6ec3f436e7207e867a715ae4e8ed","",0,1655176340,"","","","",""
"0693efd3-81c1-441d-8676-b299ee7017c2",17524,"Network activity","url","http://update.cg100iii.com/cgmb/BenzMonster.exe","",1,1655176340,"","","","",""
"aab35f47-0781-40fb-ad3d-44158816ab52",17524,"Network activity","domain","update.cg100iii.com","",1,1655176340,"","","","",""
"7f38e62c-1ca6-4544-8a82-51c24c7101e4",17524,"Other","text",".text","",0,1655176340,"name","","35b6450e-e37c-40ca-87e0-5d9d39b61a2c","pe-section","file"
"45d0fb24-0e57-47ab-985e-248ef6460034",17524,"Payload delivery","md5","58fe2fe09ebfce7fbe9daf1be84e04f2","",1,1655176340,"md5","","35b6450e-e37c-40ca-87e0-5d9d39b61a2c","pe-section","file"
"2223130a-2268-42b6-afa0-65e897eefb3c",17524,"Payload delivery","sha1","3f0084808d5c2e4daeba66a23fc12de204d4fb4f","",1,1655176340,"sha1","","35b6450e-e37c-40ca-87e0-5d9d39b61a2c","pe-section","file"
"36de51b2-fe6f-4b8b-879f-9b04b94593dc",17524,"Payload delivery","sha256","deeb5e804cf86f45bf32b2983f0d76e182182a95c9a145641bd727306a41f2d1","",1,1655176340,"sha256","","35b6450e-e37c-40ca-87e0-5d9d39b61a2c","pe-section","file"
"27fad635-53dd-4415-990a-735f4215ad13",17524,"Other","size-in-bytes",3400704,"",0,1655176340,"size-in-bytes","","35b6450e-e37c-40ca-87e0-5d9d39b61a2c","pe-section","file"
"93c9304a-b1c0-4075-ab9d-37f4fa9994fe",17524,"Other","float",6.64176,"",0,1655176340,"entropy","","35b6450e-e37c-40ca-87e0-5d9d39b61a2c","pe-section","file"
"56cd5c0f-fa8b-4056-a081-53d001a2f830",17524,"Other","text",".rdata","",0,1655176340,"name","","94e95ffa-c7ec-4e0a-b627-1e053afa0b8b","pe-section","file"
"449c9d8b-f959-4779-9d80-fd524dbe5675",17524,"Payload delivery","md5","8b3a7ec4fea90253c6aa0ced9d49c442","",1,1655176340,"md5","","94e95ffa-c7ec-4e0a-b627-1e053afa0b8b","pe-section","file"
"f7382af5-ba0f-4ad2-b0a3-2969abc1df44",17524,"Payload delivery","sha1","d8195b2bbe3415476fc39afbd475b02c3ebf066a","",1,1655176340,"sha1","","94e95ffa-c7ec-4e0a-b627-1e053afa0b8b","pe-section","file"
"973397d4-502c-4893-a5be-ee4c744bceec",17524,"Payload delivery","sha256","255ae0b9d2a46ba63fddca88bf1d0248ef38246b6712412523c0e83fc8503899","",1,1655176340,"sha256","","94e95ffa-c7ec-4e0a-b627-1e053afa0b8b","pe-section","file"
"3b820a02-93e0-4a2d-95c5-cc964dc79458",17524,"Other","size-in-bytes",577536,"",0,1655176340,"size-in-bytes","","94e95ffa-c7ec-4e0a-b627-1e053afa0b8b","pe-section","file"
"2910b081-60d1-4db2-9dfd-0aa165ee029b",17524,"Other","float",5.5122,"",0,1655176340,"entropy","","94e95ffa-c7ec-4e0a-b627-1e053afa0b8b","pe-section","file"
"5179dbd9-70b5-4278-a4c5-b4d469f9489d",17524,"Other","text",".data","",0,1655176340,"name","","f71dbaf3-a8a6-454e-9240-3842f50cb195","pe-section","file"
"5f51bd86-3d80-4c7e-ada0-84e153dd13df",17524,"Payload delivery","md5","3e60f83731ce8281b5fe3a69a5fad39b","",1,1655176340,"md5","","f71dbaf3-a8a6-454e-9240-3842f50cb195","pe-section","file"
"b24ee7c2-6536-470c-8214-3077b41c90bb",17524,"Payload delivery","sha1","ae8f438810eb279ce500ddde2144c87298d11071","",1,1655176340,"sha1","","f71dbaf3-a8a6-454e-9240-3842f50cb195","pe-section","file"
"def12cc0-8983-419d-ade0-ea4163cfc086",17524,"Payload delivery","sha256","3eacc5d4e01d4f8529bacec4b78c57bb3a579478fb3f86b244f8a9dd97e0f66c","",1,1655176340,"sha256","","f71dbaf3-a8a6-454e-9240-3842f50cb195","pe-section","file"
"06ad0d90-ff89-4b5f-b217-7b1e4f6a8889",17524,"Other","size-in-bytes",371712,"",0,1655176340,"size-in-bytes","","f71dbaf3-a8a6-454e-9240-3842f50cb195","pe-section","file"
"107479eb-f355-4542-9c2f-534434accdf4",17524,"Other","float",6.7324,"",0,1655176340,"entropy","","f71dbaf3-a8a6-454e-9240-3842f50cb195","pe-section","file"
"5e130bd2-69d7-4a06-90c1-2bcb49221a69",17524,"Other","text",".gfids","",0,1655176341,"name","","ec26afe5-be5a-496e-8edd-e9b8bbfe11a8","pe-section","file"
"e770345e-d0a4-4caf-b7d9-d1ce20189065",17524,"Payload delivery","md5","74a99e8ba0e6e179e7978cfe24e32f4a","",1,1655176341,"md5","","ec26afe5-be5a-496e-8edd-e9b8bbfe11a8","pe-section","file"
"706b79fc-1ad3-4543-a151-bd8b1b291cf6",17524,"Payload delivery","sha1","7d7da9571afa9f389d1f9e3780116d93d57d2f50","",1,1655176341,"sha1","","ec26afe5-be5a-496e-8edd-e9b8bbfe11a8","pe-section","file"
"5de19c3b-f6fa-4da6-b4f9-815647547201",17524,"Payload delivery","sha256","d3756f282fc0f5e798196a1b5537c59fed85113c38c48d5ef8297930f7725d8e","",1,1655176341,"sha256","","ec26afe5-be5a-496e-8edd-e9b8bbfe11a8","pe-section","file"
"4ece65b1-ccd9-41fc-986e-f561efde749b",17524,"Other","size-in-bytes",112640,"",0,1655176341,"size-in-bytes","","ec26afe5-be5a-496e-8edd-e9b8bbfe11a8","pe-section","file"
"5c1f90e6-222f-4a3a-97d9-2ab44b29b509",17524,"Other","float",4.22488,"",0,1655176341,"entropy","","ec26afe5-be5a-496e-8edd-e9b8bbfe11a8","pe-section","file"
"93b80d1e-1ee8-4e7a-abfe-506af12e450b",17524,"Other","text",".giats","",0,1655176341,"name","","1cfbbb38-1c65-4061-9f8c-05b6f3076f0e","pe-section","file"
"782deae7-7f16-4a81-bdfd-60482c34a6a2",17524,"Payload delivery","md5","7bfd3da0db2ba24f0ab307a26fcaefb1","",1,1655176341,"md5","","1cfbbb38-1c65-4061-9f8c-05b6f3076f0e","pe-section","file"
"a6125d0d-5e4c-4a70-a09c-5b1f6ea064d9",17524,"Payload delivery","sha1","79fc36945529581dc959999c408f8da25900ec9b","",1,1655176341,"sha1","","1cfbbb38-1c65-4061-9f8c-05b6f3076f0e","pe-section","file"
"1e0ec3ce-cc3b-40a8-b5fb-7c9d50a1bebc",17524,"Payload delivery","sha256","a9e92fd3c8c63197b0f27554b4f8089c5f04252b671969fa39483a73a1da30f9","",1,1655176341,"sha256","","1cfbbb38-1c65-4061-9f8c-05b6f3076f0e","pe-section","file"
"dc36a9cd-95f6-4b40-a4d3-ad1e8408c949",17524,"Other","size-in-bytes",512,"",0,1655176341,"size-in-bytes","","1cfbbb38-1c65-4061-9f8c-05b6f3076f0e","pe-section","file"
"073a609a-578c-45b2-9c47-329cecb70997",17524,"Other","float",0.155178,"",0,1655176341,"entropy","","1cfbbb38-1c65-4061-9f8c-05b6f3076f0e","pe-section","file"
"2d47556f-72f0-445d-bd6b-a5647e93234d",17524,"Other","text",".tls","",0,1655176341,"name","","d9e9be62-b8fe-4c67-a65f-47f3bed34bbc","pe-section","file"
"5deab6d3-d847-4a17-9944-9faacc596d73",17524,"Payload delivery","md5","1f354d76203061bfdd5a53dae48d5435","",1,1655176341,"md5","","d9e9be62-b8fe-4c67-a65f-47f3bed34bbc","pe-section","file"
"df900471-cd0b-47ac-a4b9-f3abb6d21bce",17524,"Payload delivery","sha1","aa0d33a0c854e073439067876e932688b65cb6a9","",1,1655176341,"sha1","","d9e9be62-b8fe-4c67-a65f-47f3bed34bbc","pe-section","file"
"9aaad342-00b3-4df8-9bd4-695311704f0a",17524,"Payload delivery","sha256","4c6474903705cb450bb6434c29e8854f17d8324efca1fdb9ee9008599060883a","",1,1655176341,"sha256","","d9e9be62-b8fe-4c67-a65f-47f3bed34bbc","pe-section","file"
"b1dbd09c-e632-4ca2-bfe1-b64c256d91b5",17524,"Other","size-in-bytes",512,"",0,1655176341,"size-in-bytes","","d9e9be62-b8fe-4c67-a65f-47f3bed34bbc","pe-section","file"
"d26fa0d6-ceb9-46ea-8eea-c4413a13b06a",17524,"Other","float",0.0203931,"",0,1655176341,"entropy","","d9e9be62-b8fe-4c67-a65f-47f3bed34bbc","pe-section","file"
"11b90bf7-1aa6-4c81-aa9a-66c1ddf57843",17524,"Other","text",".vmp0","",0,1655176341,"name","","a394595c-50e1-486a-99d0-eb37ad1c5b35","pe-section","file"
"5bc32f32-9cd3-4e2a-8333-9651345800eb",17524,"Payload delivery","md5","791587d06cc5cb3b62c0748c0646fbf1","",1,1655176341,"md5","","a394595c-50e1-486a-99d0-eb37ad1c5b35","pe-section","file"
"5d3a5845-ab3e-4055-9cfa-b16f81ff4b38",17524,"Payload delivery","sha1","27ac834f3092a4d51d9ab5cccc6106c204f7a09a","",1,1655176341,"sha1","","a394595c-50e1-486a-99d0-eb37ad1c5b35","pe-section","file"
