uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"cb5f6d30-abea-4c68-a3ea-f246231cce42",2714,"Payload delivery","filename","sora.arm6","",0,1687169703,"","","","",""
"f9a4fbe0-4584-4ae9-9acc-1b813e1a53d3",2714,"Payload delivery","md5","c5908a8cc9672f3a8943dbe13bfa0a78","",1,1687169703,"","","","",""
"d9940194-d453-4a3d-a03d-04b346ac8b17",2714,"Payload delivery","sha1","1915b544717e1afd84eb5a2d08dabb5dc76e6cea","",1,1687169703,"","","","",""
"eff67553-6916-481b-854d-05031fc849c9",2714,"Payload delivery","sha256","53b5764cf18431f9f1cb2299d34787696e8c95b25687e2fb77b3f5a13a256999","",1,1687169703,"","","","",""
"9a2f9b54-25c4-4a42-ae7e-afa11076174c",2714,"Payload delivery","mime-type","application/x-executable","",0,1687169703,"","","","",""
"f00d8559-66a9-4ed9-8360-3315160dc524",2714,"Network activity","url","http://141.98.10.75/bins/sora.arm6","",1,1687169703,"","","","",""
"8b993d2f-b4e8-486c-b0ac-e6a73f240507",2714,"Network activity","ip-dst","141.98.10.75","",1,1687169703,"","","","",""
"cf6eaa82-dba6-4f3c-9999-59973b1d8680",2714,"External analysis","link","https://www.virustotal.com/gui/file/53b5764cf18431f9f1cb2299d34787696e8c95b25687e2fb77b3f5a13a256999/detection","",0,1687169704,"permalink","","c8b45442-f803-4f46-8e3e-70e28cdf1219","virustotal-report","misc"
"895afc8f-86d3-4d64-b612-716bcd6be3a0",2714,"Other","datetime","2023-06-19T08:46:47.000000+0000","",0,1687169704,"last-submission","","c8b45442-f803-4f46-8e3e-70e28cdf1219","virustotal-report","misc"
"1f8b0abc-c7d1-4ae2-b31f-c29b70d9ef88",2714,"Other","text","27/61","",0,1687169704,"detection-ratio","","c8b45442-f803-4f46-8e3e-70e28cdf1219","virustotal-report","misc"

