uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"55716a24-83e9-4716-882e-694e8a048538",46341,"Payload delivery","filename","vbc.exe","",0,1612353041,"","","","",""
"ba783dda-fa73-4b13-9231-edc83085cc1b",46341,"Payload delivery","md5","2ffc43d9e4d2482e7acfdcef863fe7e9","",1,1612353041,"","","","",""
"6addb928-7cf8-47d9-8a3e-16169787be9f",46341,"Payload delivery","sha1","92ae5ce625b8af7c82233f6f2e2f85eec8ea54d5","",1,1612353041,"","","","",""
"2d3b51f4-2257-4919-9d1f-c3c1333aaf6c",46341,"Payload delivery","sha256","899d28616600c3199191bb4c4032178204a3b2b4303906e40ca69aea26e7eb67","",1,1612353041,"","","","",""
"165f299d-d77f-417c-9257-a3696fb340f7",46341,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1612353041,"","","","",""
"e0a8f4e6-84f4-425e-be94-d747fca622cf",46341,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1612353041,"","","","",""
"48d6ecaf-6a3e-4213-bebb-09a224a3c238",46341,"Network activity","url","http://23.227.207.253/hood/vbc.exe","",1,1612353041,"","","","",""
"98ef76ed-c434-4ece-8256-1413e4607d30",46341,"Network activity","ip-dst","23.227.207.253","",1,1612353041,"","","","",""
"992e2bb9-8110-49aa-b8d3-44b3a616ba77",46341,"Other","text",".text","",0,1612353042,"name","","6291e9c1-8503-4efa-a0cf-91b998539eba","pe-section","file"
"03bafeda-55c5-4044-8752-d34f8cba06dd",46341,"Payload delivery","md5","e5a1d38157d34ea46747a36d795ead32","",1,1612353042,"md5","","6291e9c1-8503-4efa-a0cf-91b998539eba","pe-section","file"
"682cd1a2-926a-43a8-8d23-9807ef863f38",46341,"Payload delivery","sha1","5901263a82600fd80a48c0bef23219d431216a5a","",1,1612353042,"sha1","","6291e9c1-8503-4efa-a0cf-91b998539eba","pe-section","file"
"730ef9f5-2630-4cb3-9fda-994f5bac9bb8",46341,"Payload delivery","sha256","f9e427315528a8b1a8751edcad8a304251793065b4cfee7ca0249ad9ece0ab53","",1,1612353042,"sha256","","6291e9c1-8503-4efa-a0cf-91b998539eba","pe-section","file"
"f9139598-bfd4-46da-8b7e-72180bc3622f",46341,"Other","size-in-bytes",1774080,"",0,1612353042,"size-in-bytes","","6291e9c1-8503-4efa-a0cf-91b998539eba","pe-section","file"
"dd19ca14-8be0-4a6f-8377-97382cac2f26",46341,"Other","float",2.66836,"",0,1612353042,"entropy","","6291e9c1-8503-4efa-a0cf-91b998539eba","pe-section","file"
"cde35362-32f9-4a81-877b-775466b27361",46341,"Other","text",".reloc","",0,1612353042,"name","","c5221a99-ef80-4471-8e5f-f7b58013cd14","pe-section","file"
"97c21d47-451f-4fea-95d4-a8da5515a921",46341,"Payload delivery","md5","20aef90d7be55dd4d037116d82fef6ef","",1,1612353042,"md5","","c5221a99-ef80-4471-8e5f-f7b58013cd14","pe-section","file"
"1338d4f4-e683-41a1-b940-994f7eaa8079",46341,"Payload delivery","sha1","7a558cf6fff7a83444d1fd68a137e365d0db4c14","",1,1612353042,"sha1","","c5221a99-ef80-4471-8e5f-f7b58013cd14","pe-section","file"
"82655541-b732-459f-abe5-0f17f7fe561a",46341,"Payload delivery","sha256","681925fe76595d8dddf50e20f995c1ffe3b708443e528c67e14a54067c0c2d56","",1,1612353042,"sha256","","c5221a99-ef80-4471-8e5f-f7b58013cd14","pe-section","file"
"251c5a55-ae1f-419f-9765-367502c7a713",46341,"Other","size-in-bytes",512,"",0,1612353042,"size-in-bytes","","c5221a99-ef80-4471-8e5f-f7b58013cd14","pe-section","file"
"2e482a2c-0b46-48d6-84d3-2fc276a74eb6",46341,"Other","float",0.10191,"",0,1612353042,"entropy","","c5221a99-ef80-4471-8e5f-f7b58013cd14","pe-section","file"
"0e7f122a-1f6e-4389-981c-e00759775e93",46341,"External analysis","link","https://www.virustotal.com/gui/file/899d28616600c3199191bb4c4032178204a3b2b4303906e40ca69aea26e7eb67/detection","",0,1612353042,"permalink","","f6480104-5236-4619-bae0-4aa581025f9c","virustotal-report","misc"
"7f59d87d-36cb-47f2-bb7e-7f01132e054e",46341,"Other","datetime","2021-02-03T07:30:53.000000+0000","",0,1612353042,"last-submission","","f6480104-5236-4619-bae0-4aa581025f9c","virustotal-report","misc"
"311cebc7-df79-4f0b-b003-23ab71d0758e",46341,"Other","text","17/70","",0,1612353042,"detection-ratio","","f6480104-5236-4619-bae0-4aa581025f9c","virustotal-report","misc"

