uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"41898276-2ce4-4774-ad6d-9955b3928c61",8698,"Payload delivery","filename","bin.sh","",0,1724649784,"","","","",""
"72781175-ae89-47cb-b303-a6410b47055a",8698,"Payload delivery","md5","8fabd065e7343d393a21f7bafba3cece","",1,1724649784,"","","","",""
"f2856676-82d4-4ae1-8376-26c10c8af274",8698,"Payload delivery","sha1","a50698641c39cbfc0fd79acab70168f9ff3e9906","",1,1724649784,"","","","",""
"3076daf2-049e-4ee3-9ad9-7981b281e62a",8698,"Payload delivery","sha256","b64a2606b85c9d3127d5b5f4592137eefd1604f8aa4fa5c662ba7131f59ce5d0","",1,1724649784,"","","","",""
"15c9861c-b59c-4526-a982-db47e2ea76a7",8698,"Payload delivery","mime-type","application/x-executable","",0,1724649784,"","","","",""
"cb7a0fcf-b195-4fdf-b8d8-f3c85399d6ee",8698,"Network activity","url","http://117.206.183.77:55887/bin.sh","",1,1724649784,"","","","",""
"095998cc-1f66-4bf1-b31b-144c4e3c9fad",8698,"Network activity","ip-dst","117.206.183.77","",1,1724649784,"","","","",""
"b2843bd7-1b93-4697-8326-31ecfa3bdfb4",8698,"Payload delivery","filename","Mozi.m","",0,1724687107,"","","","",""
"a0cce9a0-1efb-434a-b326-2aa27a8af2b3",8698,"Network activity","url","http://182.126.103.225:41793/bin.sh","",1,1724687107,"","","","",""
"b64ab12b-bfc8-48d1-a1b9-f7b77d8a6229",8698,"Network activity","ip-dst","182.126.103.225","",1,1724687107,"","","","",""
"ac43d49f-6b4b-4940-8250-51a0ab736f0c",8698,"Network activity","url","http://42.238.241.116:48030/Mozi.m","",1,1724688606,"","","","",""
"ecddc7c6-fd88-42a8-8af1-b00acb94bfac",8698,"Network activity","ip-dst","42.238.241.116","",1,1724688606,"","","","",""
"ad375103-4489-42c3-956f-1ffb2d2e4d8c",8698,"Network activity","url","http://182.126.103.225:41793/Mozi.m","",1,1724749988,"","","","",""
"78d97dd4-94dc-45c4-9bbc-b434f2b26f5a",8698,"Payload delivery","filename","i","",0,1724751548,"","","","",""
"2b9d48e5-db87-489d-9734-4ff672661a2e",8698,"Network activity","url","http://42.238.241.116:48030/bin.sh","",1,1724751548,"","","","",""
"a5a7eba5-4aad-4db1-9288-b7083ef980db",8698,"Network activity","url","http://42.238.241.116:48030/i","",1,1724910008,"","","","",""
"68f3f67c-f7fa-4f3f-989b-eb46eb7d1728",8698,"Network activity","url","http://117.219.35.13:59462/Mozi.m","",1,1725027134,"","","","",""
"3137d59d-539b-49e7-9a00-034386b9a79b",8698,"Network activity","ip-dst","117.219.35.13","",1,1725027134,"","","","",""
"7c1921d3-4c8e-4332-bede-53a9af34c763",8698,"Network activity","url","http://61.53.44.141:49199/Mozi.m","",1,1725030912,"","","","",""
"ba14b7c7-a304-4ad4-ae4b-9900d6891c0f",8698,"Network activity","ip-dst","61.53.44.141","",1,1725030912,"","","","",""
"85aaeca3-dff0-49e1-a30f-a4e835f33052",8698,"Network activity","url","http://61.53.44.141:49199/i","",1,1725174247,"","","","",""
"ab00938f-3c3b-447f-84dc-91f62c6302c7",8698,"Network activity","url","http://117.255.106.47:41109/bin.sh","",1,1725175626,"","","","",""
"b7c975e4-996a-436c-af90-aade7248af12",8698,"Network activity","ip-dst","117.255.106.47","",1,1725175626,"","","","",""
"654da932-4e4e-43b0-a2d0-ba2fd4b0399a",8698,"Network activity","url","http://117.255.106.47:41109/i","",1,1725288905,"","","","",""
"5f64bcd0-0a04-42ca-ac0c-1c4da897d837",8698,"Network activity","url","http://42.225.52.145:49199/bin.sh","",1,1725457328,"","","","",""
"a27af8a6-8b6f-4ae4-b061-fdf01b5b0ed3",8698,"Network activity","ip-dst","42.225.52.145","",1,1725457328,"","","","",""
"00708f35-2785-4233-9b3a-48c1a383d1a0",8698,"Network activity","url","http://59.182.143.77:41109/bin.sh","",1,1725458171,"","","","",""
"1e7c1073-c68c-42e5-981d-f8fc107d8604",8698,"Network activity","ip-dst","59.182.143.77","",1,1725458171,"","","","",""
"975df9a5-77df-474f-a7fe-280fdc2db65b",8698,"Network activity","url","http://59.182.143.77:41109/i","",1,1725520989,"","","","",""
"92f23de7-65ab-4d13-9931-0087acc7cb1a",8698,"Network activity","url","http://59.93.233.215:41109/bin.sh","",1,1725522849,"","","","",""
"6c4fd111-19ff-485d-b04c-f2da9f8782ff",8698,"Network activity","ip-dst","59.93.233.215","",1,1725522849,"","","","",""
"336ab224-ac26-4b23-b7f5-a35da8e5b3f3",8698,"Network activity","url","http://59.93.233.215:41109/i","",1,1725532146,"","","","",""
"09cd75bf-544a-4fe0-9c1a-e36d55bb0dcb",8698,"Network activity","url","http://59.184.65.27:49772/bin.sh","",1,1725533167,"","","","",""
"14031f97-188e-4034-8a0c-4386f6548601",8698,"Network activity","ip-dst","59.184.65.27","",1,1725533167,"","","","",""
