uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7c608aab-0a83-4629-87c5-c7a9932ceec8",42010,"Payload delivery","filename","blaze.arm6","",0,1609279779,"","","","",""
"4f6348c8-a18d-432d-ae5c-f3023f5b2b31",42010,"Payload delivery","md5","2ea00da5978e270853d07f5253d6d06c","",1,1609279780,"","","","",""
"17d94bb8-3b28-4f8e-a23b-551a782fa303",42010,"Payload delivery","sha1","edb03ad69f91a61f87d08a0cd5a3444b49ecb31b","",1,1609279781,"","","","",""
"b13dbd16-f6fe-4283-b97b-7a0a2f306b5e",42010,"Payload delivery","sha256","d2b3e34e3811ad8bb1e1baac647c37d6313314c83f7cad672780b96504d7ec5f","",1,1609279781,"","","","",""
"265a08dc-bea8-474f-a607-fb03ba6fac31",42010,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1609279781,"","","","",""
"85b7cc95-83b8-4e9a-9622-9f69db7bc878",42010,"Network activity","url","http://45.14.224.26/blaze.arm6","",1,1609279781,"","","","",""
"10ae37cd-912a-4a58-be61-f5a7befa6590",42010,"Network activity","ip-dst","45.14.224.26","",1,1609279781,"","","","",""
"d009e23f-5929-4ff2-8292-84289770b4a9",42010,"External analysis","link","https://www.virustotal.com/gui/file/d2b3e34e3811ad8bb1e1baac647c37d6313314c83f7cad672780b96504d7ec5f/detection","",0,1609279786,"permalink","","3c911169-ac11-40cd-a6cc-efd03a57c078","virustotal-report","misc"
"0cac3f4b-45e4-432f-a596-505b701eab4c",42010,"Other","datetime","2020-12-29T21:24:39.000000+0000","",0,1609279786,"last-submission","","3c911169-ac11-40cd-a6cc-efd03a57c078","virustotal-report","misc"
"d2240cd2-e754-4c24-86cd-324d5f979329",42010,"Other","text","35/61","",0,1609279786,"detection-ratio","","3c911169-ac11-40cd-a6cc-efd03a57c078","virustotal-report","misc"

