uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2d93af2e-4694-4973-84ec-3b56a144307a",11151,"Payload delivery","filename","bruh.sh","",0,1697548410,"","","","",""
"443ca091-ea0d-44fe-9015-f8f92531fc7b",11151,"Payload delivery","md5","b16c53467ac8ec8ec62a6b3c94a99549","",1,1697548410,"","","","",""
"90f442bc-b3df-4e74-878e-e46ce8bc6f00",11151,"Payload delivery","sha1","632715dd2f989b30e28334695a24cf95a3094b5b","",1,1697548410,"","","","",""
"c83f085b-30c9-42a6-927d-b694a77bf60d",11151,"Payload delivery","sha256","c549303cef11fd094bf8a7fdff22a4ae11927299bdb76a091306dd1345edbad2","",1,1697548410,"","","","",""
"1b7a2f35-f29b-445d-b418-59fc0439b08a",11151,"Payload delivery","mime-type","text/x-shellscript","",0,1697548410,"","","","",""
"61a6c9b1-cb6d-4010-a8db-2958791a406d",11151,"Network activity","url","http://185.228.1.41/bruh.sh","",1,1697548410,"","","","",""
"553a4cde-cdbf-4c39-97ff-3813fbc806fc",11151,"Network activity","ip-dst","185.228.1.41","",1,1697548410,"","","","",""
"727632b2-4c22-475d-b0fe-f6cc167dfb80",11151,"External analysis","link","https://www.virustotal.com/gui/file/c549303cef11fd094bf8a7fdff22a4ae11927299bdb76a091306dd1345edbad2/detection","",0,1697548410,"permalink","","b201e24e-94aa-4c59-813e-f9d41aaa2d51","virustotal-report","misc"
"aa812fb2-6f41-4d96-b455-59f5ef20f480",11151,"Other","datetime","2023-09-19T09:17:15.000000+0000","",0,1697548410,"last-submission","","b201e24e-94aa-4c59-813e-f9d41aaa2d51","virustotal-report","misc"
"aa9cf096-0b58-4638-a231-f526f2898f2c",11151,"Other","text","34/59","",0,1697548410,"detection-ratio","","b201e24e-94aa-4c59-813e-f9d41aaa2d51","virustotal-report","misc"

