uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"32934d26-af90-4610-8fcf-a3a74e5e4da9",10188,"Payload delivery","filename","a1mb0t.x86","",0,1649741402,"","","","",""
"9ae20722-6adc-413e-985b-636f0f278338",10188,"Payload delivery","md5","ddde97f2ba1fa40556823fe480a4f1a1","",1,1649741402,"","","","",""
"c3e2e5f9-3d34-440e-be58-ea86a6da70a4",10188,"Payload delivery","sha1","555bed260ff87020965fe513221c95b4f5c1488f","",1,1649741402,"","","","",""
"1913fe26-b814-4138-aeed-037bddbda46f",10188,"Payload delivery","sha256","d79cf3b5576a1c833f89ddf49bccc82493de2a18cda3bcdafc05739395fdc0fa","",1,1649741402,"","","","",""
"e1c66fca-044f-4fc1-a2ed-a831acaf9d23",10188,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (SYSV), statically linked, stripped","",0,1649741402,"","","","",""
"763428f3-a691-4f26-b0bc-60ab32c29124",10188,"Network activity","url","http://83.229.39.19/aim/a1mb0t.x86","",1,1649741402,"","","","",""
"bc78c527-9583-4658-ab22-bcb6db2c99cd",10188,"Network activity","ip-dst","83.229.39.19","",1,1649741402,"","","","",""
"99084382-0be7-4d64-89a2-c7e60fa4f3eb",10188,"External analysis","link","https://www.virustotal.com/gui/file/d79cf3b5576a1c833f89ddf49bccc82493de2a18cda3bcdafc05739395fdc0fa/detection","",0,1649741402,"permalink","","ab04c96e-5a98-4eac-97fb-01ca89389f21","virustotal-report","misc"
"aac02c5a-c535-4ec6-93e2-e8556d308bce",10188,"Other","datetime","2022-04-12T03:07:09.000000+0000","",0,1649741402,"last-submission","","ab04c96e-5a98-4eac-97fb-01ca89389f21","virustotal-report","misc"
"93384148-68df-4376-9f87-51705b432a68",10188,"Other","text","34/61","",0,1649741402,"detection-ratio","","ab04c96e-5a98-4eac-97fb-01ca89389f21","virustotal-report","misc"

