uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a13a17f1-77cd-4f95-8d7d-951a5c5da9ee",63851,"Payload delivery","filename","lv.exe","",0,1634386935,"","","","",""
"b4fc672d-b702-4711-bc9a-586e0af98a22",63851,"Payload delivery","md5","43ee61abb46efaa528bc55429c2bae0c","",1,1634386935,"","","","",""
"265d57d3-18d5-42c1-bd81-6e0d17257920",63851,"Payload delivery","sha1","c3a5137014ca20515febe000c294531a24bcd2cc","",1,1634386935,"","","","",""
"69a3b20c-d1c0-41c6-bbd1-9ada70879aae",63851,"Payload delivery","sha256","93314cb154e1858af2c12d4d15ef2c055fd9efd883fd0902c35f6fef81b1b61d","",1,1634386935,"","","","",""
"e1ea8112-ce47-41ed-b6f0-709794594679",63851,"Payload delivery","mime-type","PE32+ executable (GUI) x86-64, for MS Windows","",0,1634386935,"","","","",""
"7c06b07c-e330-4902-b155-93249ad2ee59",63851,"Payload delivery","imphash","106f3d3e521ab0377bf478b03f3dd87b","",0,1634386935,"","","","",""
"d3a4866c-6b86-4232-be21-9e3d3f085040",63851,"Network activity","url","http://bojitn09.top/downfiles/lv.exe","",1,1634386935,"","","","",""
"ca62e5fb-c298-4f4d-b66f-647a90b643ca",63851,"Network activity","domain","bojitn09.top","",1,1634386935,"","","","",""
"aab6dcb8-b18a-48ee-b45f-135e654a21e7",63851,"Other","text",".idata","",0,1634386948,"name","","2b4e9406-edc2-452c-83d1-25d1858c4d77","pe-section","file"
"c30bb8b8-6bfe-4cf0-a433-daed52186130",63851,"Payload delivery","md5","05e4b8af74888d289c08d861d4664137","",1,1634386948,"md5","","2b4e9406-edc2-452c-83d1-25d1858c4d77","pe-section","file"
"94dd64d7-46d4-4c8e-b801-3ae276cdf724",63851,"Payload delivery","sha1","d0f01610b81b7f9dcf72ed559df8e2deaeb53ef2","",1,1634386948,"sha1","","2b4e9406-edc2-452c-83d1-25d1858c4d77","pe-section","file"
"c4f0ed50-cd42-43a5-a7d9-ea763b78a08b",63851,"Payload delivery","sha256","c0aba9c508c33711eba8d84e2b4247ac7bc27bdd3102efa1e7a9bf97fd11a213","",1,1634386948,"sha256","","2b4e9406-edc2-452c-83d1-25d1858c4d77","pe-section","file"
"003fa3e9-d978-4ecf-bf2d-f0784a37f2ed",63851,"Other","size-in-bytes",512,"",0,1634386948,"size-in-bytes","","2b4e9406-edc2-452c-83d1-25d1858c4d77","pe-section","file"
"b4199d3c-2c70-4138-b998-9fdcd4b2cb95",63851,"Other","float",2.5292,"",0,1634386948,"entropy","","2b4e9406-edc2-452c-83d1-25d1858c4d77","pe-section","file"
"1475c37b-0576-4389-b179-453d10d1434e",63851,"Other","text",".themida","",0,1634386950,"name","","6a282272-d208-4dd2-a6e2-78134356a573","pe-section","file"
