uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7235f255-ad06-460b-bca9-e749e17cb868",40923,"Payload delivery","filename","Consys21.dll","",0,1608286455,"","","","",""
"ddb2d20b-051d-4b52-9556-ddcd7d2f1d23",40923,"Payload delivery","md5","9e35889c92c26ffddddcdbd9e7d5aae7","",1,1608286455,"","","","",""
"f942a6da-a45e-4248-80e9-a7b1c0fd4a28",40923,"Payload delivery","sha1","dcee6e02c9710c908d846a28838fbafdc063892f","",1,1608286455,"","","","",""
"2f4124c8-7a61-4570-91c0-e99c4cdde52e",40923,"Payload delivery","sha256","59449f9adfacdf8ca0d3e8f50cb35408f0167b7b4cc656967822233cff500c32","",1,1608286455,"","","","",""
"ff5ad4a7-be22-4056-92e6-e9e66b5b2e8b",40923,"Payload delivery","mime-type","data","",0,1608286455,"","","","",""
"33f41473-320e-46f5-8f97-1f57c3b84574",40923,"Network activity","url","http://djking.f3322.net:808/Consys21.dll","",1,1608286455,"","","","",""
"d893ad6f-f3e9-42b4-bd43-af06c97feb12",40923,"Network activity","domain","djking.f3322.net","",1,1608286455,"","","","",""
"049046e3-49fd-429c-baf6-325e530816ae",40923,"External analysis","link","https://www.virustotal.com/gui/file/59449f9adfacdf8ca0d3e8f50cb35408f0167b7b4cc656967822233cff500c32/detection","",0,1608286456,"permalink","","09fc0184-3abe-49da-b759-4b07563d7cd3","virustotal-report","misc"
"88089876-963e-4176-ab91-cce519f0b11c",40923,"Other","datetime","2020-12-18T10:08:37.000000+0000","",0,1608286456,"last-submission","","09fc0184-3abe-49da-b759-4b07563d7cd3","virustotal-report","misc"
"106348d0-e90c-4ae6-b2d4-f1bc37957df8",40923,"Other","text","8/58","",0,1608286456,"detection-ratio","","09fc0184-3abe-49da-b759-4b07563d7cd3","virustotal-report","misc"

